Fecha,AportesHidricos_GWh
2022-01-01,213.389
2022-01-02,216.1326
2022-01-03,202.5926
2022-01-04,192.1692
2022-01-05,183.0946
2022-01-06,209.8716
2022-01-07,243.4076
2022-01-08,187.1878
2022-01-09,180.3552
2022-01-10,171.5968
2022-01-11,169.8156
2022-01-12,166.6176
2022-01-13,182.1894
2022-01-14,269.117
2022-01-15,182.3406
2022-01-16,156.057
2022-01-17,169.1852
2022-01-18,156.756
2022-01-19,142.8888
2022-01-20,137.4688
2022-01-21,136.4038
2022-01-22,152.8664
2022-01-23,158.506
2022-01-24,141.62
2022-01-25,195.857
2022-01-26,164.2048
2022-01-27,157.384
2022-01-28,152.3264
2022-01-29,134.3046
2022-01-30,118.249
2022-01-31,127.7264
2022-02-01,130.9742
2022-02-02,126.8382
2022-02-03,117.9928
2022-02-04,131.6146
2022-02-05,160.4178
2022-02-06,194.4562
2022-02-07,199.0056
2022-02-08,240.2264
2022-02-09,245.7014
2022-02-10,190.5918
2022-02-11,173.1896
2022-02-12,170.7816
2022-02-13,170.6222
2022-02-14,192.2178
2022-02-15,170.925
2022-02-16,169.6698
2022-02-17,163.8718
2022-02-18,221.5774
2022-02-19,215.66
2022-02-20,242.6528
2022-02-21,279.981
2022-02-22,240.4432
2022-02-23,201.956
2022-02-24,190.433
2022-02-25,227.864
2022-02-26,255.3418
2022-02-27,276.4676
2022-02-28,405.6578
2022-03-01,397.3666
2022-03-02,383.178
2022-03-03,349.9314
2022-03-04,326.4022
2022-03-05,339.0878
2022-03-06,494.951
2022-03-07,423.9374
2022-03-08,327.5218
2022-03-09,270.36
2022-03-10,287.55
2022-03-11,240.5366
2022-03-12,320.8448
2022-03-13,273.2314
2022-03-14,309.7608
2022-03-15,311.7162
2022-03-16,274.766
2022-03-17,277.2716
2022-03-18,261.4304
2022-03-19,237.059
2022-03-20,291.0474
2022-03-21,259.3036
2022-03-22,290.84
2022-03-23,265.5682
2022-03-24,245.8014
2022-03-25,271.9064
2022-03-26,275.3478
2022-03-27,399.1068
2022-03-28,335.2938
2022-03-29,374.7482
2022-03-30,390.9486
2022-03-31,403.3606
2022-04-01,441.9766
2022-04-02,396.8552
2022-04-03,300.2102
2022-04-04,351.7526
2022-04-05,349.3332
2022-04-06,359.7066
2022-04-07,575.9482
2022-04-08,429.3774
2022-04-09,369.9906
2022-04-10,345.4004
2022-04-11,290.1274
2022-04-12,368.3784
2022-04-13,312.3572
2022-04-14,228.0322
2022-04-15,235.6394
2022-04-16,273.8028
2022-04-17,317.7398
2022-04-18,383.9156
2022-04-19,511.4224
2022-04-20,569.4704
2022-04-21,661.371
2022-04-22,699.4078
2022-04-23,651.4488
2022-04-24,512.0208
2022-04-25,663.4224
2022-04-26,445.1266
2022-04-27,564.8066
2022-04-28,500.9742
2022-04-29,569.419
2022-04-30,380.1616
2022-05-01,342.5662
2022-05-02,369.5126
2022-05-03,289.8404
2022-05-04,258.0666
2022-05-05,414.7244
2022-05-06,340.7752
2022-05-07,642.436
2022-05-08,506.5662
2022-05-09,435.2048
2022-05-10,392.1946
2022-05-11,490.562
2022-05-12,451.5668
2022-05-13,450.3434
2022-05-14,561.383
2022-05-15,421.62
2022-05-16,525.948
2022-05-17,502.2716
2022-05-18,587.7796
2022-05-19,666.3736
2022-05-20,606.0154
2022-05-21,505.2872
2022-05-22,409.096
2022-05-23,410.3924
2022-05-24,395.5164
2022-05-25,470.5752
2022-05-26,406.6028
2022-05-27,512.3594
2022-05-28,372.7386
2022-05-29,443.5826
2022-05-30,522.992
2022-05-31,455.8744
2022-06-01,451.0688
2022-06-02,476.8862
2022-06-03,442.0162
2022-06-04,492.8376
2022-06-05,525.5924
2022-06-06,530.5576
2022-06-07,701.8334
2022-06-08,580.8106
2022-06-09,538.3062
2022-06-10,529.5426
2022-06-11,750.218
2022-06-12,621.2922
2022-06-13,542.544
2022-06-14,598.8066
2022-06-15,651.175
2022-06-16,605.691
2022-06-17,453.9212
2022-06-18,470.3508
2022-06-19,560.8418
2022-06-20,472.6128
2022-06-21,417.1182
2022-06-22,422.2104
2022-06-23,492.5402
2022-06-24,459.6076
2022-06-25,552.7934
2022-06-26,766.0862
2022-06-27,584.3678
2022-06-28,737.2918
2022-06-29,672.7184
2022-06-30,613.2996
2022-07-01,543.9556
2022-07-02,639.0012
2022-07-03,527.4046
2022-07-04,771.1432
2022-07-05,605.9304
2022-07-06,551.3132
2022-07-07,472.9396
2022-07-08,644.6094
2022-07-09,488.307
2022-07-10,459.5534
2022-07-11,619.5064
2022-07-12,464.4658
2022-07-13,690.9264
2022-07-14,433.9794
2022-07-15,366.4142
2022-07-16,341.489
2022-07-17,393.5962
2022-07-18,449.1118
2022-07-19,311.0454
2022-07-20,438.4582
2022-07-21,397.691
2022-07-22,383.5968
2022-07-23,449.1956
2022-07-24,413.1498
2022-07-25,510.1658
2022-07-26,528.176
2022-07-27,503.1532
2022-07-28,846.2328
2022-07-29,657.286
2022-07-30,398.8662
2022-07-31,462.2728
2022-08-01,651.8178
2022-08-02,762.6366
2022-08-03,502.7664
2022-08-04,467.9122
2022-08-05,684.5458
2022-08-06,1049.0812
2022-08-07,513.9004
2022-08-08,406.9074
2022-08-09,473.038
2022-08-10,475.5546
2022-08-11,435.0312
2022-08-12,343.1984
2022-08-13,404.7354
2022-08-14,528.85
2022-08-15,576.335
2022-08-16,502.4164
2022-08-17,367.2294
2022-08-18,320.912
2022-08-19,293.2546
2022-08-20,413.6126
2022-08-21,360.796
2022-08-22,457.0566
2022-08-23,317.497
2022-08-24,265.3126
2022-08-25,252.8628
2022-08-26,265.9372
2022-08-27,271.3232
2022-08-28,366.8102
2022-08-29,483.5562
2022-08-30,279.3466
2022-08-31,372.852
2022-09-01,346.2998
2022-09-02,377.5208
2022-09-03,526.3834
2022-09-04,406.752
2022-09-05,311.0822
2022-09-06,347.8766
2022-09-07,360.077
2022-09-08,323.4786
2022-09-09,362.6528
2022-09-10,318.1612
2022-09-11,315.3986
2022-09-12,377.5116
2022-09-13,414.8726
2022-09-14,415.646
2022-09-15,317.7666
2022-09-16,658.2804
2022-09-17,378.9772
2022-09-18,462.732
2022-09-19,417.0554
2022-09-20,418.993
2022-09-21,408.103
2022-09-22,451.6768
2022-09-23,430.892
2022-09-24,506.4592
2022-09-25,492.3282
2022-09-26,389.4674
2022-09-27,342.386
2022-09-28,372.7982
2022-09-29,396.6966
2022-09-30,430.152
2022-10-01,505.3538
2022-10-02,372.5986
2022-10-03,297.7658
2022-10-04,321.4916
2022-10-05,334.8594
2022-10-06,381.1838
2022-10-07,423.4914
2022-10-08,544.9398
2022-10-09,451.1544
2022-10-10,404.258
2022-10-11,386.6586
2022-10-12,354.628
2022-10-13,391.8554
2022-10-14,375.582
2022-10-15,397.0682
2022-10-16,435.9134
2022-10-17,493.8528
2022-10-18,486.3022
2022-10-19,559.4108
2022-10-20,646.5158
2022-10-21,514.7334
2022-10-22,606.0368
2022-10-23,655.4318
2022-10-24,695.4546
2022-10-25,579.4898
2022-10-26,596.1658
2022-10-27,643.172
2022-10-28,856.8418
2022-10-29,795.8678
2022-10-30,534.4928
