Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2022-01-01,45408744.63,66527487.22,52494680.65,164430912.5
2022-01-02,44031728.92,72579848.28,56497273.81,173108851.01
2022-01-03,47329942.19,85865432.51,62110423.01,195305797.71
2022-01-04,49615997.25,88790215.8,62853162.63,201259375.68
2022-01-05,49886523.94,88973392.34,63766294.99,202626211.27
2022-01-06,50295120.29,89724929.02,63601302.68,203621351.99
2022-01-07,50514151.02,90148713.42999999,63659170.42,204322034.87
2022-01-08,50656968.72,86470588.03,61538225.2,198665781.95
2022-01-09,48213710.57,76620436.12,57274198.34,182108345.03
2022-01-10,46993257.73,78046987.29,58564369.73,183604614.75
2022-01-11,49049568.12,89589979.65,62964401.97,201603949.74
2022-01-12,50266636.28,91452778.53,64250799.74,205970214.55
2022-01-13,50864362.97,92468449.15,64195211.51,207528023.63
2022-01-14,50724067.59,92647720.41,64382346.37,207754134.37
2022-01-15,50477304.42,87595721.16,61723473.39,199796498.97
2022-01-16,48566699.08,78044535.21,59582503.52,186193737.81
2022-01-17,50163824.3,93108951.48,65285435.21,208558210.99
2022-01-18,52383404.63,94310532.9,65218509.92,211912447.45
2022-01-19,51946910.1,95031704.04,66220780.18,213199394.32
2022-01-20,52385499.15,95817003.78,66746009.79,214948512.72
2022-01-21,53160128.85,96810478.0,67070571.86,217041178.71
2022-01-22,52786021.16,90657532.0,63453864.18,206897417.34
2022-01-23,49766521.92,79333724.19,59757265.07,188857511.18
2022-01-24,50911640.62,94991787.91,66236066.87,212139495.4
2022-01-25,52852372.18,95058970.09,65951571.34,213862913.61
2022-01-26,52857669.34,95071478.52,66219510.73,214148658.59
2022-01-27,52968220.980000004,95431951.42999999,66559245.5,214959417.91
2022-01-28,52854467.37,96171354.2,66253885.11,215279706.68
2022-01-29,52444808.09,90087193.35,62228575.94,204760577.38
2022-01-30,48164272.82,77018849.99,58299135.11,183482257.92
2022-01-31,49811023.9,92364059.0,64923677.49,207098760.39
2022-02-01,52099340.01,94128403.09,66341100.21,212568843.31
2022-02-02,53156311.39,95316844.71,66731638.49,215204794.59
2022-02-03,53426075.63,96113339.09,67394590.73,216934005.45
2022-02-04,54251914.6,96235684.77,66539782.38,217027381.75
2022-02-05,52840140.45,90467179.69,62426349.96,205733670.1
2022-02-06,48544310.79,77415353.88,59147361.63,185107026.3
2022-02-07,51147482.83,93036695.42,65407797.23,209591975.48
2022-02-08,53112274.0,93439884.42,64508195.49,211060353.91
2022-02-09,52457701.89,93579710.57,65434597.73,211472010.19
2022-02-10,52434120.85,93592134.92,65625660.5,211651916.27
2022-02-11,53018895.589999996,95314092.38,66245459.01,214578446.98
2022-02-12,52483871.68,91238277.78,63836517.07,207558666.53
2022-02-13,49794814.06,79252106.35,60645335.09,189692255.5
2022-02-14,51873489.33,94691384.37,65910383.78,212475257.48
2022-02-15,53188798.91,93939192.93,65246059.05,212374050.89
2022-02-16,52598890.33,93917720.37,66124094.21,212640704.91
2022-02-17,53520805.99,95755091.26,66877845.04,216153742.29
2022-02-18,53817102.33,95119138.58,65288590.36,214224831.27
2022-02-19,52182714.08,89944888.93,62712265.6,204839868.61
2022-02-20,49060831.75,78046801.07,58589394.910000004,185697027.73
2022-02-21,50647198.97,94518383.3,66108351.87,211273934.14
2022-02-22,53282504.5,95415685.28,67023115.480000004,215721305.26
2022-02-23,53838460.29,96283178.49,67268243.8,217389882.58
2022-02-24,54315466.05,96205368.09,66701656.55,217222490.69
2022-02-25,53862498.99,96322824.02,66366851.14,216552174.15
2022-02-26,52787542.53,91139245.71,62776397.36,206703185.6
2022-02-27,49553466.84,78806391.76,58917199.4,187277058.0
2022-02-28,50888905.64,92484915.46,64633990.93,208007812.03
2022-03-01,52295690.51,93273321.42,65957589.58,211526601.51
2022-03-02,53686981.86,93586370.51,64946106.98,212219459.35
2022-03-03,52927208.77,94616999.87,65847084.7,213391293.34
2022-03-04,53470399.57,95221850.31,66181347.660000004,214873597.54
2022-03-05,52739336.52,90850810.85,62474387.85,206064535.22
2022-03-06,48819905.36,76292484.29,57467401.28,182579790.93
2022-03-07,49944311.12,93161652.75,65809808.71,208915772.58
2022-03-08,53045458.92,95207956.0,66372234.99,214625649.91
2022-03-09,53327005.26,95271233.76,66230718.25,214828957.27
2022-03-10,53526720.45,95179414.89,66227975.23,214934110.57
2022-03-11,53387448.82,95674158.4,65882110.47,214943717.69
2022-03-12,52233388.25,91186557.85,62689423.79,206109369.89
2022-03-13,49084241.76,77428089.51,59398072.64,185910403.91
2022-03-14,51364031.68,95874458.65,66236298.81,213474789.14000002
2022-03-15,53416764.55,95439952.02,66989777.74,215846494.31
2022-03-16,53982977.59,96497715.94,67150354.14,217631047.67
2022-03-17,53972521.89,96153207.47,67232609.98,217358339.34
2022-03-18,54409615.9,96914327.24,67227561.97,218551505.11
2022-03-19,53467266.57,91460647.24,63600435.74,208528349.55
2022-03-20,50324244.26,79561523.46,58917296.15,188803063.87
2022-03-21,48903074.339999996,81775420.99,61451863.61,192130358.94
2022-03-22,52466739.96,95675723.79,67085656.15,215228119.9
2022-03-23,54089674.32,96392145.66,67281706.85,217763526.83
2022-03-24,54596841.68,97440991.56,68375193.84,220413027.08
2022-03-25,54928799.22,98089013.39,68241468.25,221259280.86
2022-03-26,54318078.57,92077011.63,63295725.37,209690815.57
2022-03-27,49798477.0,79766924.41,59136058.57,188701459.98
2022-03-28,51281673.98,93735413.04,65477871.63,210494958.65
2022-03-29,52683572.43,94515518.97,66254887.21,213453978.61
2022-03-30,52917806.26,95475466.15,66689374.44,215082646.85
2022-03-31,54092929.87,95723850.19,66741981.11,216558761.17
2022-04-01,53947753.85,95143654.37,67088861.47,216180269.69
2022-04-02,53213577.64,91770299.81,63702023.83,208685901.28
2022-04-03,50569037.47,80858490.5,59470822.21,190898350.18
2022-04-04,50606012.96,94112169.56,65991917.35,210710099.87
2022-04-05,53333581.87,95712167.09,67384491.28,216430240.24
2022-04-06,54476057.11,97802799.92999999,68314477.09,220593334.13
