Fecha,Disponibilidad_kWh_0-7,Disponibilidad_kWh_7-17,Disponibilidad_kWh_17-23,Disponibilidad_kWh_Dia
2022-01-01,105432415.9065,152660569.5623,107035562.4588,365128547.9276
2022-01-02,106530707.234,154717215.8165,107967266.7564,369215189.8069
2022-01-03,106531721.3056,154099207.4087,107497998.8216,368128927.5359
2022-01-04,106925779.2126,154796791.9389,107135000.295,368857571.4465
2022-01-05,108081882.5188,157608182.3552,109503700.32789999,375193765.2019
2022-01-06,108632440.6498,157013826.4051,109415428.624,375061695.6789
2022-01-07,108467721.9458,152940931.5742,109047131.33,370455784.85
2022-01-08,109125821.5899,156533732.7104,108418339.7518,374077894.0521
2022-01-09,103531455.7155,152218682.19,106008076.6216,361758214.5271
2022-01-10,97140070.0818,148427899.6267,105598014.7538,351165984.4623
2022-01-11,95804663.3198,139568726.529,102973886.7236,338347276.5724
2022-01-12,97219815.8067,147799295.5008,103589710.3086,348608821.6161
2022-01-13,103821114.1051,149206377.0498,104939489.1824,357966980.3373
2022-01-14,104644704.3359,151148147.5244,104938307.2952,360731159.1555
2022-01-15,103808741.6899,149896404.3659,104352005.9578,358057152.0136
2022-01-16,99269764.14,146898560.7536,102011617.3046,348179942.1982
2022-01-17,101943021.6553,144427526.2542,100203193.5277,346573741.4372
2022-01-18,98751189.4573,139728511.4809,98614749.7458,337094450.684
2022-01-19,93248151.53830001,141211505.929,100047944.9311,334507602.3984
2022-01-20,93549911.0253,140290257.0303,100873452.8117,334713620.8673
2022-01-21,96602705.1169,143508611.1101,100449095.9998,340560412.2268
2022-01-22,100336459.64039999,143133555.5286,100951003.5624,344421018.7314
2022-01-23,101332117.8999,145939120.2466,101581341.7482,348852579.8947
2022-01-24,101860554.6399,145988918.2284,100654424.6523,348503897.5206
2022-01-25,93932131.5312,136545993.7515,99202591.9471,329680717.2298
2022-01-26,100281069.3811,142586550.8264,100423351.0581,343290971.2656
2022-01-27,93403084.8138,142768848.0184,99697847.0239,335869779.8561
2022-01-28,100129190.9728,144654255.9831,100395746.7895,345179193.7454
2022-01-29,98378937.8325,141550809.8729,99525636.8159,339455384.5213
2022-01-30,91268565.18,141560633.954,98531554.3108,331360753.4448
2022-01-31,97152379.413,137816293.8073,96242250.4354,331210923.6557
2022-02-01,93115831.863,132219326.0756,93446825.3096,318781983.2482
2022-02-02,85386946.1661,128265301.8669,93413530.9101,307065778.9431
2022-02-03,87613420.1121,134398765.8691,96893385.7206,318905571.7018
2022-02-04,97269052.3499,140243973.0387,97777272.0262,335290297.4148
2022-02-05,91018151.5988,132613830.6848,92528383.1709,316160365.4545
2022-02-06,98020570.8801,139217828.0889,98239470.3594,335477869.3284
