Titulo,Fuente,Fecha,Hora,url,Titulo_norm,Tipo_noticia
"""Hidrosogamoso nos aleja de un racionamiento de energía en el país"": Santos",Vanguardia,2015-01-15,00:00:00,https://news.google.com/rss/articles/CBMixAFBVV95cUxQeU1rTWtHUXFVMjRwclE0LXBxTmlBLU1BcUp1UnZjdTRBbHh1aF9qMTRnU1NPZEhNdFdXTGFIQ0hOenBuTUl5T0xSM2EwTm5RdE94NFczel9qbU1QSTRROUJSMHhRYTZUV1BvMktvYU9UdFdCWU9tb1k2SDViTkE2N0tuQ3J6U2M5NGlSRjV1TDljVDFqa1RaQV9KQ1BUNmJudE9uT3l4aXV4SjNxNDc4bzRTd0xTQWs1bWVmM2lwSFJVdS1W?oc=5&hl=en-US&gl=US&ceid=US:en,hidrosogamoso aleja racionamiento energia pais santos,0.977190469887651
Hidroeléctrica El Quimbo al fin generará desde julio | El Colombiano,El Colombiano,2015-01-18,00:00:00,https://news.google.com/rss/articles/CBMirgFBVV95cUxQN1p4UTI0X2dVZW42NWViV0VWSDk3ckxSNDlSdDdVOUw5T0dvUmpuWVVUTkpsa3dPLTZuYm5FWnBHTzNvNmVfNDdISlRxVHlyWTdjTG5PSzVsSjdESnBHSWlTR0lreEZOTXAwTHF1RmtjNkVnZUU2TWgyRE56SzBZMVFPazZ3MG5BWFNoUmh6T2JkQXdabzIwNHJremdKcTkzNU85UWc1cjRyc29pdEHSAbMBQVVfeXFMTWNxbkVkdzJoV1NFZWpPQndWTGl0T0R1VWJaRHI5UTJRMnNmTGs4cTBNUFI1a3pDbUd1NHZXUjRaNnNlRjB4S0R4ZXBqYjhJOXVlNUZiMzhhSjVzSXhsN0hLLUZfYVlqMUVIQ1RndWlkdWVpYll0YkdHNnd5NmZvUm82T19MMUswcDdGZnd0aGpHdEpla2taNS1RSFhKajMyM1ZTVlFOY0JPaDJoYlpranEzcVU?oc=5&hl=en-US&gl=US&ceid=US:en,hidroelectrica quimbo generara julio colombiano,0.977190469887651
CFE licitará 12 proyectos de infraestructura eléctrica,obras.expansion.mx,2015-01-28,08:00:00,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNQWQ2Y0tXaXRCOTNlckdMa19fd2FYcHplMUgzV0Q1dEdHY25JWTBMY0xET1REN1hDaEdmVVc3V3p3UzR0QzlqeW9rck9zanRDMUZZRVlqTjF6U24tQVAtYTZ1QkZxdEhwbnQ5b25jVGVqeXR3dXludlpvakUxTTRuNXowcWsxVDRncUUyOUtURG5pU3hVQ1VzWWdWZUhfWU9TTXJ2LXcxX2TSAbYBQVVfeXFMUHpiVVlpa0w5WklCLW9xeVF3bHVneGV6c3U0QW1temRJMXVFMlVyZ1hmU1BtNEc3QWJuNHJaWEtBNDRTaDMwdGg4Z1ZjMENDX09tWnFxUF9FOHAxUVh3c1l1ZjVqRno2andrSXZ3Zm4ycmREcnYwZzlwSGo3SVk3cEcwNWNhSDBWLWJQWEFrRFRhdEhRSzlHZ1FqV0hzM2Y0UXJCcjQxeWx1UGI2Y1FFOThYTFg2cHc?oc=5&hl=en-US&gl=US&ceid=US:en,cfe licitara 12 proyectos infraestructura electrica,0.977190469887651
Energía renovable latinoamericana aguanta bajos precios petroleros,IPS Agencia de Noticias,2015-02-18,00:00:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxOeUFkbVZ5VnljbnBoQjBPQlY1eHdJbkVVQnJ4QU9PYUprYTVmTi15eVlvV3BPa1dDdDFjTGNNNmxjWWxWZjNQdEdVa1Zia3ZIdVRKaWhNaHhRWXZBSG9rWDJrOXBKVlF5RkUzeUlUMzh3ZHhnT3JsRzZ6LWNWX3o1eW9xSVM3elhlTWNVOVFMRVZfQm9oUklubll1SkFadExR?oc=5&hl=en-US&gl=US&ceid=US:en,energia renovable latinoamericana aguanta bajos precios petroleros,0.05619584142921805
Tres nuevas hidroeléctricas generarán 517 megavatios más para Colombia este año,LaRepublica.co,2015-02-20,00:00:00,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQWWR0R3d2UE5Jc3pIaHA5YnVDLW1BY25KaVhHTGFMREt1MUViNVFLd2pjOVU1aWpFYVpuejhzSVZWSUgtd2liLUtsZW9GU2M1dmlTT3U2cUtPNXRsVk9xbXFLbHNuUlh5QUVHN3Q5eW0tTFBoQzR2eGttME9pekVwOGhvM0hDYlJMWG9ZbWxmNGY3WDFiQUhjOHdXQ3NBWXFDVHppdlVLNm9ILU1ITDhpcFFoRm1rMnJyTEY2M09OTm3SAcABQVVfeXFMTjZPZGprUTRubEdQRlVyUVlCeFlZLVpfRGx0QVM3ZzJ2Q3dpTS1abVNvUTFELVE0Mk9OeFV0SkljbGZTcFl3aWpFR25MTkhuRHVUOEVmYU5odExnWVJWSHYtM0x6dzl6NXQxRnRsVTFVeVU5R29DRlFGckpxeUZhWnh1Wnc5emtoQlZPdEpQRHJhUjQ3aFp0LVhDTTVMcnJyYmw4N0huMjExM05JZDVtM0RLYWVRVTg3ZG4zam5nTzlF?oc=5&hl=en-US&gl=US&ceid=US:en,hidroelectricas generaran 517 megavatios mas colombia ano,0.977190469887651
"Se disparan los precios de productos como el arroz, el café, la papa y la mandarina",LaRepublica.co,2015-02-25,08:00:00,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPcmZWNzJ2aGdQZjhYblZCNG04N0xfUHh1QU96NHE5azdVLW5WODVBTlFWVGVXUE5qeWE1bU82Um5idTFjOXhhVTVGU2tGelNOSzdhekF5NW15WnRERW1Eal9IY0tXbnFsMmtvdmItYkJxT1pGakpQQ1Q3M1JyTmQzQmFIT0pBSWwxOHQ0NE5wUkZMZllqY0ZQbVEycnh0aUxuN1Y1NWh1LXdSM0ZUaEY4d01RRWNScE0tMHh5VldLRHB1ZEXSAcMBQVVfeXFMTmFVcDlFSEZobXJPUzBVMnJEcV9WM2g4UlFHWXdsWnY1RUFUYjU0dy1tRlJteWpaWnZpaHlJUS02bmZDdy1HX2dkdVhFX19URnRaYnBzcHhlN3lRSG9ieEE3M0JvYzZYbnpDYWRGQ0tZZVdQN1pQYTBLWjE2aXdMZ3BWdDhRWHRneHVRX3BlNFJTRmNXaXlRN09RUDR5OGktSGpqSzhOTnhMc0ZTQmpWSHBTN0ttbnRDZ2pLTG5FenE4NVNJ?oc=5&hl=en-US&gl=US&ceid=US:en,disparan precios productos arroz cafe papa mandarina,0.9763050380288941
“El fenómeno de la Niña le costó al país casi lo mismo que la reforma tributaria”,Semana.com,2015-03-15,07:00:00,https://news.google.com/rss/articles/CBMiogFBVV95cUxPeWpZcko5WXFTNzJESE51S3lEOGFfSEl5aGZxOVFRd3o3cFMtbVowamZ2c1pyMFk5bGhldVdvX2dHSFdjdW43WTNOb29EMDAtS2VsNDl6YTNTaXBlMzZNVk5PdXZtNDlQblZEOE5fRXJIdmo5dTVwVDZPZ2JmTmpZWFFqbWVMNFhyWFBnbDNSZTJCdDFwMlRsNHBSY2FGZU5NTEHSAacBQVVfeXFMUENsbkFOMFdaZ3VvbUsyOFVnNl9PaDdscFZ3ZFczTDI0WTUzV3V3TE9iNjJHMmIxT0thUjRndVYyLXA1SmJpSGNZTGY2UTFQVzRtVl9lQnNmTFFNQTlSM0tScWhEdVYzYUlnYmZkdnR5bWZDdlB0YjhjOU1qLTBQVi1oUGwzdm9nY3hoX3NTVFZEQzJvZV92TDIxV1I3SkNhYXNoQ0d0S3c?oc=5&hl=en-US&gl=US&ceid=US:en,fenomeno nina costo pais reforma tributaria,0.04401396314748126
Puma Energy llega a Colombia,ELTIEMPO.COM,2015-03-20,07:00:00,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9JS25LQnlOaVVlLWlBMk1ZdU83dGpvYXhodHpuU0lzMURlMlFPekxSbHZmNm1ESWV2bHYya1FxX3RqWFhrcEdRTnhBTXNUX0oybnJtT0ZyQUgwRkk2UXJ5akZkYkhYUdIBa0FVX3lxTFBHSUFsbHllZ1loMi1WRFUyUUR6S0t6S094Vmh6NG9IbENqWE5QTHd1ck5famtRakN5YWpKdUhaLWxsb2F1WGN1ME5wYXFiQVQxbTA3cjRha2N2cGhIZFNNWWh2bGliRW4xQ2xv?oc=5&hl=en-US&gl=US&ceid=US:en,puma energy llega colombia,0.977190469887651
"Sector energético y agrícola, los grandes consumidores de agua",Semana.com,2015-03-30,07:00:00,https://news.google.com/rss/articles/CBMipAFBVV95cUxOaDVydkZTQjNXaUhGUUtheHFqTzRDRXV5WXpLa1pYS0xxWTBQU0l1amFHVzQzOVMzbnEwQUd1X3d3SzdEbmVXWk5WWXpJUjMyZkl5ZkF2VTFZUnFvb2x0TzA1ZHFCdzdkNDRhajJ4V0VaQ3FyalYwRUtJVXR4empPNXFBRlNyak53NUNTb3dQb3hlMEozT1BzN0FMYzFWV2UwNWN3c9IBqgFBVV95cUxNX0YwOHdiZGtYVjdGbXdQXzd1bC13TkVzRG9pTFlmdmM1S1JvUk1ic28ya3JZQkJuWER5blJ3ZHd4N2ktNnlEblROM0RZUzdYeGkxS0FxQ0pNV29KMmhzR1F0ekttU0JWX0xQRVhHaXJRdlZDclFvZFl2UG02dGhJcnNQbXVMay1tTVM1MHR6UFdRcE9MMnJRMVpzMktsTXVvZ3F4RS15T2lidw?oc=5&hl=en-US&gl=US&ceid=US:en,sector energetico agricola consumidores agua,0.977190469887651
"El precio de la carne al consumidor aumentó 6,7% en los últimos 12 meses a marzo",LaRepublica.co,2015-04-18,07:00:00,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQNFdrNjBkQkM3Y1NhMkVXZDUxRTZTOHFDZURZQ2VmdnBSQ1lpdy03U0FzZnZwQ2tSNERlaHZ5ZTIzOHU2Mk95Y3dfSHdUb0xRWHBoeUttSEVEbmdsMGNOZmRkYmRlNEVNRXU5blVUcnBLVDNjU1p6RDBSTy1lUTlEbVBUNUZad3RBUGNrUjZZZl9sSW45RlVzM2RPYUJrUVlIb05Ja09ILTBNNUItM3VoWE1UM1BLRlZsd0lHVjgxSDfSAcABQVVfeXFMT18yNllYU1VPY2dSOEFSUFNvZ0xuU0Z6d2pKaXJLWUhMRHFzUnNNU21tNUNycnNTOElhS3BoUldxeUh5QmZEdlpWZUxzeW51TDg1R2s3cGxFeUJ5M2ROUXdfMnlHSnZhLUlCbHI3cU41MDh4bjBVRThtLVl0cktDRDRQeVlfOFhENkh3Q3hSNWpYbnpIblBhVHFFUnFRMkZZWG9PWVlFS3VjTjlvWWhmQjhTb19RMlFpZnVobFpGVjRy?oc=5&hl=en-US&gl=US&ceid=US:en,precio carne consumidor aumento 6 7 ultimos 12 meses marzo,0.977190469887651
