Fecha,DTB_Vencimiento_00Meses,DTB_Vencimiento_01Meses,DTB_Vencimiento_02Meses,DTB_Vencimiento_03Meses,DTB_Vencimiento_04Meses,DTB_Vencimiento_05Meses,DTB_Vencimiento_06Meses,DTB_Vencimiento_07Meses,DTB_Vencimiento_08Meses,DTB_Vencimiento_09Meses,DTB_Vencimiento_10Meses,DTB_Vencimiento_11Meses,DTB_Vencimiento_12Meses,DTB_Vencimiento_13Meses,DTB_Vencimiento_14Meses,DTB_Vencimiento_15Meses,DTB_Vencimiento_16Meses,DTB_Vencimiento_17Meses,DTB_Vencimiento_18Meses,DTB_Vencimiento_19Meses,DTB_Vencimiento_20Meses,DTB_Vencimiento_21Meses,DTB_Vencimiento_22Meses,DTB_Vencimiento_23Meses,ELM_Vencimiento_00Meses,ELM_Vencimiento_01Meses,ELM_Vencimiento_02Meses,ELM_Vencimiento_03Meses,ELM_Vencimiento_04Meses,ELM_Vencimiento_05Meses,ELM_Vencimiento_06Meses,ELM_Vencimiento_07Meses,ELM_Vencimiento_08Meses,ELM_Vencimiento_09Meses,ELM_Vencimiento_10Meses,ELM_Vencimiento_11Meses,ELM_Vencimiento_12Meses,ELM_Vencimiento_13Meses,ELM_Vencimiento_14Meses,ELM_Vencimiento_15Meses,ELM_Vencimiento_16Meses,ELM_Vencimiento_17Meses,ELM_Vencimiento_18Meses,ELM_Vencimiento_19Meses,ELM_Vencimiento_20Meses,ELM_Vencimiento_21Meses,ELM_Vencimiento_22Meses,ELM_Vencimiento_23Meses,ELM_Vencimiento_24Meses,ELM_Vencimiento_25Meses,ELM_Vencimiento_26Meses,ELM_Vencimiento_27Meses,ELM_Vencimiento_28Meses,ELM_Vencimiento_29Meses,ELM_Vencimiento_30Meses,ELM_Vencimiento_31Meses,ELM_Vencimiento_32Meses,ELM_Vencimiento_33Meses,ELM_Vencimiento_34Meses,ELM_Vencimiento_35Meses,ELM_Vencimiento_36Meses,ELM_Vencimiento_37Meses,ELM_Vencimiento_38Meses,ELM_Vencimiento_39Meses,ELM_Vencimiento_40Meses,ELM_Vencimiento_41Meses,ELM_Vencimiento_42Meses,ELM_Vencimiento_43Meses,ELM_Vencimiento_44Meses,ELM_Vencimiento_45Meses,ELM_Vencimiento_46Meses,ELM_Vencimiento_47Meses,ELM_Vencimiento_48Meses,ELM_Vencimiento_49Meses,ELM_Vencimiento_50Meses,ELM_Vencimiento_51Meses,ELM_Vencimiento_52Meses,ELM_Vencimiento_53Meses,ELM_Vencimiento_54Meses,ELM_Vencimiento_55Meses,ELM_Vencimiento_56Meses,ELM_Vencimiento_57Meses,ELM_Vencimiento_58Meses,ELM_Vencimiento_59Meses,ELM_Vencimiento_60Meses,ELM_Vencimiento_61Meses,ELM_Vencimiento_62Meses,ELM_Vencimiento_63Meses,ELM_Vencimiento_64Meses,ELM_Vencimiento_65Meses,ELM_Vencimiento_66Meses,ELM_Vencimiento_67Meses,ELM_Vencimiento_68Meses,ELM_Vencimiento_69Meses,ELM_Vencimiento_70Meses,ELM_Vencimiento_71Meses,MTB_Vencimiento_00Meses,MTB_Vencimiento_01Meses,MTB_Vencimiento_02Meses,MTB_Vencimiento_03Meses,MTB_Vencimiento_04Meses,MTB_Vencimiento_05Meses,MTB_Vencimiento_06Meses,MTB_Vencimiento_07Meses,MTB_Vencimiento_08Meses,MTB_Vencimiento_09Meses,MTB_Vencimiento_10Meses,MTB_Vencimiento_11Meses,MTB_Vencimiento_12Meses,MTB_Vencimiento_13Meses,MTB_Vencimiento_14Meses,MTB_Vencimiento_15Meses,MTB_Vencimiento_16Meses,MTB_Vencimiento_17Meses,MTB_Vencimiento_18Meses,MTB_Vencimiento_19Meses,MTB_Vencimiento_20Meses,MTB_Vencimiento_21Meses,MTB_Vencimiento_22Meses,MTB_Vencimiento_23Meses,NTB_Vencimiento_00Meses,NTB_Vencimiento_01Meses,NTB_Vencimiento_02Meses,NTB_Vencimiento_03Meses,NTB_Vencimiento_04Meses,NTB_Vencimiento_05Meses,NTB_Vencimiento_06Meses,NTB_Vencimiento_07Meses,NTB_Vencimiento_08Meses,NTB_Vencimiento_09Meses,NTB_Vencimiento_10Meses,NTB_Vencimiento_11Meses,NTB_Vencimiento_12Meses,NTB_Vencimiento_13Meses,NTB_Vencimiento_14Meses,NTB_Vencimiento_15Meses,NTB_Vencimiento_16Meses,NTB_Vencimiento_17Meses,NTB_Vencimiento_18Meses,NTB_Vencimiento_19Meses,NTB_Vencimiento_20Meses,NTB_Vencimiento_21Meses,NTB_Vencimiento_22Meses,NTB_Vencimiento_23Meses
2022-01-03,309.23,315.0,288.75,252.0,252.67,252.0,252.0,252.0,262.68,262.68,262.68,262.68,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,294.5,300.0,275.0,240.0,240.64,240.0,240.0,240.0,250.17,250.17,250.17,250.17,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,266.0,258.0,236.5,206.4,206.95,206.4,206.4,206.4,215.15,215.15,215.15,215.15,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,312.17,318.0,291.5,254.4,255.08,254.4,254.4,254.4,265.18,265.18,265.18,265.18,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-04,293.77,302.4,288.75,252.0,252.67,252.0,252.0,252.0,262.68,262.68,262.68,262.68,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,282.72,295.0,275.0,240.0,240.64,240.0,240.0,240.0,250.17,250.17,250.17,250.17,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,252.7,250.26,236.5,206.4,206.95,206.4,206.4,206.4,215.15,215.15,215.15,215.15,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,299.68,307.12,291.5,254.4,255.08,254.4,254.4,254.4,265.18,265.18,265.18,265.18,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-05,278.29,289.61,277.66,252.0,252.67,252.0,252.0,252.0,262.68,262.68,262.68,262.68,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,272.37,288.86,271.87,240.0,240.64,240.0,240.0,240.0,250.17,250.17,250.17,250.17,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,249.47,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,230.54,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,239.86,242.73,230.68,206.4,206.95,206.4,206.4,206.4,215.15,215.15,215.15,215.15,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,287.21,296.22,282.55,254.4,255.08,254.4,254.4,254.4,265.18,265.18,265.18,265.18,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-06,267.1,279.68,269.41,262.5,252.0,252.0,252.0,252.0,262.68,262.68,262.68,262.68,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,262.02,281.99,268.74,250.0,240.0,240.0,240.0,240.0,250.17,250.17,250.17,250.17,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,235.27,235.27,235.27,235.27,235.27,235.27,235.27,235.27,235.27,235.27,235.27,235.27,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,227.03,235.21,224.87,215.0,206.4,206.4,206.4,206.4,215.15,215.15,215.15,215.15,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,276.47,288.19,276.48,265.0,254.4,254.4,254.4,254.4,265.18,265.18,265.18,265.18,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-07,255.91,269.72,261.17,266.86,252.96,252.0,252.0,252.0,262.68,262.68,262.68,262.68,273.49,273.49,273.49,273.49,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,251.7,274.15,265.62,254.15,240.91,240.0,240.0,240.0,250.17,250.17,250.17,250.17,260.47,260.47,260.47,260.47,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,214.2,227.68,219.07,218.57,207.18,206.4,206.4,206.4,215.15,215.15,215.15,215.15,224.0,224.0,224.0,224.0,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,265.38,278.48,268.74,269.4,255.36,254.4,254.4,254.4,265.18,265.18,265.18,265.18,276.1,276.1,276.1,276.1,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-11,245.67,261.63,258.56,266.86,252.96,252.0,252.0,252.0,262.68,262.68,262.68,262.68,273.49,273.49,273.49,273.49,269.85,269.85,269.85,269.85,269.85,269.85,269.85,269.85,241.63,265.93,262.96,254.15,240.91,240.0,240.0,240.0,250.17,250.17,250.17,250.17,260.47,260.47,260.47,260.47,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,205.63,220.85,216.88,218.57,207.18,206.4,206.4,206.4,215.15,215.15,215.15,215.15,224.0,224.0,224.0,224.0,221.02,221.02,221.02,221.02,221.02,221.02,221.02,221.02,254.76,270.13,266.05,269.4,255.36,254.4,254.4,254.4,265.18,265.18,265.18,265.18,276.1,276.1,276.1,276.1,272.42,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-12,236.75,259.01,256.16,269.0,247.23,252.0,252.0,252.0,262.68,262.68,262.68,262.68,273.25,273.49,273.49,278.25,270.69,269.85,269.85,269.85,269.85,269.85,269.85,269.85,233.73,264.79,262.04,262.08,235.46,240.0,240.0,240.0,250.17,250.17,250.17,250.17,260.24,260.47,260.47,265.0,257.8,257.0,257.0,257.0,257.0,257.0,257.0,257.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,201.72,220.08,216.38,220.0,202.5,206.4,206.4,206.4,215.15,215.15,215.15,215.15,223.81,224.0,224.0,227.9,221.71,221.02,221.02,221.02,221.02,221.02,221.02,221.02,246.07,267.62,263.84,270.0,249.59,254.4,254.4,254.4,265.18,265.18,265.18,265.18,275.85,276.1,276.1,280.9,273.27,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-13,235.68,257.9,255.26,269.0,247.23,252.0,252.0,252.0,262.68,262.68,262.68,262.68,273.25,273.49,273.49,278.25,270.69,269.85,269.85,269.85,269.85,269.85,269.85,269.85,232.68,263.65,261.12,262.08,235.46,240.0,240.0,240.0,250.17,250.17,250.17,250.17,260.24,260.47,260.47,265.0,257.8,257.0,257.0,257.0,257.0,257.0,257.0,257.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,200.81,219.13,215.62,220.0,202.5,206.4,206.4,206.4,215.15,215.15,215.15,215.15,223.81,224.0,224.0,227.9,221.71,221.02,221.02,221.02,221.02,221.02,221.02,221.02,244.96,266.47,262.92,270.0,249.59,254.4,254.4,254.4,265.18,265.18,265.18,265.18,275.85,276.1,276.1,280.9,273.27,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-14,234.62,256.79,254.37,269.0,247.23,252.0,252.0,252.0,262.68,262.68,262.68,262.68,273.25,273.49,273.49,278.25,270.69,269.85,269.85,269.85,269.85,269.85,269.85,269.85,231.63,262.52,260.21,262.08,235.46,240.0,240.0,240.0,250.17,250.17,250.17,250.17,260.24,260.47,260.47,265.0,257.8,257.0,257.0,257.0,257.0,257.0,257.0,257.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,199.91,218.19,214.87,220.0,202.5,206.4,206.4,206.4,215.15,215.15,215.15,215.15,223.81,224.0,224.0,227.9,221.71,221.02,221.02,221.02,221.02,221.02,221.02,221.02,243.86,265.32,262.0,270.0,249.59,254.4,254.4,254.4,265.18,265.18,265.18,265.18,275.85,276.1,276.1,280.9,273.27,272.42,272.42,272.42,272.42,272.42,272.42,272.42
2022-01-17,234.62,256.79,254.37,269.0,247.23,252.0,252.0,252.0,262.68,262.68,262.68,262.68,273.25,273.49,273.49,278.25,270.69,269.85,269.85,269.85,269.85,269.85,269.85,269.85,231.63,262.52,260.21,262.08,235.46,240.0,240.0,240.0,250.17,250.17,250.17,250.17,260.24,260.47,260.47,265.0,257.8,257.0,257.0,257.0,257.0,257.0,257.0,257.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,199.91,219.26,215.82,220.0,202.5,206.4,206.4,206.4,215.15,215.15,215.15,215.15,223.81,224.0,224.0,227.9,221.71,221.02,221.02,221.02,221.02,221.02,221.02,221.02,243.86,265.32,262.0,270.0,249.59,254.4,254.4,254.4,265.18,265.18,265.18,265.18,275.85,276.1,276.1,280.9,273.27,272.42,272.42,272.42,272.42,272.42,272.42,272.42
