Fecha,Precio_Ponderado_COP/kWh,AportesHidricos_GWh,Generacion_Termica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Tipo_noticia,AportesHidricos_GWh_MA7,DTB_Vencimiento_00Meses,DTB_Vencimiento_01Meses,DTB_Vencimiento_02Meses,DTB_Vencimiento_03Meses,DTB_Vencimiento_04Meses,DTB_Vencimiento_05Meses,DTB_Vencimiento_06Meses,Precio_COP/kWh_7-17,Precio_Bilateral_COP/kWh_7-17,Demanda_kWh_7-17,Demanda_kWh_7-17_Comprador,Demanda_Comprador_7-17_01Meses_Adelante,Demanda_Comprador_7-17_02Meses_Adelante,Demanda_Comprador_7-17_03Meses_Adelante,Demanda_Comprador_7-17_04Meses_Adelante,Demanda_Comprador_7-17_05Meses_Adelante,Demanda_Comprador_7-17_06Meses_Adelante,Disponibilidad_kWh_7-17,Ratio_Cobertura_7-17,Retorno_Precio_7-17,Base_DTB_Vencimiento_00Meses,Retorno_DTB_Vencimiento_00Meses,Beta_MA30_DTB_Vencimiento_00Meses,Base_DTB_Vencimiento_01Meses,Retorno_DTB_Vencimiento_01Meses,Beta_MA30_DTB_Vencimiento_01Meses,Base_DTB_Vencimiento_02Meses,Retorno_DTB_Vencimiento_02Meses,Beta_MA30_DTB_Vencimiento_02Meses,Base_DTB_Vencimiento_03Meses,Retorno_DTB_Vencimiento_03Meses,Beta_MA30_DTB_Vencimiento_03Meses,Base_DTB_Vencimiento_04Meses,Retorno_DTB_Vencimiento_04Meses,Beta_MA30_DTB_Vencimiento_04Meses,Base_DTB_Vencimiento_05Meses,Retorno_DTB_Vencimiento_05Meses,Beta_MA30_DTB_Vencimiento_05Meses,Base_DTB_Vencimiento_06Meses,Retorno_DTB_Vencimiento_06Meses,Beta_MA30_DTB_Vencimiento_06Meses
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,196.0417,213.389,38209079.95,119726013.03,1324959.14,0.977190469887651,213.389,309.23,315.0,288.75,252.0,252.67,252.0,252.0,186.7526,241.282,66527487.22,9910.632,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,152660569.5623,2.2946991678411988,,122.47740000000002,,,128.2474,,,101.9974,,,65.2474,,,65.91739999999999,,,65.2474,,,65.2474,,
2022-01-03,198.9087,216.1326,40743104.55,125160173.39,1364370.37,0.977190469887651,214.76080000000002,309.23,315.0,288.75,252.0,252.67,252.0,252.0,191.0073,241.282,72579848.28,11508.604,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,154717215.8165,2.1316828222019537,0.022526900939453524,118.22270000000003,0.0,,123.99270000000001,0.0,,97.74270000000001,0.0,,60.99270000000001,0.0,,61.6627,0.0,,60.99270000000001,0.0,,60.99270000000001,0.0,
2022-01-04,206.4392,202.5926,45120081.28,146881478.98,1310334.27,0.977190469887651,210.70473333333334,309.23,315.0,288.75,252.0,252.67,252.0,252.0,217.5655,241.282,85865432.51,15612.386,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,154099207.4087,1.7946594211908662,0.13018830740608353,91.66450000000003,0.0,,97.43450000000001,0.0,,71.18450000000001,0.0,,34.434500000000014,0.0,,35.1045,0.0,,34.434500000000014,0.0,,34.434500000000014,0.0,
2022-01-05,164.5894,192.1692,34644912.16,164190684.85,1368621.77,0.977190469887651,206.07085,293.77,302.4,288.75,252.0,252.67,252.0,252.0,177.5008,241.282,88790215.8,17539.95,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,154796791.9389,1.7433992083945358,-0.20352483867007243,116.26919999999998,-0.05128818833918108,,124.89919999999998,-0.040821994520255166,,111.2492,0.0,,74.4992,0.0,,75.16919999999999,0.0,,74.4992,0.0,,74.4992,0.0,
2022-01-06,176.2716,183.0946,30259227.35,169785451.29,1373725.95,0.8535830339442734,201.47560000000001,278.29,289.61,277.66,252.0,252.67,252.0,252.0,190.8644,241.282,88973392.34,17399.306,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,157608182.3552,1.771408037955002,0.07258811232291407,87.42560000000003,-0.05413341280780626,,98.74560000000002,-0.0432154540032363,,86.79560000000004,-0.03916391822934691,,61.13560000000001,0.0,,61.8056,0.0,,61.13560000000001,0.0,,61.13560000000001,0.0,
2022-01-07,192.5089,209.8716,30694720.13,170473582.75,1261827.19,0.8741842732681698,202.87493333333336,267.1,279.68,269.41,262.5,252.0,252.0,252.0,195.4875,241.282,89724929.02,17902.914,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,157013826.4051,1.7499465100730374,0.02393321049185266,71.61250000000001,-0.04104061532334438,,84.1925,-0.0348890978349709,,73.92250000000001,-0.030162960794435183,,67.01249999999999,0.0408219945202552,,56.51249999999999,-0.002655201987954022,,56.51249999999999,0.0,,56.51249999999999,0.0,
2022-01-08,198.512,243.4076,30647433.29,170950134.35,1242795.53,0.88889944421381,208.6653142857143,255.91,269.72,261.17,266.86,252.96,252.0,252.0,203.4376,241.282,90148713.43,16935.010000000002,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,152940931.5742,1.6965403692972039,0.03986288519189276,52.47239999999999,-0.04279729994893626,,66.28240000000002,-0.03626170860078933,,57.73240000000001,-0.031062846523841427,,63.42240000000001,0.01647309428259622,,49.522400000000005,0.0038022859497387,,48.5624,0.0,,48.5624,0.0,
2022-01-09,203.8959,187.1878,28323475.44,166868067.22,1347883.84,0.89993582242304,204.9222857142857,255.91,269.72,261.17,266.86,252.96,252.0,252.0,203.6831,241.282,86470588.03,16163.797,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,156533732.7104,1.810254056050739,0.0012060306919144971,52.2269,0.0,,66.03690000000003,0.0,,57.48690000000002,0.0,,63.17690000000002,0.0,,49.27690000000001,0.0,,48.316900000000004,0.0,,48.316900000000004,0.0,
2022-01-10,199.5924,180.3552,24196135.66,154416893.26,1361124.09,0.9085196721413301,199.81122857142856,255.91,269.72,261.17,266.86,252.96,252.0,252.0,197.5277,241.282,76620436.12,12600.853,476158.04600000003,522784.764,513488.994,530937.789,504047.232,523759.14900000003,152218682.19,1.9866590416113123,-0.030686526974963296,58.38229999999999,0.0,,72.19230000000002,0.0,,63.642300000000006,0.0,,69.3323,0.0,,55.4323,0.0,,54.47229999999999,0.0,,54.47229999999999,0.0,
