Fecha,Demanda_kWh_0-7_Comprador,Demanda_kWh_7-17_Comprador,Demanda_kWh_17-23_Comprador,Demanda_kWh_Dia_Comprador,Mes_Periodo,Demanda_Comprador_Dia_01Meses_Adelante,Demanda_Comprador_0-7_01Meses_Adelante,Demanda_Comprador_7-17_01Meses_Adelante,Demanda_Comprador_17-23_01Meses_Adelante,Demanda_Comprador_Dia_02Meses_Adelante,Demanda_Comprador_0-7_02Meses_Adelante,Demanda_Comprador_7-17_02Meses_Adelante,Demanda_Comprador_17-23_02Meses_Adelante,Demanda_Comprador_Dia_03Meses_Adelante,Demanda_Comprador_0-7_03Meses_Adelante,Demanda_Comprador_7-17_03Meses_Adelante,Demanda_Comprador_17-23_03Meses_Adelante,Demanda_Comprador_Dia_04Meses_Adelante,Demanda_Comprador_0-7_04Meses_Adelante,Demanda_Comprador_7-17_04Meses_Adelante,Demanda_Comprador_17-23_04Meses_Adelante,Demanda_Comprador_Dia_05Meses_Adelante,Demanda_Comprador_0-7_05Meses_Adelante,Demanda_Comprador_7-17_05Meses_Adelante,Demanda_Comprador_17-23_05Meses_Adelante,Demanda_Comprador_Dia_06Meses_Adelante,Demanda_Comprador_0-7_06Meses_Adelante,Demanda_Comprador_7-17_06Meses_Adelante,Demanda_Comprador_17-23_06Meses_Adelante
2022-01-01,6112.581,9910.632,6953.136,22976.349,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-02,5856.6320000000005,11508.604,8215.055,25580.291,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-03,7160.325,15612.386,9695.601,32468.312,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-04,7983.658,17539.95,10487.076,36010.684,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-05,8641.944,17399.306,10569.331,36610.581000000006,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-06,8605.058,17902.914,10721.518,37229.490000000005,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-07,8830.411,16935.010000000002,10395.299,36160.72,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-08,8695.008,16163.797,9746.865,34605.67,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-09,7746.146,12600.853,8505.626,28852.625,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-10,7104.432000000001,13943.101,9161.092,30208.625,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-11,8356.057,17877.858,10484.429,36718.344000000005,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-12,9079.18,18526.423000000003,10773.887,38379.490000000005,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-13,9031.595,17987.848,10604.722,37624.165,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-14,8607.452000000001,18076.78,11253.233,37937.465,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-15,9211.617,17270.034,10436.157,36917.808000000005,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-16,8345.209,14032.178,9326.412,31703.799000000003,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-17,8415.26,18405.116,10983.076,37803.452000000005,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-18,9015.968,18450.956,10630.196,38097.12,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-19,8791.932,18549.514,11313.918,38655.364,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-20,8895.204000000002,19125.906000000003,11266.008000000002,39287.118,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-21,8879.839,19221.376,11460.894,39562.109,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-22,8804.593,16772.596,10277.528,35854.717000000004,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-23,7939.394,13213.833,9687.328,30840.555,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-24,8543.724,18499.098,10993.242,38036.064000000006,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-25,8987.744,18220.019,10912.044,38119.807,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-26,8947.379,18504.861,11276.973000000002,38729.213,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-27,9046.547,18224.009,11278.841,38549.397,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-28,9005.961000000001,17993.665,11327.004,38326.630000000005,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-29,8951.776,16764.543,10565.32,36281.639,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
2022-01-30,7977.492000000001,13730.631,9531.23,31239.353000000003,2022-01,1003609.346,233828.02500000002,476158.04600000003,293623.275,1091573.892,251441.614,522784.764,317347.514,1076441.268,250423.252,513488.994,312529.022,1100937.509,252714.27300000002,530937.789,317285.447,1034230.811,230845.404,504047.232,299338.175,1076422.627,240934.582,523759.14900000003,311728.896
