Fecha,AportesHidricos_GWh,AportesHidricos_GWh_MA7
2024-01-01,227.906,227.906
2024-01-02,214.883,221.3945
2024-01-03,209.4194,217.40279999999998
2024-01-04,193.0248,211.3083
2024-01-05,188.4468,206.73600000000002
2024-01-06,185.2782,203.15970000000002
2024-01-07,168.3654,198.1890857142857
2024-01-08,159.723,188.44865714285717
2024-01-09,154.7698,179.86105714285713
2024-01-10,160.5202,172.87545714285716
2024-01-11,159.0294,168.01897142857143
2024-01-12,169.0176,165.24337142857144
2024-01-13,163.3412,162.10951428571428
2024-01-14,150.4882,159.55562857142857
2024-01-15,145.6474,157.54482857142855
2024-01-16,142.8622,155.84374285714284
2024-01-17,139.0784,152.7806285714286
2024-01-18,130.594,148.71842857142857
2024-01-19,130.2006,143.17314285714286
2024-01-20,126.4694,137.90574285714285
2024-01-21,128.1342,134.71231428571429
2024-01-22,130.5804,132.5598857142857
2024-01-23,126.7418,130.25697142857143
2024-01-24,118.801,127.36019999999998
2024-01-25,114.6468,125.08202857142858
2024-01-26,115.5796,122.99331428571428
2024-01-27,123.6492,122.59042857142857
2024-01-28,116.705,120.95768571428572
2024-01-29,111.6494,118.25325714285714
2024-01-30,113.3026,116.33337142857143
2024-01-31,127.6772,117.60140000000001
2024-02-01,147.0296,122.22751428571428
2024-02-02,157.5744,128.22677142857142
2024-02-03,235.0196,144.13682857142857
2024-02-04,239.4436,161.6709142857143
2024-02-05,245.3388,180.7694
2024-02-06,257.7414,201.40351428571427
2024-02-07,228.45,215.79962857142854
2024-02-08,192.661,222.31839999999997
2024-02-09,183.207,225.98019999999997
2024-02-10,192.6848,219.93237142857146
2024-02-11,165.2792,209.33745714285715
2024-02-12,154.7104,196.39054285714286
2024-02-13,136.4668,179.0656
2024-02-14,151.223,168.03317142857145
2024-02-15,135.2744,159.83508571428573
2024-02-16,146.4716,154.58717142857145
2024-02-17,142.4604,147.41225714285716
2024-02-18,144.2146,144.4030285714286
2024-02-19,123.4144,139.93217142857142
2024-02-20,127.353,138.6302
2024-02-21,130.4502,135.66265714285714
2024-02-22,140.4408,136.4007142857143
2024-02-23,135.3364,134.80997142857143
2024-02-24,118.7188,131.41831428571427
2024-02-25,126.2226,128.84802857142856
2024-02-26,127.4898,129.43022857142856
2024-02-27,125.3278,129.14091428571427
2024-02-28,120.5894,127.73222857142856
2024-02-29,120.8342,124.93128571428572
2024-03-01,123.4416,123.23202857142857
2024-03-02,126.0416,124.27814285714285
2024-03-03,129.4516,124.73942857142856
2024-03-04,146.2116,127.41397142857143
2024-03-05,140.8618,129.63311428571427
2024-03-06,134.2438,131.58374285714285
2024-03-07,121.8672,131.7313142857143
2024-03-08,138.474,133.8788
2024-03-09,161.0452,138.8793142857143
2024-03-10,135.5352,139.7484
2024-03-11,185.53,145.36531428571428
2024-03-12,166.8876,149.08328571428572
2024-03-13,127.5898,148.1327142857143
2024-03-14,176.2468,155.9012285714286
2024-03-15,132.6958,155.07577142857141
2024-03-16,120.1244,149.22994285714285
2024-03-17,133.795,148.98134285714286
2024-03-18,122.7356,140.0107142857143
2024-03-19,150.6856,137.69614285714286
2024-03-20,137.359,139.09174285714286
2024-03-21,154.979,136.0534857142857
2024-03-22,154.5134,139.1702857142857
2024-03-23,127.9204,140.28400000000002
2024-03-24,112.1112,137.18631428571427
2024-03-25,140.704,139.75322857142856
2024-03-26,155.7538,140.47725714285713
2024-03-27,145.387,141.62411428571428
2024-03-28,131.6196,138.28705714285715
2024-03-29,135.1132,135.5156
2024-03-30,132.6862,136.19642857142858
2024-03-31,155.5598,142.40337142857143
2024-04-01,185.9802,148.8714
2024-04-02,279.2246,166.5100857142857
2024-04-03,247.4586,181.09174285714286
2024-04-04,338.4998,210.64605714285713
2024-04-05,296.7118,233.7315714285714
2024-04-06,276.6734,254.30117142857145
2024-04-07,206.4046,261.5647142857143
2024-04-08,192.725,262.5282571428571
2024-04-09,183.5686,248.8631142857143
2024-04-10,156.8878,235.92442857142856
2024-04-11,141.2474,207.74551428571428
2024-04-12,137.0298,184.93380000000002
2024-04-13,130.2924,164.02222857142854
2024-04-14,125.5924,152.47762857142857
2024-04-15,131.0058,143.6606
2024-04-16,127.3666,135.63174285714285
2024-04-17,135.5878,132.5888857142857
2024-04-18,168.6636,136.50548571428573
2024-04-19,246.5602,152.15268571428572
2024-04-20,281.4426,173.74557142857142
2024-04-21,347.7106,205.47674285714285
2024-04-22,429.234,248.0807714285714
2024-04-23,384.4206,284.8027714285714
2024-04-24,330.3164,312.62114285714284
2024-04-25,336.5566,336.60585714285713
2024-04-26,350.3942,351.43928571428575
2024-04-27,381.8514,365.7834
2024-04-28,412.3754,375.0212285714286
2024-04-29,606.4124,400.3324285714286
2024-04-30,409.7446,403.9501428571429
2024-05-01,424.0188,417.3362
2024-05-02,460.4734,435.03860000000003
2024-05-03,399.9352,442.11588571428575
2024-05-04,632.9272,477.9838571428572
2024-05-05,701.025,519.2195142857144
2024-05-06,515.043,506.1667428571428
2024-05-07,411.3922,506.4021142857143
2024-05-08,631.2812,536.0110285714286
2024-05-09,937.463,604.1524
2024-05-10,789.582,659.8162285714286
2024-05-11,586.644,653.2043428571429
2024-05-12,577.9408,635.6208857142857
2024-05-13,670.1298,657.7761428571429
2024-05-14,522.58,673.6601142857143
2024-05-15,748.2426,690.3688857142857
2024-05-16,675.3274,652.9209428571429
2024-05-17,498.296,611.3086571428572
2024-05-18,489.9044,597.4887142857143
2024-05-19,444.8796,578.4799714285714
2024-05-20,414.9248,542.0221142857143
2024-05-21,434.7938,529.4812285714286
2024-05-22,412.734,481.5514285714286
2024-05-23,405.6296,443.02317142857146
2024-05-24,453.6396,436.6436857142857
2024-05-25,485.1056,435.95814285714283
2024-05-26,396.4974,429.04640000000006
2024-05-27,394.3324,426.1046285714286
2024-05-28,539.2084,441.021
2024-05-29,894.4206,509.8333714285714
2024-05-30,719.6792,554.6976
2024-05-31,796.4166,603.6657428571428
2024-06-01,549.1258,612.8114857142857
2024-06-02,436.4294,618.5160571428571
2024-06-03,472.2612,629.6487428571428
2024-06-04,1143.309,715.9488285714286
2024-06-05,673.6142,684.4050571428571
2024-06-06,550.9676,660.3034
2024-06-07,461.3994,612.4438
2024-06-08,486.4546,603.4907714285715
2024-06-09,563.9194,621.7036285714286
2024-06-10,554.7916,633.4936857142857
2024-06-11,655.9674,563.8734571428571
2024-06-12,459.7866,533.3266571428571
2024-06-13,446.9204,518.4627714285715
2024-06-14,496.66,523.5
2024-06-15,828.1172,572.3089428571428
2024-06-16,1286.8084,675.5788
2024-06-17,729.6126,700.5532285714287
2024-06-18,648.4172,699.4746285714285
2024-06-19,682.78,731.3308285714286
2024-06-20,729.0992,771.6420857142857
2024-06-21,615.8166,788.664457142857
2024-06-22,527.78,745.7591428571429
2024-06-23,776.9624,672.924
2024-06-24,601.2342,654.5842285714286
2024-06-25,666.8714,657.220542857143
2024-06-26,942.2578,694.2888
2024-06-27,750.6818,697.3720285714286
2024-06-28,767.1374,718.9892857142858
2024-06-29,666.8008,738.8494000000001
2024-06-30,564.469,708.4932
2024-07-01,558.4028,702.3744285714286
2024-07-02,583.2514,690.4287142857144
2024-07-03,673.3952,652.0197714285714
2024-07-04,680.9172,642.0534
2024-07-05,911.3952,662.661657142857
2024-07-06,740.9252,673.2508571428572
2024-07-07,589.8864,676.8819142857143
2024-07-08,510.973,670.1062285714286
2024-07-09,512.8594,660.0502285714285
2024-07-10,441.0884,626.8635428571428
2024-07-11,394.7024,585.9757142857143
2024-07-12,391.1924,511.66102857142863
2024-07-13,445.3848,469.44097142857146
2024-07-14,403.1014,442.75739999999996
2024-07-15,419.8688,429.74251428571426
2024-07-16,380.3312,410.80991428571434
2024-07-17,356.4456,398.71808571428573
2024-07-18,341.7356,391.1514
2024-07-19,323.7938,381.5230285714286
2024-07-20,313.577,362.69334285714285
2024-07-21,479.2242,373.56802857142856
2024-07-22,447.1506,377.46542857142856
2024-07-23,409.8828,381.6870857142857
2024-07-24,343.9096,379.8962285714285
2024-07-25,361.6118,382.7356857142857
2024-07-26,325.7266,383.01179999999994
2024-07-27,389.0708,393.7966285714286
2024-07-28,572.5946,407.13525714285714
2024-07-29,356.0272,394.1176285714286
2024-07-30,418.397,395.3339428571429
2024-07-31,466.768,412.88514285714285
2024-08-01,360.244,412.68974285714285
2024-08-02,326.4836,412.79788571428577
2024-08-03,293.3294,399.1205428571428
2024-08-04,281.1536,357.4861142857143
2024-08-05,361.6348,358.28720000000004
2024-08-06,399.689,355.61462857142857
2024-08-07,376.4544,342.7126857142857
2024-08-08,279.6822,331.20385714285715
2024-08-09,346.396,334.0484857142857
2024-08-10,355.047,342.8652857142857
2024-08-11,384.1468,357.57859999999994
2024-08-12,331.7304,353.3065428571429
2024-08-13,436.0458,358.50037142857144
2024-08-14,327.0262,351.43919999999997
2024-08-15,254.5208,347.8447142857143
2024-08-16,300.8134,341.33291428571425
2024-08-17,275.0098,329.8990285714286
2024-08-18,216.5846,305.9615714285714
2024-08-19,226.5572,290.9368285714286
2024-08-20,214.0914,259.22905714285713
2024-08-21,203.7464,241.61765714285713
2024-08-22,229.662,238.0664
2024-08-23,301.4778,238.16131428571427
2024-08-24,292.2072,240.61808571428574
2024-08-25,307.6518,253.6276857142857
2024-08-26,245.1964,256.29042857142855
2024-08-27,226.9506,258.12745714285717
2024-08-28,217.6134,260.10845714285716
2024-08-29,264.632,265.1041714285714
2024-08-30,211.105,252.19377142857144
2024-08-31,189.4992,237.5212
2024-09-01,300.667,236.5233714285714
2024-09-02,285.5628,242.29000000000002
2024-09-03,259.3074,246.9124
2024-09-04,256.3802,252.4505142857143
2024-09-05,448.463,278.7120857142857
