Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2024-01-01,54643293.94,64240594.05,56064773.7,174948661.69
2024-01-02,57013232.43,81067177.66,64638105.93,202718516.02
2024-01-03,61188695.230000004,85372974.57,67273522.47,213835192.27
2024-01-04,62940795.31,86915531.57,68520455.08,218376781.96
2024-01-05,63973370.58,87838187.9,68331839.33,220143397.81
2024-01-06,62538554.96,82534646.77,65463878.21,210537079.94
2024-01-07,59705010.3,74171857.7,61868538.589999996,195745406.59
2024-01-08,58864155.11,76519651.43,64104329.12,199488135.66
2024-01-09,62522827.79,89962749.32000001,69969827.65,222455404.76
2024-01-10,65402304.17,92296377.73,70879523.19,228578205.09
2024-01-11,66263720.54,93115548.0,71406005.67,230785274.21
2024-01-12,67016599.78,93807485.93,71191733.74,232015819.45
2024-01-13,65887414.91,87174027.81,67336967.51,220398410.23
2024-01-14,60830926.46,76636693.8,64190916.92,201658537.18
2024-01-15,64089131.72,93217371.86,71719588.16,229026091.74
2024-01-16,66800252.2,93794464.28,71608819.59,232203536.07
2024-01-17,67163968.09,94329318.45,72423685.02,233916971.56
2024-01-18,67708100.8,94410186.32,72340676.66,234458963.78
2024-01-19,67693729.05,95019323.96,72332472.64,235045525.65
2024-01-20,66943686.26,89425371.65,68244191.19,224613249.1
2024-01-21,61999993.6,77328122.1,64700600.7,204028716.4
2024-01-22,64336619.03,92919258.91,72300739.77,229556617.71
2024-01-23,67268644.99,94165283.49,72123054.57000001,233556983.05
2024-01-24,67343432.22,93951698.09,72461059.57,233756189.88
2024-01-25,67844996.14,93795194.83,71948039.98,233588230.95
2024-01-26,67486034.87,94125082.59,72873563.83,234484681.29
2024-01-27,66787368.41,88950362.95,68186290.42,223924021.78
2024-01-28,61961486.95,76997119.47,64684756.09,203643362.51
2024-01-29,64910957.7,94051577.63,71689480.72,230652016.05
2024-01-30,68123670.67,95030109.69,72285673.6,235439453.96
2024-01-31,67904334.93,94247219.94,71755937.2,233907492.07
2024-02-01,67681424.62,92683578.05,70967619.95,231332622.62
2024-02-02,67606790.98,91376394.83,68632530.05,227615715.86
2024-02-03,64298642.74,85489378.64,65848753.19,215636774.57
2024-02-04,59632769.26,74804408.41,62671414.79,197108592.46
2024-02-05,63614219.23,89433765.01,68637599.27,221685583.51
2024-02-06,65119625.06,90227856.44,68873687.78,224221169.28
2024-02-07,65451885.01,88521380.56,67005918.74,220979184.31
2024-02-08,64049937.19,89311558.75,68106328.72,221467824.66
2024-02-09,64615805.53,90922723.2,69394197.85,224932726.58
2024-02-10,64722430.82,86608691.13,66555630.96,217886752.91
2024-02-11,60402494.49,76892113.97,64584503.25,201879111.71
2024-02-12,65186297.18,92640124.36,71443407.79,229269829.33
2024-02-13,67545919.59,93520250.44,72468294.5,233534464.53
2024-02-14,68590418.04,94214241.42,72265726.98,235070386.44
2024-02-15,68510173.43,95037631.58,73061742.22,236609547.23
2024-02-16,69340876.45,95277059.5,73121550.83,237739486.78
2024-02-17,68162501.06,90276874.59,69370523.3,227809898.95
2024-02-18,62986101.1,78123670.28,66283198.019999996,207392969.4
2024-02-19,66566344.12,93844466.58,71907009.31,232317820.01
2024-02-20,68387653.86,93862969.11,71837058.63,234087681.6
2024-02-21,67876802.55,91132720.37,70374700.33,229384223.25
2024-02-22,66678243.12,91070835.14,69880977.77,227630056.03
2024-02-23,66325084.27,92554495.46,70530068.19,229409647.92
2024-02-24,65603904.24,88181096.83,67464695.92,221249696.99
2024-02-25,61096306.23,76294005.11,63791803.07,201182114.41
2024-02-26,64610226.3,91594446.14,70600880.97,226805553.41
2024-02-27,67595343.65,93498593.53,71500570.13,232594507.31
2024-02-28,67356815.17,94004822.64,72294180.87,233655818.68
2024-02-29,68258308.71,94320416.64,72694195.87,235272921.22
2024-03-01,68187818.49,92567556.35,71275307.3,232030682.14
2024-03-02,65719252.66,87368763.94,67308589.4,220396606.0
2024-03-03,60876099.68,74603482.87,63854675.269999996,199334257.82
2024-03-04,64774112.34,92904271.48,71342183.06,229020566.88
2024-03-05,67735928.87,93478271.9,72652287.85,233866488.62
2024-03-06,68684526.82,94958601.52,73602362.19,237245490.53
2024-03-07,69622374.12,95749899.78,74058209.28999999,239430483.19
2024-03-08,70108764.82,96697790.88,73444383.36,240250939.06
2024-03-09,68613060.34,90636123.89,69075347.46,228324531.69
2024-03-10,63248911.64,79806373.84,67040318.77,210095604.25
2024-03-11,68343120.41,95646691.71,73434293.73,237424105.85
2024-03-12,69710786.29,96599734.01,74395900.79,240706421.09
2024-03-13,70541895.74,97023089.12,74727750.54,242292735.4
2024-03-14,70783592.24,97463116.21,74702383.99,242949092.44
2024-03-15,70527716.65,97516615.71,74408476.1,242452808.46
2024-03-16,69461839.62,92240590.27,70534792.99,232237222.88
2024-03-17,64074180.88,79124727.42,67312012.74,210510921.04
2024-03-18,68226314.2,96913261.83,75065777.98,240205354.01
2024-03-19,70353991.81,96787431.81,73654466.31,240795889.93
2024-03-20,69884229.17,95919679.64,73456023.88,239259932.69
2024-03-21,69383833.94,95084785.05,72994219.0,237462837.99
2024-03-22,69373536.13,96288226.36,73953366.86,239615129.35
2024-03-23,68515388.6,91004870.97,70038172.5,229558432.07
2024-03-24,63992119.13,80111070.89,65647270.13,209750460.15
2024-03-25,63398140.72,83229339.09,67765604.98,214393084.79
2024-03-26,65722046.79,92915869.31,70476246.66,229114162.76
2024-03-27,65415917.97,89089376.39,67818331.52,222323625.88
2024-03-28,60718515.14,76160967.23,62208421.67,199087904.04
2024-03-29,58280473.68,72045089.05,60119039.61,190444602.34
2024-03-30,58670424.46,79643125.16,63884439.08,202197988.7
2024-03-31,59262054.07,75559672.07,63171238.77,197992964.91
2024-04-01,63091664.05,91393803.41,70224179.21,224709646.67
2024-04-02,66110114.62,90557533.4,69890868.69,226558516.71
2024-04-03,66361987.15,91808652.91,70886984.67999999,229057624.74
2024-04-04,67274613.65,90782196.92,70089726.42,228146536.99
2024-04-05,66059298.91,93289377.23,71718164.03,231066840.17
2024-04-06,66875497.14,88865879.42999999,68652229.92,224393606.49
2024-04-07,62451324.58,78891167.33,66198806.06,207541297.97
2024-04-08,66587336.23,94330421.85,72449745.41,233367503.49
2024-04-09,68066597.93,93842122.99,72356103.63,234264824.55
2024-04-10,67841800.28,94673414.09,73678877.81,236194092.18
2024-04-11,69503168.07000001,96179640.41,74704410.21000001,240387218.69
2024-04-12,70060068.17,96416773.13,73982792.45,240459633.75
2024-04-13,68384792.06,90621310.77,69517824.67,228523927.5
2024-04-14,63130273.35,78373207.89,65822877.5,207326358.74
2024-04-15,66300777.86,95082025.63,73291666.62,234674470.11
2024-04-16,69296266.49,95328428.13,73876080.67,238500775.29
2024-04-17,69767690.21,95155997.36,73120352.71,238044040.28
2024-04-18,69033183.6,94577324.29,72294373.16,235904881.05
2024-04-19,68100603.33,92408518.04,70680648.58,231189769.95
2024-04-20,65884943.09,87296173.72,67330157.82,220511274.63
2024-04-21,60909737.43,75279238.35,63166606.76,199355582.54
2024-04-22,63646796.98,88249896.87,67726867.53,219623561.38
2024-04-23,64478525.59,89657125.54,70081177.8,224216828.93
2024-04-24,66221335.410000004,91865314.43,71554140.14,229640789.98
2024-04-25,67260070.69,92442477.46,71187470.05,230890018.2
2024-04-26,66204994.48,89216661.46,68201434.19,223623090.13
2024-04-27,64183434.53,85892819.28,65864128.82,215940382.63
2024-04-28,58778418.39,73333119.17,61242985.95,193354523.51
2024-04-29,62181780.53,89174495.36,70052122.23,221408398.12
2024-04-30,65532423.339999996,91900912.56,69926545.51,227359881.41
2024-05-01,62125565.72,81008661.05,66510268.19,209644494.96
