Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2024-01-01,3145560.58,3198510.16,2842842.29,9186913.03
2024-01-02,3233041.43,3297531.03,2894721.69,9425294.15
2024-01-03,3285771.81,3611132.6799999997,3107546.44,10004450.93
2024-01-04,3529871.2800000003,3565836.05,3191225.11,10286932.44
2024-01-05,3647792.57,3893181.59,3172262.27,10713236.43
2024-01-06,3539592.93,3637223.02,3155209.38,10332025.33
2024-01-07,3639056.03,3789204.51,3195978.98,10624239.52
2024-01-08,3613641.07,3678952.76,3040053.89,10332647.72
2024-01-09,3536644.48,3550988.81,3257168.76,10344802.05
2024-01-10,3681325.37,3686836.17,3190912.77,10559074.31
2024-01-11,3643338.74,3683003.57,3168077.83,10494420.14
2024-01-12,3661583.09,3791874.09,3204074.45,10657531.63
2024-01-13,3720112.13,3724063.23,3053915.9699999997,10498091.33
2024-01-14,3403972.83,3438874.52,3078010.67,9920858.02
2024-01-15,3456573.32,3448036.58,3115232.09,10019841.99
2024-01-16,3477915.0100000002,3355126.29,3015098.31,9848139.61
2024-01-17,3400160.88,3135670.2,2962651.42,9498482.5
2024-01-18,3302148.3899999997,2788773.57,2732768.98,8823690.94
2024-01-19,3132876.54,3169947.03,3009014.83,9311838.4
2024-01-20,3386224.65,3450518.95,3002861.55,9839605.15
2024-01-21,3420773.01,3480020.31,2997069.45,9897862.77
2024-01-22,3126675.27,3160767.24,2963307.36,9250749.870000001
2024-01-23,3217762.0,3101475.13,2881939.06,9201176.19
2024-01-24,3077357.69,2833470.09,2711011.9,8621839.68
2024-01-25,3004239.05,2331330.96,2324447.6,7660017.609999999
2024-01-26,2924636.7199999997,3238417.59,2970901.8200000003,9133956.13
2024-01-27,3402493.93,3498875.94,2803303.51,9704673.38
2024-01-28,3118142.86,3177842.1,2714672.56,9010657.52
2024-01-29,3095902.22,3336842.4,2859538.8,9292283.42
2024-01-30,3467971.72,3338991.73,3030159.75,9837123.2
2024-01-31,3367503.7,3461037.66,2976598.91,9805140.27
2024-02-01,3357037.7,3427548.65,2969787.08,9754373.43
2024-02-02,3336685.63,3675692.0700000003,2947072.06,9959449.76
2024-02-03,3321000.38,3299855.87,2942522.04,9563378.29
2024-02-04,3375161.88,3526275.7199999997,2978251.62,9879689.22
2024-02-05,3373520.27,3155752.77,2962639.23,9491912.27
2024-02-06,3324785.08,3428563.65,2819179.33,9572528.06
2024-02-07,3242568.48,3279724.34,2891233.0100000002,9413525.83
2024-02-08,3355783.93,3375610.5300000003,2929625.0700000003,9661019.53
2024-02-09,3194074.48,3280475.98,2781789.87,9256340.33
2024-02-10,3248149.59,3296293.21,2926783.02,9471225.82
2024-02-11,3343790.0300000003,3324682.59,3091091.51,9759564.13
2024-02-12,3434706.34,3506286.23,2968396.3000000003,9909388.87
2024-02-13,3357771.28,3412679.67,3136473.08,9906924.03
2024-02-14,3523547.65,3268629.2,2798722.87,9590899.72
2024-02-15,3291064.64,3447995.98,3008797.5,9747858.120000001
2024-02-16,3520217.68,3842524.95,3193521.69,10556264.32
2024-02-17,3678201.2199999997,3783531.46,3192141.82,10653874.5
2024-02-18,3717666.46,3697198.04,3220071.4,10634935.9
2024-02-19,3649827.34,3711935.66,3263663.45,10625426.45
2024-02-20,3696098.91,3705233.91,3161116.39,10562449.21
2024-02-21,3636324.37,3516131.98,3009439.62,10161895.97
2024-02-22,3448869.83,3483298.49,2960051.2,9892219.52
2024-02-23,3378374.6,3305488.16,2891417.56,9575280.32
2024-02-24,3192299.24,3174202.51,2851614.62,9218116.370000001
2024-02-25,3227720.76,3150129.13,2804875.66,9182725.55
2024-02-26,3281406.88,3298029.0300000003,2838309.3,9417745.21
2024-02-27,3304448.01,3734333.58,2927933.4299999997,9966715.02
2024-02-28,3238863.08,3313154.47,2804610.22,9356627.77
2024-02-29,3255763.1,3235264.95,3060430.5,9551458.55
2024-03-01,3323182.29,3014565.2800000003,2712636.3,9050383.87
2024-03-02,3049581.18,2808561.19,2707612.18,8565754.55
2024-03-03,3151782.04,2926819.31,2712705.53,8791306.879999999
2024-03-04,3155352.79,3232570.83,2726716.6,9114640.22
2024-03-05,3126010.43,3192848.46,2814159.85,9133018.74
2024-03-06,3134595.19,2883171.73,2790887.15,8808654.07
2024-03-07,3193044.09,3222668.59,2801497.41,9217210.09
2024-03-08,3289888.35,3412648.36,2774796.73,9477333.44
2024-03-09,3260827.66,3556295.71,2878738.36,9695861.73
2024-03-10,3163245.12,3151007.78,2775320.34,9089573.24
2024-03-11,3321962.29,3439408.79,2844864.05,9606235.13
2024-03-12,3321169.0300000003,3788606.48,3178605.53,10288381.04
2024-03-13,3448059.33,3258824.15,2870952.54,9577836.02
2024-03-14,3270889.89,3638563.49,2836921.13,9746374.51
2024-03-15,3192451.9,3280632.06,2965986.63,9439070.59
2024-03-16,3386997.97,3358160.95,2911262.62,9656421.54
2024-03-17,3266166.06,3051922.54,2926096.18,9244184.78
2024-03-18,3293149.48,3280181.34,2888137.29,9461468.11
2024-03-19,3216174.27,3630277.65,2965987.21,9812439.13
2024-03-20,3381273.42,3462866.75,3104288.8,9948428.97
2024-03-21,3456726.92,3511119.54,3038025.56,10005872.02
2024-03-22,3360801.84,3318558.41,2989339.9,9668700.15
2024-03-23,3206791.23,3223948.94,2776362.41,9207102.58
2024-03-24,3213762.07,3120342.53,2755364.04,9089468.64
2024-03-25,3179579.68,3263998.17,2979837.61,9423415.46
2024-03-26,3558374.98,3652756.94,2802458.11,10013590.03
2024-03-27,3200729.75,3240650.35,2810611.6,9251991.7
2024-03-28,3227104.75,3190164.86,2804412.5300000003,9221682.14
2024-03-29,3208393.79,3306337.94,2870642.71,9385374.44
2024-03-30,3208101.34,3143288.3,2848495.75,9199885.39
2024-03-31,3243909.71,3418532.02,2849783.95,9512225.68
2024-04-01,3148200.59,3098202.59,2839699.82,9086103.0
2024-04-02,3220052.54,3416600.41,2805263.51,9441916.46
2024-04-03,3265633.78,3416119.96,2829477.9299999997,9511231.67
2024-04-04,3223467.34,3383046.33,2723558.33,9330072.0
2024-04-05,3125224.99,3152758.81,2828811.19,9106794.99
2024-04-06,3128866.56,3398246.88,2900220.14,9427333.58
2024-04-07,3244899.6799999997,3273411.48,2852697.82,9371008.98
2024-04-08,3322907.09,3291766.2,2880161.92,9494835.21
2024-04-09,3100528.4,2728941.08,2508624.39,8338093.87
2024-04-10,3000315.0300000003,3015554.7199999997,2767527.84,8783397.59
2024-04-11,3235924.64,3337671.56,2914658.78,9488254.98
2024-04-12,3289333.06,3150750.64,2802239.9699999997,9242323.67
2024-04-13,3136019.8,3105169.69,2757813.55,8999003.04
2024-04-14,3107257.25,3078887.1999999997,2777294.02,8963438.47
2024-04-15,3116101.48,3222226.54,2837329.74,9175657.76
2024-04-16,3107632.77,2915272.45,2748937.95,8771843.17
2024-04-17,3184590.11,3166204.87,2791758.7,9142553.68
2024-04-18,3158503.82,3512159.04,3114505.78,9785168.64
2024-04-19,3257131.77,3379222.2,2854853.94,9491207.91
2024-04-20,3231495.05,3348409.08,2959489.9699999997,9539394.1
2024-04-21,3172239.56,3087747.16,2795788.57,9055775.290000001
2024-04-22,3317342.58,3470606.46,2820249.45,9608198.49
2024-04-23,3190637.35,3012619.2,2774146.08,8977402.63
2024-04-24,3213715.77,3208635.77,2818743.61,9241095.15
2024-04-25,3143224.65,3350323.4299999997,2862361.17,9355909.25
2024-04-26,3230094.02,3086899.9,2658549.68,8975543.6
2024-04-27,3088239.1999999997,3192502.3,2791425.54,9072167.04
2024-04-28,3120493.76,3153109.92,2366661.55,8640265.23
2024-04-29,3285124.44,3417227.5,2838942.5300000003,9541294.47
2024-04-30,3196428.94,3066226.69,2874633.71,9137289.34
2024-05-01,3221959.9,3236272.38,2754549.51,9212781.790000001
2024-05-02,3242209.66,3320356.92,2793658.85,9356225.43
2024-05-03,3246906.78,3379937.81,2832633.17,9459477.76
2024-05-04,3317246.8,3338300.42,2880114.42,9535661.64
2024-05-05,3264044.46,3316917.8,2931097.5100000002,9512059.77
2024-05-06,3293034.89,3161129.16,2875998.59,9330162.64
2024-05-07,3188535.77,3161834.86,2896005.73,9246376.36
2024-05-08,3238723.2199999997,3224506.96,2922358.4,9385588.58
2024-05-09,3387458.32,3575038.27,2946686.39,9909182.98
2024-05-10,3256157.91,3053304.92,2932432.32,9241895.15
2024-05-11,3315091.2399999998,3344623.52,2986856.81,9646571.57
2024-05-12,3385072.82,3330377.62,2939875.48,9655325.92
2024-05-13,3311069.2,3187269.7199999997,2883874.64,9382213.56
2024-05-14,3163683.01,3152008.12,2811268.93,9126960.06
2024-05-15,3192587.78,3143391.3200000003,2809485.93,9145465.03
2024-05-16,3265243.17,3258594.37,2838114.65,9361952.19
2024-05-17,3316027.16,3140218.82,2932379.85,9388625.83
2024-05-18,3235917.36,3543840.25,2933594.67,9713352.28
2024-05-19,3218731.09,3114173.53,2786457.66,9119362.28
2024-05-20,3226407.68,3492525.12,2894336.85,9613269.65
2024-05-21,3386280.14,3282511.12,2795128.85,9463920.11
2024-05-22,3246885.73,3170792.2,2801486.87,9219164.8
2024-05-23,3142645.27,3108814.4299999997,2754612.23,9006071.93
2024-05-24,3312753.92,3324300.54,2792809.37,9429863.83
2024-05-25,3212619.48,3281499.42,2583034.53,9077153.43
2024-05-26,3088472.15,3155646.14,2774096.5300000003,9018214.82
2024-05-27,3275873.76,3261297.82,2821849.81,9359021.39
2024-05-28,3225548.37,3205941.5,2768466.29,9199956.16
2024-05-29,3097696.7,3188646.58,3091710.07,9378053.35
2024-05-30,3549069.92,3616073.31,3066890.06,10232033.29
2024-05-31,3472737.9299999997,3657121.5,3084318.98,10214178.41
2024-06-01,3451748.2,3414721.89,3105494.26,9971964.35
2024-06-02,3538163.34,3468480.12,2946239.46,9952882.92
2024-06-03,3243065.39,3039450.7,2746324.57,9028840.66
