Fecha,Precio_Ponderado_COP/kWh
2024-01-01,225.62
2024-01-02,401.7086
2024-01-03,464.5904
2024-01-04,562.1373
2024-01-05,624.225
2024-01-06,626.6558
2024-01-07,634.767
2024-01-08,639.5276
2024-01-09,692.5081
2024-01-10,666.33
2024-01-11,687.3111
2024-01-12,667.7939
2024-01-13,647.9222
2024-01-14,614.2602
2024-01-15,619.5996
2024-01-16,609.3112
2024-01-17,590.7595
2024-01-18,553.4224
2024-01-19,542.7658
2024-01-20,526.06
2024-01-21,503.3831
2024-01-22,502.326
2024-01-23,495.3736
2024-01-24,491.1346
2024-01-25,481.2621
2024-01-26,447.2434
2024-01-27,468.4939
2024-01-28,530.6667
2024-01-29,601.3727
2024-01-30,629.9732
2024-01-31,639.5318
2024-02-01,693.4088
2024-02-02,691.3748
2024-02-03,671.17
2024-02-04,622.5433
2024-02-05,631.9253
2024-02-06,569.9908
2024-02-07,566.0435
2024-02-08,445.7511
2024-02-09,517.2232
2024-02-10,535.424
2024-02-11,543.2139
2024-02-12,574.8654
2024-02-13,597.9466
2024-02-14,619.1968
2024-02-15,599.4787
2024-02-16,539.7625
2024-02-17,566.7096
2024-02-18,550.7927
2024-02-19,576.7332
2024-02-20,583.19
2024-02-21,601.1685
2024-02-22,515.102
2024-02-23,573.4798
2024-02-24,587.6803
2024-02-25,555.8613
2024-02-26,567.272
2024-02-27,537.7644
2024-02-28,492.8257
2024-02-29,496.4671
2024-03-01,483.2613
2024-03-02,493.3158
2024-03-03,473.7885
2024-03-04,490.3412
2024-03-05,542.7118
2024-03-06,545.6147
2024-03-07,564.3795
2024-03-08,543.1887
2024-03-09,544.5877
2024-03-10,560.3509
2024-03-11,561.2991
2024-03-12,585.2192
2024-03-13,574.467
2024-03-14,541.347
2024-03-15,558.6278
2024-03-16,574.994
2024-03-17,582.3249
2024-03-18,535.2931
2024-03-19,619.9503
2024-03-20,627.5992
2024-03-21,654.7074
2024-03-22,708.3774
2024-03-23,717.56
2024-03-24,654.9048
2024-03-25,739.7824
2024-03-26,837.8493
2024-03-27,931.2895
2024-03-28,854.8388
2024-03-29,814.5672
2024-03-30,759.2497
2024-03-31,713.0761
2024-04-01,861.5306
2024-04-02,1031.7614
2024-04-03,1238.825
2024-04-04,1086.8615
2024-04-05,996.6139
2024-04-06,665.0627
2024-04-07,638.7102
2024-04-08,920.21
2024-04-09,998.0553
2024-04-10,959.0811
2024-04-11,1032.7974
2024-04-12,1038.022
2024-04-13,1020.6262
2024-04-14,1037.8424
2024-04-15,1081.301
2024-04-16,1100.8806
2024-04-17,1044.559
2024-04-18,1041.1136
2024-04-19,1007.8423
2024-04-20,977.8024
2024-04-21,621.3998
2024-04-22,567.1742
2024-04-23,457.3101
2024-04-24,206.0241
2024-04-25,242.2604
2024-04-26,221.8333
2024-04-27,164.104
2024-04-28,107.1403
2024-04-29,139.6445
2024-04-30,130.5522
2024-05-01,149.6143
2024-05-02,197.6464
2024-05-03,277.787
2024-05-04,321.1509
2024-05-05,312.5481
2024-05-06,306.6511
2024-05-07,289.4149
2024-05-08,294.6394
2024-05-09,263.3515
2024-05-10,247.8198
2024-05-11,224.3919
2024-05-12,142.9167
2024-05-13,194.5841
2024-05-14,225.7874
2024-05-15,212.0681
2024-05-16,220.5215
2024-05-17,270.0721
2024-05-18,264.7024
2024-05-19,200.382
2024-05-20,295.546
2024-05-21,281.9835
2024-05-22,369.4984
2024-05-23,381.5577
2024-05-24,460.5547
2024-05-25,478.392
2024-05-26,369.7352
2024-05-27,452.0845
2024-05-28,431.0387
2024-05-29,468.259
2024-05-30,345.8338
2024-05-31,222.9499
2024-06-01,237.3159
2024-06-02,241.6002
2024-06-03,259.152
2024-06-04,311.6272
2024-06-05,405.9967
2024-06-06,362.1018
2024-06-07,356.1894
2024-06-08,377.3834
2024-06-09,311.3436
2024-06-10,306.8879
2024-06-11,309.7453
2024-06-12,337.7326
2024-06-13,363.0057
2024-06-14,372.0884
2024-06-15,294.9338
2024-06-16,278.2515
2024-06-17,262.3524
2024-06-18,243.9286
2024-06-19,318.4077
2024-06-20,322.0811
2024-06-21,224.3816
2024-06-22,263.8468
2024-06-23,191.4959
2024-06-24,241.2636
2024-06-25,271.5048
2024-06-26,268.3048
2024-06-27,285.5978
2024-06-28,221.1385
2024-06-29,204.6544
2024-06-30,115.3284
2024-07-01,129.9964
2024-07-02,170.4916
2024-07-03,190.818
2024-07-04,214.851
2024-07-05,209.1672
2024-07-06,160.5332
2024-07-07,137.6504
2024-07-08,202.7169
2024-07-09,254.6253
2024-07-10,219.7575
2024-07-11,340.9009
2024-07-12,300.0205
2024-07-13,271.7856
2024-07-14,230.1459
2024-07-15,291.567
2024-07-16,294.5168
2024-07-17,311.362
2024-07-18,305.4443
2024-07-19,321.5999
2024-07-20,321.5839
2024-07-21,324.7994
2024-07-22,402.5988
2024-07-23,462.6703
2024-07-24,375.6869
2024-07-25,372.0809
2024-07-26,337.9479
2024-07-27,341.3366
2024-07-28,286.3831
2024-07-29,382.529
2024-07-30,403.1383
2024-07-31,394.1426
2024-08-01,434.4673
2024-08-02,412.528
2024-08-03,479.0751
2024-08-04,462.1977
2024-08-05,530.5309
2024-08-06,490.1798
2024-08-07,456.8294
2024-08-08,553.0781
2024-08-09,562.3586
2024-08-10,548.9366
2024-08-11,408.5821
2024-08-12,607.119
2024-08-13,621.194
