Nemotecnico,Tipo,Mes,Año,Fecha,Precio
ELMF26F,ELM,Enero,2026,2026-01-02,390.05
ELMF26F,ELM,Enero,2026,2026-01-05,386.97
ELMF26F,ELM,Enero,2026,2026-01-06,383.41
ELMF26F,ELM,Enero,2026,2026-01-07,379.84
ELMF26F,ELM,Enero,2026,2026-01-08,374.07
ELMF26F,ELM,Enero,2026,2026-01-09,367.79
ELMF26F,ELM,Enero,2026,2026-01-13,299.0
ELMF26F,ELM,Enero,2026,2026-01-14,280.0
ELMF26F,ELM,Enero,2026,2026-01-15,275.13
ELMF26F,ELM,Enero,2026,2026-01-16,260.0
ELMF26F,ELM,Enero,2026,2026-01-19,249.0
ELMF26F,ELM,Enero,2026,2026-01-20,225.0
ELMF26F,ELM,Enero,2026,2026-01-21,210.0
ELMF26F,ELM,Enero,2026,2026-01-22,207.0
ELMF26F,ELM,Enero,2026,2026-01-23,206.4
ELMF26F,ELM,Enero,2026,2026-01-26,229.0
ELMF26F,ELM,Enero,2026,2026-01-27,226.8
ELMF26F,ELM,Enero,2026,2026-01-28,220.0
ELMF26F,ELM,Enero,2026,2026-01-29,218.46
ELMF26F,ELM,Enero,2026,2026-01-30,217.0
ELMG26F,ELM,Febrero,2026,2026-01-02,399.0
ELMG26F,ELM,Febrero,2026,2026-01-05,399.0
ELMG26F,ELM,Febrero,2026,2026-01-06,399.0
ELMG26F,ELM,Febrero,2026,2026-01-07,399.0
ELMG26F,ELM,Febrero,2026,2026-01-08,395.81
ELMG26F,ELM,Febrero,2026,2026-01-09,392.13
ELMG26F,ELM,Febrero,2026,2026-01-13,385.78
ELMG26F,ELM,Febrero,2026,2026-01-14,379.22
ELMG26F,ELM,Febrero,2026,2026-01-15,372.32
ELMG26F,ELM,Febrero,2026,2026-01-16,300.0
ELMG26F,ELM,Febrero,2026,2026-01-19,285.0
ELMG26F,ELM,Febrero,2026,2026-01-20,285.0
ELMG26F,ELM,Febrero,2026,2026-01-21,297.5
ELMG26F,ELM,Febrero,2026,2026-01-22,297.5
ELMG26F,ELM,Febrero,2026,2026-01-23,297.5
ELMG26F,ELM,Febrero,2026,2026-01-26,297.5
ELMG26F,ELM,Febrero,2026,2026-01-27,297.5
ELMG26F,ELM,Febrero,2026,2026-01-28,290.0
ELMG26F,ELM,Febrero,2026,2026-01-29,287.0
ELMG26F,ELM,Febrero,2026,2026-01-30,287.0
ELMG26F,ELM,Febrero,2026,2026-02-02,280.46
ELMG26F,ELM,Febrero,2026,2026-02-03,270.0
ELMG26F,ELM,Febrero,2026,2026-02-04,250.0
ELMG26F,ELM,Febrero,2026,2026-02-05,243.75
ELMG26F,ELM,Febrero,2026,2026-02-06,237.46
ELMG26F,ELM,Febrero,2026,2026-02-09,229.0
ELMG26F,ELM,Febrero,2026,2026-02-10,201.0
ELMG26F,ELM,Febrero,2026,2026-02-11,180.0
ELMG26F,ELM,Febrero,2026,2026-02-12,190.0
ELMG26F,ELM,Febrero,2026,2026-02-13,180.0
ELMH26F,ELM,Marzo,2026,2026-01-02,402.0
ELMH26F,ELM,Marzo,2026,2026-01-05,402.0
ELMH26F,ELM,Marzo,2026,2026-01-06,402.0
ELMH26F,ELM,Marzo,2026,2026-01-07,402.0
ELMH26F,ELM,Marzo,2026,2026-01-08,401.08
ELMH26F,ELM,Marzo,2026,2026-01-09,400.08
ELMH26F,ELM,Marzo,2026,2026-01-13,398.8
ELMH26F,ELM,Marzo,2026,2026-01-14,393.66
ELMH26F,ELM,Marzo,2026,2026-01-15,388.38
ELMH26F,ELM,Marzo,2026,2026-01-16,383.02
ELMH26F,ELM,Marzo,2026,2026-01-19,377.66
ELMH26F,ELM,Marzo,2026,2026-01-20,310.0
ELMH26F,ELM,Marzo,2026,2026-01-21,300.0
ELMH26F,ELM,Marzo,2026,2026-01-22,310.0
ELMH26F,ELM,Marzo,2026,2026-01-23,307.5
ELMH26F,ELM,Marzo,2026,2026-01-26,310.0
ELMH26F,ELM,Marzo,2026,2026-01-27,307.5
ELMH26F,ELM,Marzo,2026,2026-01-28,295.0
ELMH26F,ELM,Marzo,2026,2026-01-29,295.0
ELMH26F,ELM,Marzo,2026,2026-01-30,295.0
ELMH26F,ELM,Marzo,2026,2026-02-02,295.0
ELMH26F,ELM,Marzo,2026,2026-02-03,295.0
ELMH26F,ELM,Marzo,2026,2026-02-04,295.0
ELMH26F,ELM,Marzo,2026,2026-02-05,290.19
ELMH26F,ELM,Marzo,2026,2026-02-06,280.0
ELMH26F,ELM,Marzo,2026,2026-02-09,238.0
ELMH26F,ELM,Marzo,2026,2026-02-10,222.0
ELMH26F,ELM,Marzo,2026,2026-02-11,222.0
ELMH26F,ELM,Marzo,2026,2026-02-12,222.0
ELMH26F,ELM,Marzo,2026,2026-02-13,222.0
ELMJ26F,ELM,Abril,2026,2026-01-02,370.43
ELMJ26F,ELM,Abril,2026,2026-01-05,369.69
ELMJ26F,ELM,Abril,2026,2026-01-06,368.95
ELMJ26F,ELM,Abril,2026,2026-01-07,368.21
ELMJ26F,ELM,Abril,2026,2026-01-08,367.4
ELMJ26F,ELM,Abril,2026,2026-01-09,366.55
ELMJ26F,ELM,Abril,2026,2026-01-13,365.49
ELMJ26F,ELM,Abril,2026,2026-01-14,362.02
ELMJ26F,ELM,Abril,2026,2026-01-15,358.54
ELMJ26F,ELM,Abril,2026,2026-01-16,355.06
ELMJ26F,ELM,Abril,2026,2026-01-19,351.58
ELMJ26F,ELM,Abril,2026,2026-01-20,300.0
ELMJ26F,ELM,Abril,2026,2026-01-21,300.0
ELMJ26F,ELM,Abril,2026,2026-01-22,300.0
ELMJ26F,ELM,Abril,2026,2026-01-23,300.0
ELMJ26F,ELM,Abril,2026,2026-01-26,300.0
ELMJ26F,ELM,Abril,2026,2026-01-27,300.0
ELMJ26F,ELM,Abril,2026,2026-01-28,300.0
ELMJ26F,ELM,Abril,2026,2026-01-29,300.0
ELMJ26F,ELM,Abril,2026,2026-01-30,300.0
ELMJ26F,ELM,Abril,2026,2026-02-02,297.18
ELMJ26F,ELM,Abril,2026,2026-02-03,294.18
ELMJ26F,ELM,Abril,2026,2026-02-04,291.0
ELMJ26F,ELM,Abril,2026,2026-02-05,287.8
ELMJ26F,ELM,Abril,2026,2026-02-06,284.55
ELMJ26F,ELM,Abril,2026,2026-02-09,281.31
ELMJ26F,ELM,Abril,2026,2026-02-10,278.07
ELMJ26F,ELM,Abril,2026,2026-02-11,274.82
ELMJ26F,ELM,Abril,2026,2026-02-12,271.58
