Query,Titulo,Fuente,Fecha,url,Hora,Año,Mes,Dia,Titulo_norm
niveles embalses SIN Colombia XM,"Los 23 embalses del país llegaron a nivel de 69,2% por presencia de fenómeno de El Niño - LaRepublica.co",LaRepublica.co,2019-01-08,https://news.google.com/rss/articles/CBMipAFBVV95cUxPcXNvcEJjQmpVOWw0R1pKX2dqS01McHhvWFBvZjNjaWoyekpZT1JLWWZleVRueHEzV1VRMVJ0THd0MlF6Q2JxemtPcjJWclhzeURDTmItcXpLNW9nSFVpY1dLeEdEcUxJYVh2TjE4S2p6VzhJMk10R0VTcEF2eXRmc1BGZkRubXJvbHRKU0VoRGdwdy11eGZMci1KYUFLTnlTMVhletIBpAFBVV95cUxOelB5RlowV0h3Q0tYVjRIQWNwQ2ZyTU92WVBvMFJkNDFobzJZSUlTM2Z3TWp6Ykc0S3pFVzJoQUl5NkgyVUU3VkpPVjcwSHlqclFLSmpRVGtsajY2LTBvUkhXUWNOR2Y3aUY5UEVHT0VONWN4Y0FtNWNHUzVvWnJJXzFwc0dGTks5Qk9PeGgzVFBhYUN2a25kOTZ6Vm5qMHA0YS1tdg?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2019,Enero,Martes,los 23 embalses del pais llegaron a nivel de 69 2 por presencia de fenomeno de el nino larepublica co
niveles embalses SIN Colombia XM,"Nivel de los 23 embalses del país llega a 64,3% un mes después de que iniciaron las sequías - LaRepublica.co",LaRepublica.co,2020-01-09,https://news.google.com/rss/articles/CBMihwFBVV95cUxOakw1Z1JvcjlxaHJPSlA3MUYxd0dVNTk4Y0JFMWQ4QnRIc3ItLVp3VW80YXc5Z0pJTHJhNkc1QnBWUnMtUHBya20wdTNTQkt3a1M5cDJabTd6RlE3ZV93STk2RG00dTVkczd5WVU1cUhMU1RtRlZQYk1RUWYtWjdaWWdHak9yQ3fSAYcBQVVfeXFMTXZQV2lpWTJHZDdkYm5YbVpfd2dWOXpKRFZPSVpBZWg3XzBWTGZQSXpuS0VDNjhsZE1BMTU2M1RuOWZVd09XYlJsYWhJQlRuV1dMc1ZPR1UwLWhHbi1oVm54TUtaRktUOEZZYm11MjRBelU1d0ZrNmZJbDBvS2lwX2ZHS3M3TUNv?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2020,Enero,Jueves,nivel de los 23 embalses del pais llega a 64 3 un mes despues de que iniciaron las sequias larepublica co
niveles embalses SIN Colombia XM,Nivel de embalses en Colombia alcanzó mínimos de 2020 - Valora Analitik,Valora Analitik,2020-02-18,https://news.google.com/rss/articles/CBMijgFBVV95cUxOd3ZlR2FWZXMwdzEwbk5kTmlrM0xGZUFFT2hCbHZVbmRvZFdtXzA1Mkd4bUk3Zl8zQzJZdXNSdEdHWkpyVFNNQzlHZF96S3g3VzNhSUpVUzBZWUVsVFhrblRMZlBRS3g5NExiYmZEQ3dXeU9ZbGxnWWczNFJwNnNMX0xjR1ItNGdyODlKTzh30gGTAUFVX3lxTFBVTVRMVDlMTTl4eGhpT2l4NDlQTEFnUm1JTEp3UDlrcWRoVVkzZkVyb0dBaUlfYlluUVcyTlRSTHY2V0dBNlVMRldyclhDb20xTWF4bzFadnVNMnM2Y0Y4Y0d6YWNfSkhNTlhJbHc0REF0WmJ6WHlZQ1NSRE5RdHJINVZ2LWtkUTR5OFVfZDEtOXpuUQ?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2020,Febrero,Martes,nivel de embalses en colombia alcanzo minimos de 2020 valora analitik
niveles embalses SIN Colombia XM,Nivel de embalses en Colombia sigue al alza y ya recupera capacidad de febrero de 2020 - Valora Analitik,Valora Analitik,2020-07-06,https://news.google.com/rss/articles/CBMiugFBVV95cUxOVkdZZTUtMlhuMVNjWUZCVGRjTkxBZG1WWGxfeUprUW80a3dxQWFRUDNmWW9XT2NhVW5sbHFWbTVsQktsY1lmeDhrSXk0Skl2c1E3LUdEUjRJTWs3a21jMTFrTF95NHg0dWh2aFZTOEZKTV9VR3laVUVJOGxMVWh3UERadEJRZnN3OC1LRjIyWS1XUkJPUzE4QUxOcko4bmVFdGNhYV8wRTh6ZEZmX3h2WS1fcmRnUUZ5a1HSAb8BQVVfeXFMTlJNWGlFazhsRUE2a3JyUks5bGJBSEVpVnMyZk1lSlRmSHFNT0lrc0NxeWhzMEkwSHJGSXBjbVd2WjdqcGRyd00wTGp2QzFJTElwYVliaUp1WHZlc2E0alJPRTYzUFZncXZ1eUhXMUF5UFlKT01rZ3g3WkNacEp6aUFOZmNDWGNxTkkxT1ZRTWtlYkRScEJEcUYyUWtDWlI1U0Q1WlQ0MldlZWtnVTdacHVJb2pzcnpBNWE5LW5CVXc?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2020,Julio,Lunes,nivel de embalses en colombia sigue al alza y ya recupera capacidad de febrero de 2020 valora analitik
niveles embalses SIN Colombia XM,XM cumple 15 años innovando y transformando el sector eléctrico en Colombia - Valora Analitik,Valora Analitik,2020-11-24,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQWTlPQUFhWV9kNURBM2xyamR4UDJLV1didHNNV3duS3RIYXpkVkdIeTVaRzNJTFBGbHBEWlFKdWdPMXU2d1lndjBCVDBuYl9JblVHNGJEemNMRmxleGhJblVzdDdNaXhEdjFvalhqT0R6R2U0RDdGOUFGUzJoYjBkMDlIQ3ZxMVJCbkItRHV0eEJfYU1NeDJ5VEVQZkFYMWI5dnllaG95ZkxyVzjSAbABQVVfeXFMT1NNTG1jMkkwTjVHSzNlUTZJblRyQ2JnMnU4TU9NdUtMU3gzblA3dGdWdmtmempEcFFpNm5vbkowbUVMMW5IYUMtMDZKREE2eWxGWW9hRW5WVW82b3lNU0lSOXBGa2pmeXRtSHpEVU5NcTdrYnoyaUJNbkFpNWdnVjB6R3JzYnZFa0hlT1RhQU9mS0NEUUkyYmRwTjI3WUJxXzZHM1BFbGNPeDVSNC1vTXU?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2020,Noviembre,Martes,xm cumple 15 anos innovando y transformando el sector electrico en colombia valora analitik
niveles embalses SIN Colombia XM,Ministra Irene Vélez no tiene en cuenta otros factores de riesgo en su afirmación sobre racionamiento de energía - ColombiaCheck,ColombiaCheck,2023-03-28,https://news.google.com/rss/articles/CBMivwFBVV95cUxOdGdNeVdBbTdmWFFROVpIMWhwOFRSOWw1ODlqVDFzZUZXcFNYU3d1Vl9zakRGZWIzdGlwQlROQnZWMkZNQ3FoWC1yMF91MEszRGNJWTFYeWZpWXgzVXM3UjRSVU0xNFZwUXFVUXhGRWk5TG12TkVCdDl2MlU4djd4RVB4WmM1QzFrRTlBczh0MDJVeU5vRVl3dkdqMnVxWjE3Z25qVXkzS0pGU3JHeTl1cnVTTnNUbWtBdWdhNUlhbw?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2023,Marzo,Martes,ministra irene velez no tiene en cuenta otros factores de riesgo en su afirmacion sobre racionamiento de energia colombiacheck
niveles embalses SIN Colombia XM,"En abril, embalses de energía de Colombia cerraron en 62,11 %, 2,2 puntos más que en marzo - Yahoo Finanzas",Yahoo Finanzas,2023-05-12,https://news.google.com/rss/articles/CBMipAFBVV95cUxPNG41cXlvM3JwU0xRSzlMTmVuSlBicktPbFpFNzVVWldpbnExZzRaRnRPenQ3ZXVBLWphSnY2ZXpmWXVacEVwYUh6M09PMEU3VWttQ29SeTZCbEx3WlpGU0p5Q3Vxd1FSUXFYZm1tZlRsb3pVcDR5RDJEcFhFOF9TeWhqYnZLWlQtanlHMXE2RnFFUmY2a2h5TVVsX0VPdmFCV2pzYw?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2023,Mayo,Viernes,en abril embalses de energia de colombia cerraron en 62 11 2 2 puntos mas que en marzo yahoo finanzas
niveles embalses SIN Colombia XM,¿Quiénes controlan los embalses en Colombia que producen 71% de energía hídrica? - LaRepublica.co,LaRepublica.co,2023-12-13,https://news.google.com/rss/articles/CBMivAFBVV95cUxQME9rRmNMVnFuaGZrcTNTT0htS1NLZzRxdHlkMEdpQzdrVG9WZEJzMEVTX0YwRkpHNHM3Z01MY3FVVjBENElmeHJ5alJYSzByZEp4MkZaakNCcHR3Y3BGV01IYXhNQXcweEJycWtEeWhRS3ltWnhWZ1RfR0x5SF9KSnRFYW9VWGRwNEZOTUVobEhUSFlsWmk5Y3lkOTJ0ay1Zd2oxNnZCczJKS1djVWN0LWpRN08zWVFiM2lxY9IBvAFBVV95cUxQRnlKYkNaSnJCZE9EZlNQMTFFbi1MUnNEVlJpRWVPdi1melg3S1pQUkJQdnBfazhOSU16a2tsRUFrbXQxNUdBclFWMGVJaThaWVl2YmNNNFNRc1VNODcyUXN3Q2FvRHBQZjlfdkdkb2dGVXdjTFhvWlVYNUZvNlcyVWFxMEpWX3I5blI3WU9IbE1pZThKRjBSV0FCZ3Y3NGkxYXM1cE00LXJ0SlAxT2Mzd3JZZG03WEtkSVlBTg?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2023,Diciembre,Miércoles,quienes controlan los embalses en colombia que producen 71 de energia hidrica larepublica co
niveles embalses SIN Colombia XM,Los niveles de embalses bajaron 10% en 23 días por cuenta del fenómeno - LaRepublica.co,LaRepublica.co,2024-01-25,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOdElycUhTZGFxY1IwVUx4c1oyRFNfajdTTmhpek00amVLRm9UcmJMVFZWQjdBcDl3T1lwUFRZSFNjS0pXYWtWc3A3NFU5QzNSNDZmT3BXcDdwWlV2T1FPRXdGcnBiRmF3OTFIRjFZLXBYekhuSTNCMjc4b0cxMW5pTjkxLW15Q2d5dldTX29HZjluZ1BTYzJuMHVKUlpDSHlzUDZuVDd4MjlWbzVTMlRmNlZCbzZOdU1wcW40VW41WWp3QdIBwgFBVV95cUxPUnNnbEZwZ1lsSTNyelptYVNsNzBEWHBmb0ZXOVlId3otdld2ajBYZ2ExZktwTlRUdXB5WVBDemJrZFpJemtEYUEzZUlyT1gwcmNkTTcxRHRyaEVXeUNPVFFMS25XU1JWckVXS1hZaHZkSk1EM2VfbVhvaUt6S1hJanZZeDgxa1BmbjBCVWd6emhvdnhSR0JwREZtYmxYdXg0WlNKc2VSRWdwSzJ5NVZ3TEl6OEFIbkF5bWh2YnhobTFzdw?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2024,Enero,Jueves,los niveles de embalses bajaron 10 en 23 dias por cuenta del fenomeno larepublica co
niveles embalses SIN Colombia XM,"Demanda de energía tuvo un incremento de 6,2% y nivel de embalses sigue a la baja - La FM",La FM,2024-01-31,https://news.google.com/rss/articles/CBMijAFBVV95cUxNTnRITTRwbHlKei1rOVc0YWpYQ2RKcFRXS3BfWmR2MV82X2lNc3dFbjJpVHpXcTh2alZRWklKY1d4YVdYQWJWN2FBbTBZTGJIQWlkM0RMU0l3RU9LeUdlRmFkaFo4Vzh2N1hWZ0l4TklDQkdBS0xIZ3dib21NZjhNb0dzcGtZN0NGVEo2Y9IBjAFBVV95cUxPNGNobE5xbDE1WFJtb0tpOE1LbmNqZEdCc21JdERzOG1UV1hhY29qek5DUmxNNC02NnFPUWFxM1dsVTZ3cXNnbTVudURKNXVrTG1iNlVHeEYwazlEcGR6Z0Zub0ptdzlEWHJjYlpjUGUydkJCR0RqYzJjalQ4Z3NHRGtaYnFJMzgzZFVucw?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2024,Enero,Miércoles,demanda de energia tuvo un incremento de 6 2 y nivel de embalses sigue a la baja la fm
