Query,Titulo,Fuente,Fecha,url,Hora,Año,Mes,Dia
niveles embalses SIN Colombia XM,"Los 23 embalses del país llegaron a nivel de 69,2% por presencia de fenómeno de El Niño - LaRepublica.co",LaRepublica.co,2019-01-08,https://news.google.com/rss/articles/CBMipAFBVV95cUxPcXNvcEJjQmpVOWw0R1pKX2dqS01McHhvWFBvZjNjaWoyekpZT1JLWWZleVRueHEzV1VRMVJ0THd0MlF6Q2JxemtPcjJWclhzeURDTmItcXpLNW9nSFVpY1dLeEdEcUxJYVh2TjE4S2p6VzhJMk10R0VTcEF2eXRmc1BGZkRubXJvbHRKU0VoRGdwdy11eGZMci1KYUFLTnlTMVhletIBpAFBVV95cUxOelB5RlowV0h3Q0tYVjRIQWNwQ2ZyTU92WVBvMFJkNDFobzJZSUlTM2Z3TWp6Ykc0S3pFVzJoQUl5NkgyVUU3VkpPVjcwSHlqclFLSmpRVGtsajY2LTBvUkhXUWNOR2Y3aUY5UEVHT0VONWN4Y0FtNWNHUzVvWnJJXzFwc0dGTks5Qk9PeGgzVFBhYUN2a25kOTZ6Vm5qMHA0YS1tdg?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2019,Enero,Martes
niveles embalses SIN Colombia XM,"Nivel de los 23 embalses del país llega a 64,3% un mes después de que iniciaron las sequías - LaRepublica.co",LaRepublica.co,2020-01-09,https://news.google.com/rss/articles/CBMihwFBVV95cUxOakw1Z1JvcjlxaHJPSlA3MUYxd0dVNTk4Y0JFMWQ4QnRIc3ItLVp3VW80YXc5Z0pJTHJhNkc1QnBWUnMtUHBya20wdTNTQkt3a1M5cDJabTd6RlE3ZV93STk2RG00dTVkczd5WVU1cUhMU1RtRlZQYk1RUWYtWjdaWWdHak9yQ3fSAYcBQVVfeXFMTXZQV2lpWTJHZDdkYm5YbVpfd2dWOXpKRFZPSVpBZWg3XzBWTGZQSXpuS0VDNjhsZE1BMTU2M1RuOWZVd09XYlJsYWhJQlRuV1dMc1ZPR1UwLWhHbi1oVm54TUtaRktUOEZZYm11MjRBelU1d0ZrNmZJbDBvS2lwX2ZHS3M3TUNv?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2020,Enero,Jueves
niveles embalses SIN Colombia XM,Nivel de embalses en Colombia alcanzó mínimos de 2020 - Valora Analitik,Valora Analitik,2020-02-18,https://news.google.com/rss/articles/CBMijgFBVV95cUxOd3ZlR2FWZXMwdzEwbk5kTmlrM0xGZUFFT2hCbHZVbmRvZFdtXzA1Mkd4bUk3Zl8zQzJZdXNSdEdHWkpyVFNNQzlHZF96S3g3VzNhSUpVUzBZWUVsVFhrblRMZlBRS3g5NExiYmZEQ3dXeU9ZbGxnWWczNFJwNnNMX0xjR1ItNGdyODlKTzh30gGTAUFVX3lxTFBVTVRMVDlMTTl4eGhpT2l4NDlQTEFnUm1JTEp3UDlrcWRoVVkzZkVyb0dBaUlfYlluUVcyTlRSTHY2V0dBNlVMRldyclhDb20xTWF4bzFadnVNMnM2Y0Y4Y0d6YWNfSkhNTlhJbHc0REF0WmJ6WHlZQ1NSRE5RdHJINVZ2LWtkUTR5OFVfZDEtOXpuUQ?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2020,Febrero,Martes
niveles embalses SIN Colombia XM,Aprovechan bajos niveles del embalse Peñol – Guatapé para extraer arena - DiariOriente,DiariOriente,2020-06-01,https://news.google.com/rss/articles/CBMirAFBVV95cUxOck5lVTRkdmlJcDlOMmY3ZjZjLTc3aWJVZGVYX3pheHlLS0pWb1JteTdjVFpZUnEyVFJMRGRMaGRiWEdEdkNSQmRURU1xNzVZdTdzWVhzRnF6OXNGTXZULWdHeTdNT1VaU1NkUFJCOE15MG5kZGZsWjdfQVFRZWtFWFhYVm10SmRBc3U0VlBqME9tMzRFYUw2ZzdUQk4tUzdSMWdOOGlub2hFb1NZ?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2020,Junio,Lunes
niveles embalses SIN Colombia XM,Nivel de embalses en Colombia sigue al alza y ya recupera capacidad de febrero de 2020 - Valora Analitik,Valora Analitik,2020-07-06,https://news.google.com/rss/articles/CBMiugFBVV95cUxOVkdZZTUtMlhuMVNjWUZCVGRjTkxBZG1WWGxfeUprUW80a3dxQWFRUDNmWW9XT2NhVW5sbHFWbTVsQktsY1lmeDhrSXk0Skl2c1E3LUdEUjRJTWs3a21jMTFrTF95NHg0dWh2aFZTOEZKTV9VR3laVUVJOGxMVWh3UERadEJRZnN3OC1LRjIyWS1XUkJPUzE4QUxOcko4bmVFdGNhYV8wRTh6ZEZmX3h2WS1fcmRnUUZ5a1HSAb8BQVVfeXFMTlJNWGlFazhsRUE2a3JyUks5bGJBSEVpVnMyZk1lSlRmSHFNT0lrc0NxeWhzMEkwSHJGSXBjbVd2WjdqcGRyd00wTGp2QzFJTElwYVliaUp1WHZlc2E0alJPRTYzUFZncXZ1eUhXMUF5UFlKT01rZ3g3WkNacEp6aUFOZmNDWGNxTkkxT1ZRTWtlYkRScEJEcUYyUWtDWlI1U0Q1WlQ0MldlZWtnVTdacHVJb2pzcnpBNWE5LW5CVXc?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2020,Julio,Lunes
niveles embalses SIN Colombia XM,XM cumple 15 años innovando y transformando el sector eléctrico en Colombia - Valora Analitik,Valora Analitik,2020-11-24,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQWTlPQUFhWV9kNURBM2xyamR4UDJLV1didHNNV3duS3RIYXpkVkdIeTVaRzNJTFBGbHBEWlFKdWdPMXU2d1lndjBCVDBuYl9JblVHNGJEemNMRmxleGhJblVzdDdNaXhEdjFvalhqT0R6R2U0RDdGOUFGUzJoYjBkMDlIQ3ZxMVJCbkItRHV0eEJfYU1NeDJ5VEVQZkFYMWI5dnllaG95ZkxyVzjSAbABQVVfeXFMT1NNTG1jMkkwTjVHSzNlUTZJblRyQ2JnMnU4TU9NdUtMU3gzblA3dGdWdmtmempEcFFpNm5vbkowbUVMMW5IYUMtMDZKREE2eWxGWW9hRW5WVW82b3lNU0lSOXBGa2pmeXRtSHpEVU5NcTdrYnoyaUJNbkFpNWdnVjB6R3JzYnZFa0hlT1RhQU9mS0NEUUkyYmRwTjI3WUJxXzZHM1BFbGNPeDVSNC1vTXU?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2020,Noviembre,Martes
niveles embalses SIN Colombia XM,"Demanda de energía de Colombia bajó el 2,60% en 2020 - Semana.com",Semana.com,2021-01-12,https://news.google.com/rss/articles/CBMiogFBVV95cUxQbkpIMGRicXBfeDU2cngwc043Nno0SEh5MjZqZTJLYktNUmVoNFdyQWxOTlV1MVllMGk4RzMwUnl3ZmlNbW5rNXhCNmNfOWIzOHNvRTNVZDJZVjhtSFlVUlhDUklfY25DOVROdEh2eGJCNWhwX2RqTkV2Rm5IaVVJakl5YlRQczlUaVlwRFIyTENkeU15ZWNDUGJyZVF1aTlsUGfSAacBQVVfeXFMT19mdXkwX3VlV0NPTmhESmt6VUwxUGI2NjNzZzd2c2RrVE96OHQ3NE1NZGhJMEVOZjZNdjljTEhJUWhobUt3dXZHZ1piR0dSQV9uS3ZwX0Y2Z3Z5aWJhVnh0M2w4dmN2YXk5Q1VOZlY3Q19DaFFkODNuYzBscmNPWGlFb3hqT3huZ3ROTTFxdzl2c2hWSzYyNmZrTG43N1hYV01vLTBKTG8?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2021,Enero,Martes
niveles embalses SIN Colombia XM,Generadores dicen que el precio de la energía se mantiene estable durante 2022 - LaRepublica.co,LaRepublica.co,2022-05-26,https://news.google.com/rss/articles/CBMixAFBVV95cUxNckRacU5IUjR3X05NWHZSUHZwb1NyUnlOeFF6Qk9oQjRSa0pzZFBLTGlHM1BHRU1lYmtWbWdGNDNZLVV6bHlHV01HRWRTcEFnOVJDTVVfSVR2a1RpZUxrbnhNWEFqbkpIVGM1TlNGUjJVUk1UUHVlb1JSZ0RHQ0VIWTdFSzU5T25DNnAzRHNrSEN2NVlBS1p2LW1QQW5ucWZLUlh2LTNibTA2N1l6NzVPNGFhTDViSG5XU1cwcERETS11blVT0gHEAUFVX3lxTE1JelJ6OTgxZnVSOVYxSlY0bTZwOWJ5bEZIS0FDTndScnhWZTZ6NUhPWjFWa1p0UkZBTE1qTi1VOXNNOE92LTNuWXg0YllqWVFOanFEdmlKdkZQN1A0VWV6blZocUJqVzlYbC1rN2p4bF82V05vWDZ2ZmVHcEZpWDEzQnkybzg5c0VJaGlQc3pUYTdLVDZKWXRwV2JBd2dPaE5DVEtoWE15aGx5OHFxejlYUDg5MjkxS1lPbFROVEs1UWRRNno?oc=5&hl=en-US&gl=US&ceid=US:en,07:00:00,2022,Mayo,Jueves
niveles embalses SIN Colombia XM,"En noviembre, el embalse de Topocoro cerró con el 99,9% de almacenamiento y capacidad útil de 1.008,99 gigavatios por hora - Vanguardia",Vanguardia,2022-12-15,https://news.google.com/rss/articles/CBMigAJBVV95cUxPTzJ1dE5UODBadDlBQVVOQ0VZVUNGbThXY21uY3JycUVCaWpwRzVCZjlHdV90TWpkMVY5OU9HZlFKX0VLSEwzeElSWWt5eXZXS1BJSktEcjhUOVRxY3ZycGdrRnR2NG5WbmZpZWl4YTlKSDFvdDFOeEJnN3JhSS1hVDQxYVY2UFhJN3dSYVhqVllRVGRaZFFnalNFZXhER1ZwbU0tSW13Rm50TERJV3VHcXp5R290SGxQOVpGb21YWElRcHRBbDAyNzhtS0FMMm92STNZZG83OVl0dUlPeUpRY0d1eURudmZQVEpLNmNrVTByR3A5dXNYMnNWSEdUV1hZ?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2022,Diciembre,Jueves
niveles embalses SIN Colombia XM,Sigue apagada la segunda turbina de Hidroituango: volvería a funcionar a mediados de enero - Infobae,Infobae,2023-01-10,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOWi0yMXZxX19lMVE4aHR3amtYbHNrYVZtNFpaSXJuZGlkZ0gzTXozUkhLX3M2cklucGRiendaQk1YZVN0VWx2bjlJdGV0dlF4dlpjU1BSMlBEWE4zejhJOGdiRnk1a3hWWktFcDE1SUFNb19OUm85ekVqNmdmNWdKMW9rbmt6dFMxRW5SNHh1dmd2dWxZbmJvbXlnYzBLTDZRUmVjM1J2NEZocklubUhCenpHNW50SlhHOGU3aGw4OGNPX0M5dkkzRFBXU2M3akJFVmMweXBja3FYUdIB9AFBVV95cUxPbFRidzJId2hObVdEMnd0dGIyc2YtUGFiZkM2aVBMbjlnalVmblVTeHdCUk5KelBrYndUNFlYSGh1SzJTeWNsRnRzMlN1QVBweXhFT2Y2ZnBseHhmSUFzRmFVbEhzNGp6MkMzcGwyNmdNbjAwYkJhRlpfZ1JrNGd2OEJVQ0ZuaUdMM2FJdkpKT1RKRklySnllODd2S3JWaHh6aVhJUW9KM3p4bmJXejJ0ZkZXY2V5aGdwNzlFeFBoT3Z0dVI3QzJySGctT0JVLVF4MlU3c3ViR2pyVjREdjJ4SHJUVGp1UjBXQ1JPWWhhaWNfNHpn?oc=5&hl=en-US&gl=US&ceid=US:en,08:00:00,2023,Enero,Martes
