fuente_limpia,Titulo
f1latam,Las llantas usadas son ahora utilizadas para elaborar baterías recargables de litio - F1LATAM.COM
obras.expansion.mx,CFE licitará 12 proyectos de infraestructura eléctrica - obras.expansion.mx
el sitio avicola,Estrés calórico en la producción de pollos: 3 - alimentación - El Sitio Avicola
la jornada,Consejero de Pemex afronta posible conflicto de intereses - La Jornada
noticias ambientales,Colombia: Bucaramanga dispondrá del primer puente iluminado únicamente con Led - Noticias Ambientales
gerencia de edificios,Conozca los secretos del edificio Alpina - Gerencia de Edificios
el confidencial,Grupo Ortiz consolida su metamorfosis con una autopista de 2.500 millones en Colombia - El Confidencial
obras.expansion.mx,Coca-Cola Femsa inaugura nueva planta en Colombia - obras.expansion.mx
t21,Colombia envía a EU uchuvas sin tratamiento de frío - T21
diario co latino,Listos para el Cuarto Contacto - Diario Co Latino
función pública,EQUIPO DIRECTIVO - Función Pública
www.noroeste.mx,Es Shakira joven líder - www.noroeste.com.mx
tsm noticias,Coldplay confirma concierto en Colombia - TSM Noticias
dentons,Dentons en Latinoamérica - Dentons
swi swissinfo.ch,Colombia vende la generadora de energía Isagen a canadiense Brookfield - SWI swissinfo.ch
rtvc.gov,Nuevo homenaje a “Pacheco” en Señal Colombia - rtvc.gov.co
fashionnetwork perú,Aumenta la producción de oro y esmeraldas en Colombia - FashionNetwork Perú
foco económico,"La renuncia de Tomás González, el Ministro de Minas y Energía de Colombia - Foco Económico"
jorgerobledo,Probadas las razones por las que el ministro Cárdenas debe renunciar por Isagén - jorgerobledo.com
dentons,Dentons se lanza en América Latina y el Caribe - Dentons
swi swissinfo.ch,Venezuela adelanta su reloj 30 minutos para ahorrar energía - SWI swissinfo.ch
saps grupero,"La Adictiva recibe Disco de Oro por el tema ""Después de ti ¿Quién?"" - SAPS Grupero"
www.noroeste.mx,Muestran su danza del Siglo 21 - www.noroeste.com.mx
telemundo,Estreno Exclusivo: Manuel Medrano estrena en Billboard su nuevo video Una y Otra Vez - Telemundo
proceso,La rebelión del hambre en Venezuela - Proceso
saps grupero,"Cumbia Benavides le pone energía y sabor a su ""Guarapera"" - SAPS Grupero"
ciper chile,Piñera offshore: las inversiones en Latinoamérica de su sociedad en un paraíso fiscal - - CIPER Chile
revistametro,"Galerazamba, otro polo de desarrollo en el Norte de Bolívar - revistametro.co"
el sol de méxico,"Fuentes renovables, el futuro de la energía en México - El Sol de México"
la nueva radio ya,Se estrelló un avión de Aerosucre tras despegar desde Puerto Carreño: cuatro muertos - La Nueva Radio YA
okdiario,La impunidad de los ladrones de electricidad lleva al abismo a la filial de Gas Natural en Colombia - OkDiario
martí noticias,Piedad Córdoba invoca a Fidel Castro para lograr presidencia de Colombia - Martí Noticias
abc,Los robots de la película 'Avatar' cobran vida - ABC
renovables verdes,Energía Solar Fotovoltaica - Renovables Verdes
europafm,El desgarrador vídeo de 'Sigo Extrañándote' de J Balvin - EuropaFM
el confidencial,El negocio del 'call center': las empresas que te atienden al teléfono (y que no conoces) - El Confidencial
minutodecierre,Macri le abre las puertas a empresarios venezolanos echados por Chávez - minutodecierre.com
law&trends,Inversores internacionales critican la liquidación de Electricaribe en Colombia - Law&Trends
