fuente_limpia,Titulo.1;fuente_limpia,Titulo.2
distintas latitudes;Fracking, comunidades en riesgo e hidroeléctricas en Colombia
international renewable energy agency (irena);Evaluación de la Flexibilidad del Sistema Eléctrico de Colombia - International Renewable Energy Agency (IRENA)
wärtsilä;La central eléctrica de 200 MW de Wärtsilä proporcionará energía crítica para equilibrar y respaldar la red nacional en Colombia. - Wärtsilä
ministerio de comercio; industria y turismo
international hydropower association (iha);Colombia, como uno de los líderes latinoamericanos en energía hidroeléctrica, le apuesta a la aplicación de un estándar mundial de sostenibilidad. - International Hydropower Association (IHA)
crowe;Transición Energética: Lecciones noruegas para Colombia | Auditoría | Impuestos | Consultoría | Finanzas Corporativas - Crowe
latfem;Transición energética en Colombia: una apuesta con muchos retos - LatFem
energía online;Colombia y Perú suministran energía a Ecuador por crisis energética - Energía Online
adres.gov;Presidente Petro da instrucciones a Rama Ejecutiva para ahorrar energía y agua por Fenómeno de El Niño - adres.gov.co
oxígeno digital;Se aproxima el fenómeno de “El Niño”, tan duro como el de 1997 - Oxígeno Digital
noticia al dia;"""El Niño"" podría afectar la producción eléctrica Guri - Noticia al Dia"
unne medios;La sequía continúa: aseguran que el impacto del fenómeno de El Niño será moderado en la región - UNNE Medios
río noticias;Confirman llegada del fenómeno de El Niño en Colombia y otros países - río noticias
el globalfarma;La OMS alerta del peligro de ‘El Niño’ en 22 países, sobre todo de América Latina - El Globalfarma
laultima;A partir de las 6:00 p.m. de hoy, Colombia suspende suministro de energía a Ecuador - laultima.com.co
biobiochile;Colombia contraataca ofensiva de Ecuador imponiendo aranceles del 30% y suspendiendo venta de energía - BioBioChile
valaguela;Colombia suspende temporalmente venta de energía a Ecuador - valaguela
ex ante;Cómo impactará el Fenómeno de El Niño en la economía (en inflación y crecimiento) - Ex-Ante
radio miraflores;Colombia está que arde por El Niño - Radio Miraflores
la hora;¿Afectará el fenómeno de la Niña la temporada de lluvias 2025? - La Hora
aristeguinoticias;La Niña podría regresar en septiembre y alterar patrones meteorológicos, advierte OMM - aristeguinoticias.com
tus buenas noticias;Fenómeno de La Niña regresa: este será su impacto según las predicciones - Tus Buenas Noticias
cadena politica;Fenómeno de la Niña traerá sequía en 2026
international hydropower association;Colombia, como uno de los líderes latinoamericanos en energía hidroeléctrica, le apuesta a la aplicación de un estándar mundial de sostenibilidad. - International Hydropower Association
lodelmomentoloja;Colombia brindará energía eléctrica a Ecuador, hasta el mes de marzo 2026 - lodelmomentoloja.com
fm mundo;Gobierno asegura que el país tiene respaldo energético suficiente y descarta nuevos apagones - FM Mundo
el dorado radio;Gobierno expidió decreto para estabilizar las tarifas de energía en Colombia - El dorado radio
noticias del llano;Gobierno impone contribución del 2,5 % a generadoras de energía para evitar crisis eléctrica - Noticias del Llano
