Query,Titulo,Fuente,Fecha,url,Hora,Año,Mes,Dia,Dia_semana
energía Colombia,"""Hidrosogamoso nos aleja de un racionamiento de energía en el país"": Santos - Vanguardia",Vanguardia,2015-01-15,https://news.google.com/rss/articles/CBMixAFBVV95cUxQeU1rTWtHUXFVMjRwclE0LXBxTmlBLU1BcUp1UnZjdTRBbHh1aF9qMTRnU1NPZEhNdFdXTGFIQ0hOenBuTUl5T0xSM2EwTm5RdE94NFczel9qbU1QSTRROUJSMHhRYTZUV1BvMktvYU9UdFdCWU9tb1k2SDViTkE2N0tuQ3J6U2M5NGlSRjV1TDljVDFqa1RaQV9KQ1BUNmJudE9uT3l4aXV4SjNxNDc4bzRTd0xTQWs1bWVmM2lwSFJVdS1W?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,15,Jueves
energía Colombia,La colombiana Edemsa ganó contrato de energía en México - Semana.com,Semana.com,2015-01-25,https://news.google.com/rss/articles/CBMisAFBVV95cUxQbTU3UmIzbWNKSVotLVAxdzVoRXhrSHV4c3FSeG40SGE2YXRDZGhJYU8yYzJ1NUhobzQ2eDNDNzVZMnkzTzVOOGhtbFhnS05yS2hDc2N5N2VWSGlEWW00Z2JxeVd4TXFGMm12cE9JanloSlg1b0pWa0JXS09QSzIyNlN4VjZod1ByWV9SZXhfZ051anFSNUxfbGxRS3lfTW12aGRsQmVEMmI1ZmRfeFI4Y9IBtgFBVV95cUxOMXd0TERKS3ZYdGtQRTVDeC1WX05YMy15M2VkUWlHZVJyenVkSlhsYzQ1T2c2MTY0R0tmNnVpbUwzSHRKQU9fbWgyckM1SV83aTNva1A5ZEUxVXR1UkhqYXJZc2ljN25GUEk5V2FlSG5Fbkp1MXE2SzVaLXVfQkRFdldXbkpYT1NLOTBLRHIyNHZ0Qzg2RGJoa2xnSXJ5QjZEWTdmNERvem5fbUZaWGFWMDRRUkEzQQ?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,25,Domingo
energía Colombia,El país es octavo en el uso de gas natural vehicular - Portafolio.co,Portafolio.co,2015-01-16,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPSEdfSFFnZ1pZN3duU21wT0VfTnlISEVkQjdVRGVlNVBic3VUck1TNzJmVnpBc2RHUDNFQ1ZYb0JOWExpSklnODltcXRzZHpHNjRDcU5fNThsX2FsQWM2c0wwVkVFaUJnNTI3ZWdJZXAxTDdVOEJJcFdyVHZ2MmZoRXFtcG4zZGxQZy1n0gGQAUFVX3lxTE1mYmo2eEEzUTVwQnNqNXN0LWN3clhJWFhCUjhncGlmdjV3Z29NRFNibnhHY3l2eWNKVXlmVkp6dDRaanVwRVhaV0RqcUlIMlZPX21DYWJsZGhSWnBhcGRsQ1VSdGVZYUNvcTg1U01EZlNGaGJET1R6OHBlVlBHMG1kQ084NjRYMm1iU0lLd2p3Zg?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,16,Viernes
energía Colombia,"Ganaderos colombianos pagan, sin saberlo, por silo de mala calidad - CONtexto Ganadero",CONtexto Ganadero,2015-01-21,https://news.google.com/rss/articles/CBMiugFBVV95cUxNVlB0Vm05bnZhUEpUY2pzMGR1T3lyNm5XYzU1blM3NEloV0FaYUNNQXAzOE1lajdmbGQ3bFVuV1FySkdlTzJDMHBHNXZ3RmFxN052bWItbXNTQlNMTzRZSmo5aUotVHo3N3pBVlFzU0Q5YVBWSlY5ZG9lcHhuUjN5ZDVUWi1DN1lnOXFWSGhDWUFNSjhEb09OZEl5NlhMWmk2d3FDUDBQVnNxd3JFcmhnenN1ZXpFV2xhNVE?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,21,Miércoles
energía Colombia,Energía solar lleva agua y esperanza a agricultores en Nicaragua - energialimpiaparatodos.com,energialimpiaparatodos.com,2015-01-21,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPeV9qZWRkRHp3QmNWUjl6bUlCQnQwVHFvQ2J1M0NmclZscXlTb0dFQWhlRUszeENDcGJoMVZuTC15S183ZS14dklaUjBMbVFUNGwzUFBtTkl1WEdZeE9rZ1YxaDRaakRFVmt2dTdrMHF2N3JqWUY5MDNOS1JKMEIyc2VfWVl4U0lUOFBpSVc4RmU3UHZSY2VzS3ExbDdjdi1hc01XbXllNzRvSzNUZ01Ba0NXNlJsRjdyOGhUakxiTVZ1QUM5bkNpZVE4S0xxU016WUJDaTQyeDZIZkZ0MFk3WGFR?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,21,Miércoles
energía Colombia,9 trucos para calentar la casa sin encender la calefacción - EL PAÍS,EL PAÍS,2015-01-22,https://news.google.com/rss/articles/CBMieEFVX3lxTE85ZXM4Z0hyY2FyZVFBcEJTdVBtZlBoZ1RYNEZBX1FRWlJpN0x1Z0Q5b1pSeG56Q21xLVhGY1Jqb2JaQW40REJIenplb2NNMGJtYVk4ZEVBM2s1ZV9LVXJ5LXozcG9pclhiZUgyOXR1RVhPRFZUVEFZRtIBjAFBVV95cUxNanJPaGtleDhib2g5SHpGS3FBVkF0c0VGTG5tZUhiZkc4M0NjcHlKQ3JMR3VaWTltVDlGb3c0aC1UR3dpUjNnVTg2NU5raFBhNWZ4MUxRbjlaUTM0NEhiemlScVVfZlVaZXhMR244NHJlZi05aWg0c3ZIdzdtTjkwZldVcjNwcWx4NEE2eA?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,22,Jueves
energía Colombia,Hidroeléctrica El Quimbo al fin generará desde julio | El Colombiano - El Colombiano,El Colombiano,2015-01-18,https://news.google.com/rss/articles/CBMirgFBVV95cUxQN1p4UTI0X2dVZW42NWViV0VWSDk3ckxSNDlSdDdVOUw5T0dvUmpuWVVUTkpsa3dPLTZuYm5FWnBHTzNvNmVfNDdISlRxVHlyWTdjTG5PSzVsSjdESnBHSWlTR0lreEZOTXAwTHF1RmtjNkVnZUU2TWgyRE56SzBZMVFPazZ3MG5BWFNoUmh6T2JkQXdabzIwNHJremdKcTkzNU85UWc1cjRyc29pdEHSAbMBQVVfeXFMTWNxbkVkdzJoV1NFZWpPQndWTGl0T0R1VWJaRHI5UTJRMnNmTGs4cTBNUFI1a3pDbUd1NHZXUjRaNnNlRjB4S0R4ZXBqYjhJOXVlNUZiMzhhSjVzSXhsN0hLLUZfYVlqMUVIQ1RndWlkdWVpYll0YkdHNnd5NmZvUm82T19MMUswcDdGZnd0aGpHdEpla2taNS1RSFhKajMyM1ZTVlFOY0JPaDJoYlpranEzcVU?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,18,Domingo
energía Colombia,Nicaragua: Más energía solar. - energialimpiaparatodos.com,energialimpiaparatodos.com,2015-01-20,https://news.google.com/rss/articles/CBMif0FVX3lxTFBBOHl1VVZEVmdiVS1WQm94LXdhZFdwOTdtakhYbFpselZkblNiREZMX1dWY1FpcF8xemZ4Yk1EckRRTVVnSjBrMHRlTG5vVWhWc1g5amI1eHo0N0drdDJXdWVkRUx4ZzBnU0kzVWNVV2JxMXU0aEt5Tjc0TVRrOGs?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,20,Martes
energía Colombia,Viviendas sostenibles y energía solar - Universidad del Valle / Cali,Universidad del Valle / Cali,2015-02-17,https://news.google.com/rss/articles/CBMilAFBVV95cUxNYURIakg3UlJONW00NUxJZThJcm1DdnoxM3BOMG5QUVFDNlNpQ3hFOEdhUkN3XzdWMUZNaE40TmFLdHpIOTgxOFhOamlpMXE3bVlfZ2FvekxIQmtPXzRfM0loUU5Wem5xY1NCLW9wSUNIdEtsYktvdF9pYXpqelZ1OGpNeTFZNXA1QkFnTnpRclFkYzBC?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Febrero,17,Martes
energía Colombia,Cuatro cabeceras en Colombia siguen sin suministro de energía eléctrica - LaRepublica.co,LaRepublica.co,2015-02-07,https://news.google.com/rss/articles/CBMitgFBVV95cUxONUhPeXNMbXdYajZxUXJuQVF6Q0NrV1pCdTM4bFI0MTZHc2hITHJEVldMWkpVb0Ffc3M0SU01ZXN2RW9Ka29PR2FyN081MWVETUhrYTJrdHBoWEp4REEwLTZuVThSMHVRdUZJNGZPUkU1QXhCTDVZUmRKWFlJNXV3bi1qbmtXNVotckNlRGpTLUJBYjNmWkotdWJ3Vi1IWWIybWZKaTJFSTVaNWFFWGM3anNkamU0d9IBtgFBVV95cUxNTk5QdklYVl9SVDlzekQ4bHJHRHpkVzBPOUdJcHVKaFpMaW1TQzZyV09mLWJBSWY1UXFfMVRFZ194UW9OQ0RNUzVFb1ZVdjhobi1xX2NwSjJtQllmVzczU3UzUUpWWWZvSUxDNHVjanZQTmRDQkMtbEQwR1VkZE5ZSzd0MU9KMWFUQlJiajdFV2o2MF9qNzB0N1ltMEdTMnBhNHFEaEJZNWRmMFZjQjFMaVQ1OXlPQQ?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Febrero,7,Sábado
