Query,Titulo,Fuente,Fecha,url,Hora,Año,Mes,Dia,Dia_semana
energía Colombia,"""Hidrosogamoso nos aleja de un racionamiento de energía en el país"": Santos",Vanguardia,2015-01-15,https://news.google.com/rss/articles/CBMixAFBVV95cUxQeU1rTWtHUXFVMjRwclE0LXBxTmlBLU1BcUp1UnZjdTRBbHh1aF9qMTRnU1NPZEhNdFdXTGFIQ0hOenBuTUl5T0xSM2EwTm5RdE94NFczel9qbU1QSTRROUJSMHhRYTZUV1BvMktvYU9UdFdCWU9tb1k2SDViTkE2N0tuQ3J6U2M5NGlSRjV1TDljVDFqa1RaQV9KQ1BUNmJudE9uT3l4aXV4SjNxNDc4bzRTd0xTQWs1bWVmM2lwSFJVdS1W?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,15,Jueves
energía Colombia,Hidroeléctrica El Quimbo al fin generará desde julio | El Colombiano,El Colombiano,2015-01-18,https://news.google.com/rss/articles/CBMirgFBVV95cUxQN1p4UTI0X2dVZW42NWViV0VWSDk3ckxSNDlSdDdVOUw5T0dvUmpuWVVUTkpsa3dPLTZuYm5FWnBHTzNvNmVfNDdISlRxVHlyWTdjTG5PSzVsSjdESnBHSWlTR0lreEZOTXAwTHF1RmtjNkVnZUU2TWgyRE56SzBZMVFPazZ3MG5BWFNoUmh6T2JkQXdabzIwNHJremdKcTkzNU85UWc1cjRyc29pdEHSAbMBQVVfeXFMTWNxbkVkdzJoV1NFZWpPQndWTGl0T0R1VWJaRHI5UTJRMnNmTGs4cTBNUFI1a3pDbUd1NHZXUjRaNnNlRjB4S0R4ZXBqYjhJOXVlNUZiMzhhSjVzSXhsN0hLLUZfYVlqMUVIQ1RndWlkdWVpYll0YkdHNnd5NmZvUm82T19MMUswcDdGZnd0aGpHdEpla2taNS1RSFhKajMyM1ZTVlFOY0JPaDJoYlpranEzcVU?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Enero,18,Domingo
energía Colombia,Energía renovable latinoamericana aguanta bajos precios petroleros,IPS Agencia de Noticias,2015-02-18,https://news.google.com/rss/articles/CBMioAFBVV95cUxOeUFkbVZ5VnljbnBoQjBPQlY1eHdJbkVVQnJ4QU9PYUprYTVmTi15eVlvV3BPa1dDdDFjTGNNNmxjWWxWZjNQdEdVa1Zia3ZIdVRKaWhNaHhRWXZBSG9rWDJrOXBKVlF5RkUzeUlUMzh3ZHhnT3JsRzZ6LWNWX3o1eW9xSVM3elhlTWNVOVFMRVZfQm9oUklubll1SkFadExR?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Febrero,18,Miércoles
energía Colombia,Tres nuevas hidroeléctricas generarán 517 megavatios más para Colombia este año,LaRepublica.co,2015-02-20,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQWWR0R3d2UE5Jc3pIaHA5YnVDLW1BY25KaVhHTGFMREt1MUViNVFLd2pjOVU1aWpFYVpuejhzSVZWSUgtd2liLUtsZW9GU2M1dmlTT3U2cUtPNXRsVk9xbXFLbHNuUlh5QUVHN3Q5eW0tTFBoQzR2eGttME9pekVwOGhvM0hDYlJMWG9ZbWxmNGY3WDFiQUhjOHdXQ3NBWXFDVHppdlVLNm9ILU1ITDhpcFFoRm1rMnJyTEY2M09OTm3SAcABQVVfeXFMTjZPZGprUTRubEdQRlVyUVlCeFlZLVpfRGx0QVM3ZzJ2Q3dpTS1abVNvUTFELVE0Mk9OeFV0SkljbGZTcFl3aWpFR25MTkhuRHVUOEVmYU5odExnWVJWSHYtM0x6dzl6NXQxRnRsVTFVeVU5R29DRlFGckpxeUZhWnh1Wnc5emtoQlZPdEpQRHJhUjQ3aFp0LVhDTTVMcnJyYmw4N0huMjExM05JZDVtM0RLYWVRVTg3ZG4zam5nTzlF?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Febrero,20,Viernes
energía Colombia,Bogotá estrena central hidroeléctrica para generar energía limpia,Observatorio Ambiental de Bogotá,2015-05-13,https://news.google.com/rss/articles/CBMiogFBVV95cUxNQnFLRnJUMExnWEJ5dVQ4VTluLUdkNThaUTk2VHptbm5jOVAwZTlVOG9RVnRBcHdDdDhDN0oyWjVHQzE3ckN5cW5QV0pkZVVPSHFYeFZPWmlJQWtKVGRMbldzZVI0VllrdFFKYmdubVVtY0NqWDJYYWlfQUR3VVVNVlpJbnJYY3cwUFFOYVVwTm01SGZMRjFpd3FLeVBrUk5vamc?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Mayo,13,Miércoles
energía Colombia,Atentado atribuido a las FARC provoca apagón en Colombia,dw.com,2015-06-01,https://news.google.com/rss/articles/CBMipwFBVV95cUxQUGZUMVZmY0dpYXUyemVhU1ZuV2tUQnpHc1dBRXBSdkJOei1ZRzFmbUxKbGt0MGZfWEFoQWJra3BQQ0RSaV80SGdURm5jMldnbFB4eWlUZVlnckY1Q293cTJFWHplS3VRQlYwdkJyMVhkUlc1bTI1SFo4NWdKZGdINXFEbndTNkxuVkFYbDRzS2Vhd1V4UVd4TTRaUTBuOVNHeXZWeGVGY9IBpwFBVV95cUxPOE1PMjNBVjZHX01mRUEtMUNPVlNiVGt1UjJzaFE4M1V2LUtRYm5weXljeHQ0OW11R2NTblBWNXFjS0NlRmZYNE51N0NrRnNQRm9aQ1NDQ1B0Nm11LTI2b2tEeURJQTNCclVjNWhNMnU3YTAxanVJNjBYUnR1TDZKMkc1WFZUYjJINFpOZEh6TUxpMHJ6YTB4Zk1wN1Q5LWJhaTZDcHBEUQ?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Junio,1,Lunes
energía Colombia,Llenar el embalse en El Quimbo generó controversia | El Colombiano,El Colombiano,2015-07-01,https://news.google.com/rss/articles/CBMikgFBVV95cUxOblFNS0JoeGp1UHV4MDctdWdobGlpUXFRZjR5MFdwTUNaOFNwRWVRSDhEcml4NUFHc3dQQmU5Ni1LU2hObnVuRHhkaXBqVUZHSERBMVhFOEM1TUU1dWpYMkgtQ2diODQ3SW90NEwzck9ydXZ5eHZzMDlINUlkMW15aHc4aHJwNzRPZ0Y4VjlXbFZxUdIBlwFBVV95cUxNOFpId3cwZUxXVlBhMV9Wb1E5U3hWMDA0dEtaY0kyNDlEZ2hoY0lkeHdqR1N0Nk5xcDlMcmdLWHhfU0I4ZjVrRlhpSGd4LXA2X2RZMm5ONzJTR05BR2dzLW1RV2VkbkpDRUhnMUhGR3lzUXY3RHJ3NHVlUklFV0RodVNOT2pYbmlyRUdvVTJmU3dtcXVVd3VB?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Julio,1,Miércoles
energía Colombia,Emgesa empieza llenado del embalse de El Quimbo,Portafolio.co,2015-06-30,https://news.google.com/rss/articles/CBMikAFBVV95cUxNNUE0SGJ2amN1Ui1hMlQ4Zmk3bEdsZ2pxS0k4U1U1Q0l3SjMyZ041ZVpMZ1dHZ2d4eXNoUk1hUm9ZOVZMeWRnNGFraXN3UV9zZUJlYmxWWWlFLTNPc2hocmFCUDVXR0ZaTjNpOUtpNmJTU1o3S3dKZkRJSXFVNFJ1bGNLSWlLSll4YUhkZTFEZlrSAZYBQVVfeXFMUHRrdjh3cmlLS09qQWJtLS1TNnprLXFGSF96bTB3Ty1MU09iZmtmTjVmeTR5V1UtY2kyV2U1Y01veTFFMUZUVTdMSE5ieENrWHEzbXo4bHFkRG5mMk91RkNXaGozRnktTTl1VU5zT2tiaDhpc2tzRUR3dWd4a3A2dVpwQ2ZVUWt5RmwyUVVpQjNzb08zTFZn?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Junio,30,Martes
energía Colombia,"Sector azucarero, potencia en cogeneración de energía en Colombia",Agronegocios,2015-07-09,https://news.google.com/rss/articles/CBMikgFBVV95cUxPXzg2XzV1aDNST2p6eTRRSFhtVk5wTjQ0bURqT2psa1kyTWNXRmpiMDU2RnBGUUI3Q1NJeFJ4ZzVCTEFRQWFUbTBzcWZfSTdSdEctTW5HRHIzNEwta0xOOHhnSW0ta2g1SklwVTNBRmFnT21IekFXZWp4X2JlalVKMHNZcWR4ZUIyeXEzRDNkQzlNd9IBkgFBVV95cUxQOGh0Yl9Bc2lURG53dmUyNHBFSjMyM2JkbzNmbktXNGxZSkxDQV85UVdaWjFmVXpFRDRkYXg5bERsVTFqbU1aT1c1VnhvQW9OTlVYS2FHaFpOQUY0b2Q0MDQ5SzU0dVprbTN4MWgyR0JsT2xQb010YS00NDZxTEdRMG80RDZxVVdkMmZ2XzlaYXJCUQ?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Julio,9,Jueves
energía Colombia,El río de la vida: defensa comunitaria contra hidroeléctrica El Quimbo - Consejo Regional Indígena del Cauca,Consejo Regional Indígena del Cauca - CRIC,2015-07-10,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNSkNHRy1vcmYzQWtmX0ZYeDNvTlc2OXkwNkI2SXlXamxmYmZNekhGOUg4MHJSWXVtbWtJU2EzSTVXRkt4bWFQc1lDalkzUC13M2w0ZkdTZm5JTHpoczB2ZTVnUzdrMW1TSFRNc29QdndVNnJXN093ZFBEYWZWUnlyUEJQaXZnVGJBaGF1NGplaW5KTHlyVUZyVER4R1NpZ1Y1bXJVbTl5bFg1ZGM?oc=5&hl=en-US&gl=US&ceid=US:en,00:00:00,2015,Julio,10,Viernes
