Fecha,CodigoDuracion,Hora,PrecioMinimo,Percentil5,PPP,PPS,Mediana,Percentil95,PrecioMaximo,LimiteInferiorIC95Ponderado,LimiteSuperiorIC95Ponderado,LimiteInferiorIC95Simple,LimiteSuperiorIC95Simple,TotalContratos,Version
2022-12-01,P1M,2,1.42,206.61,269.21,279.18,281.31,334.37,689.47,264.88,273.53,274.62,283.74,421,TX4
2022-12-01,P1M,1,1.42,207.3,269.23,279.34,281.31,334.37,689.47,264.91,273.55,274.77,283.92,421,TX4
2022-12-01,P1M,0,1.42,207.3,269.38,279.55,281.56,334.37,689.47,265.05,273.71,274.96,284.14,421,TX4
2022-12-01,P1M,23,1.42,207.3,267.39,280.28,281.99,335.05,689.47,263.07,271.7,275.7,284.86,418,TX4
2022-12-01,P1M,22,1.42,207.3,267.9,280.64,282.37,335.05,689.47,263.55,272.24,276.03,285.26,418,TX4
2022-12-01,P1M,21,1.42,207.3,268.52,281.51,282.51,335.85,699.54,264.12,272.93,276.81,286.22,416,TX4
2022-12-01,P1M,20,1.42,207.3,268.87,281.88,282.51,339.34,699.54,264.47,273.28,277.14,286.62,415,TX4
2022-12-01,P1M,19,1.42,207.3,269.14,282.03,282.61,339.34,699.54,264.73,273.55,277.27,286.79,414,TX4
2022-12-01,P1M,18,1.42,207.3,269.13,282.05,282.61,339.34,699.54,264.73,273.53,277.28,286.82,414,TX4
2022-12-01,P1M,17,1.42,207.3,269.14,281.68,282.51,335.85,699.54,264.71,273.58,276.94,286.41,413,TX4
2022-12-01,P1M,16,1.42,211.39,271.27,280.47,281.56,335.85,699.54,266.87,275.67,275.84,285.1,425,TX4
2022-12-01,P1M,15,1.42,211.39,271.28,280.41,281.56,335.85,699.54,266.89,275.67,275.77,285.05,426,TX4
2022-12-01,P1M,14,1.42,211.39,271.22,280.41,281.56,335.85,699.54,266.81,275.62,275.76,285.05,426,TX4
2022-12-01,P1M,13,1.42,211.39,271.19,280.29,281.31,335.85,699.54,266.79,275.59,275.66,284.91,428,TX4
2022-12-01,P1M,12,1.42,211.39,270.93,280.31,281.31,335.85,699.54,266.52,275.34,275.68,284.93,428,TX4
2022-12-01,P1M,11,1.42,211.39,270.9,280.18,281.31,335.85,699.54,266.5,275.31,275.58,284.78,428,TX4
2022-12-01,P1M,10,1.42,211.39,270.84,280.32,281.56,335.74,699.54,266.42,275.27,275.69,284.96,426,TX4
2022-12-01,P1M,9,1.42,211.39,270.63,280.0,281.31,335.74,699.54,266.22,275.04,275.41,284.58,426,TX4
2022-12-01,P1M,8,1.42,211.39,270.24,279.48,280.97,335.05,689.47,265.86,274.63,274.97,284.0,426,TX4
2022-12-01,P1M,7,1.42,211.39,269.97,279.11,280.97,335.05,689.47,265.62,274.32,274.63,283.59,425,TX4
2022-12-01,P1M,6,1.42,206.61,269.73,279.1,281.56,334.37,689.47,265.37,274.09,274.58,283.63,418,TX4
2022-12-01,P1M,5,1.42,207.3,269.5,279.44,281.57,334.37,689.47,265.16,273.83,274.9,283.98,417,TX4
2022-12-01,P1M,4,1.42,206.61,269.21,278.83,281.31,334.37,689.47,264.89,273.54,274.27,283.38,419,TX4
2022-12-01,P1M,3,1.42,206.61,269.24,279.22,281.31,334.37,689.47,264.91,273.57,274.67,283.78,420,TX4
2022-11-01,P1M,6,1.43,175.0,269.13,273.11,280.51,326.76,421.92,264.89,273.37,268.38,277.84,403,TX5
2022-11-01,P1M,5,1.43,158.94,269.15,273.01,280.56,326.76,421.92,264.97,273.32,268.23,277.78,402,TX5
2022-11-01,P1M,4,1.43,145.64,268.79,272.19,280.51,326.76,421.92,264.61,272.98,267.33,277.06,404,TX5
2022-11-01,P1M,3,1.43,145.64,268.85,272.1,280.09,326.76,421.92,264.67,273.02,267.23,276.98,405,TX5
2022-11-01,P1M,2,1.43,145.64,268.77,271.99,280.09,326.76,421.92,264.6,272.94,267.13,276.86,406,TX5
2022-11-01,P1M,1,1.43,145.64,268.71,272.06,280.09,326.76,421.92,264.53,272.89,267.21,276.92,406,TX5
2022-11-01,P1M,0,1.43,145.64,268.72,272.1,280.09,326.76,421.92,264.53,272.92,267.25,276.95,406,TX5
2022-11-01,P1M,23,1.43,175.0,266.75,273.42,280.56,326.76,436.8,262.59,270.91,268.71,278.13,404,TX5
2022-11-01,P1M,22,1.43,184.71,267.22,274.0,280.56,327.21,457.91,263.07,271.36,269.41,278.59,406,TX5
2022-11-01,P1M,21,1.43,188.6,267.85,275.3,280.69,327.21,457.91,263.73,271.97,270.87,279.72,404,TX5
2022-11-01,P1M,20,1.43,190.1,267.92,275.65,280.79,327.21,458.2,263.79,272.04,271.24,280.06,403,TX5
2022-11-01,P1M,19,1.43,191.52,268.12,275.92,280.87,327.21,458.2,264.0,272.23,271.53,280.31,402,TX5
2022-11-01,P1M,18,1.43,191.35,268.14,275.93,280.87,327.21,458.2,264.04,272.24,271.54,280.31,402,TX5
2022-11-01,P1M,17,1.43,190.1,268.27,275.71,280.87,327.21,458.2,264.13,272.41,271.28,280.14,401,TX5
2022-11-01,P1M,16,1.43,191.35,270.19,274.53,280.04,327.21,458.2,266.09,274.28,270.19,278.87,413,TX5
2022-11-01,P1M,15,1.43,191.52,269.92,274.5,280.04,327.21,458.2,265.83,274.01,270.18,278.82,414,TX5
2022-11-01,P1M,14,1.43,191.52,269.77,274.54,280.04,327.21,458.2,265.68,273.86,270.23,278.86,414,TX5
2022-11-01,P1M,13,1.43,191.52,269.78,274.34,280.0,326.76,458.2,265.69,273.87,270.04,278.64,416,TX5
2022-11-01,P1M,12,1.43,191.52,269.71,274.32,280.0,326.76,458.2,265.6,273.81,270.01,278.62,416,TX5
2022-11-01,P1M,11,1.43,191.52,269.79,274.32,280.0,326.76,458.2,265.7,273.88,270.01,278.62,416,TX5
2022-11-01,P1M,10,1.43,191.35,269.7,274.36,280.04,327.21,458.2,265.6,273.8,270.03,278.7,414,TX5
2022-11-01,P1M,9,1.43,188.6,269.45,273.87,280.0,327.21,457.91,265.33,273.57,269.47,278.27,414,TX5
2022-11-01,P1M,8,1.43,188.6,269.12,273.37,280.0,326.76,457.91,264.96,273.28,268.87,277.86,414,TX5
2022-11-01,P1M,7,1.43,177.1,268.87,272.94,280.0,326.76,456.87,264.69,273.06,268.34,277.54,413,TX5
2022-10-01,P1M,23,80.0,204.88,267.33,277.39,281.52,324.3,513.26,264.08,270.58,273.93,280.85,542,TX6
2022-10-01,P1M,22,80.0,207.16,267.7,278.15,281.57,324.3,522.55,264.44,270.96,274.75,281.54,543,TX6
2022-10-01,P1M,21,80.0,207.16,268.08,279.43,282.34,325.94,614.08,264.77,271.4,275.9,282.96,539,TX6
2022-10-01,P1M,20,80.0,207.16,268.35,280.17,282.4,330.48,614.08,265.02,271.69,276.55,283.8,537,TX6
2022-10-01,P1M,19,80.0,207.16,269.25,283.51,282.5,331.94,942.91,265.57,272.92,278.76,288.25,535,TX6
2022-10-01,P1M,18,80.0,207.16,269.39,283.63,282.5,331.94,942.91,265.69,273.1,278.82,288.45,535,TX6
2022-10-01,P1M,17,80.0,206.13,268.61,279.56,282.4,325.94,614.08,265.29,271.94,275.99,283.13,533,TX6
2022-10-01,P1M,9,80.0,204.88,269.67,277.49,280.79,325.37,614.08,266.33,273.01,273.93,281.05,546,TX6
2022-10-01,P1M,8,80.0,204.88,269.58,277.21,280.74,324.3,613.1,266.25,272.9,273.68,280.74,546,TX6
2022-10-01,P1M,7,80.0,204.88,269.28,276.3,280.18,324.13,612.66,265.96,272.59,272.78,279.82,543,TX6
2022-10-01,P1M,6,80.0,197.39,269.36,276.08,281.17,324.3,513.26,266.02,272.7,272.47,279.7,536,TX6
2022-10-01,P1M,5,80.0,197.39,269.1,275.94,280.79,324.13,513.26,265.77,272.42,272.31,279.57,537,TX6
2022-10-01,P1M,4,80.0,197.39,268.85,275.42,280.63,324.13,475.62,265.54,272.17,271.77,279.06,541,TX6
2022-10-01,P1M,3,80.0,197.39,268.8,275.32,280.18,324.13,453.78,265.5,272.1,271.68,278.96,543,TX6
2022-10-01,P1M,16,80.0,207.16,270.48,279.04,281.52,325.94,1204.2,266.98,273.98,274.94,283.13,551,TX6
2022-10-01,P1M,15,80.0,207.16,270.71,280.14,281.52,330.48,1204.2,267.12,274.3,275.85,284.42,552,TX6
2022-10-01,P1M,14,80.0,207.16,270.51,280.02,281.43,330.48,1204.2,266.96,274.06,275.82,284.22,552,TX6
2022-10-01,P1M,13,80.0,207.23,270.14,278.98,280.91,325.94,942.91,266.71,273.58,275.12,282.83,550,TX6
2022-10-01,P1M,12,80.0,209.92,269.98,278.68,280.91,325.94,809.44,266.59,273.37,274.95,282.4,550,TX6
2022-10-01,P1M,11,80.0,207.16,270.23,279.32,280.91,325.94,941.6,266.66,273.8,275.1,283.53,550,TX6
2022-10-01,P1M,10,80.0,207.16,269.77,277.93,281.17,325.37,614.08,266.41,273.13,274.32,281.54,546,TX6
2022-10-01,P1M,2,80.0,197.39,268.9,275.54,280.63,324.13,475.62,265.61,272.19,271.94,279.14,545,TX6
2022-10-01,P1M,1,80.0,197.39,268.86,275.59,280.63,324.13,475.62,265.56,272.15,271.99,279.19,545,TX6
2022-10-01,P1M,0,80.0,204.2,268.95,275.86,280.63,324.13,475.62,265.65,272.24,272.31,279.41,545,TX6
2022-09-01,P1M,23,80.0,188.6,265.59,274.05,279.38,317.76,434.68,261.89,269.29,269.89,278.22,379,TX3
2022-09-01,P1M,22,80.0,197.81,266.01,275.03,279.55,318.81,461.21,262.35,269.68,271.04,279.03,379,TX3
2022-09-01,P1M,21,80.0,200.86,266.14,275.81,279.97,318.81,530.9,262.44,269.83,271.79,279.83,377,TX3
2022-09-01,P1M,20,80.0,200.86,266.38,277.09,281.36,318.97,814.92,262.59,270.17,272.82,281.36,376,TX3
2022-09-01,P1M,19,80.0,201.52,266.98,278.85,281.98,322.6,1091.45,262.98,270.97,273.99,283.72,375,TX3
2022-09-01,P1M,18,80.0,201.52,267.0,278.26,281.88,320.59,1091.45,263.09,270.9,273.53,282.99,375,TX3
2022-09-01,P1M,17,80.0,198.63,266.57,275.87,281.2,318.81,530.9,262.87,270.27,271.8,279.93,374,TX3
2022-09-01,P1M,16,80.0,200.86,267.8,275.1,278.82,318.97,672.68,264.1,271.5,270.99,279.2,385,TX3
2022-09-01,P1M,15,80.0,201.52,267.97,275.96,278.82,318.97,1091.45,264.09,271.85,271.36,280.56,386,TX3
2022-09-01,P1M,14,80.0,201.52,267.82,275.58,278.82,318.97,673.29,264.04,271.59,271.29,279.88,386,TX3
2022-09-01,P1M,13,80.0,200.86,267.33,274.74,278.28,318.81,672.68,263.62,271.04,270.61,278.87,388,TX3
2022-09-01,P1M,12,80.0,200.86,267.33,274.95,278.71,318.81,672.68,263.62,271.04,270.83,279.07,388,TX3
2022-09-01,P1M,11,80.0,201.43,267.36,274.9,278.28,318.81,672.68,263.65,271.07,270.77,279.03,388,TX3
2022-09-01,P1M,10,80.0,200.86,267.15,274.33,278.28,318.52,634.08,263.45,270.84,270.23,278.43,386,TX3
2022-09-01,P1M,9,80.0,194.15,267.08,273.79,278.28,318.52,530.9,263.41,270.76,269.72,277.85,386,TX3
2022-09-01,P1M,8,80.0,194.15,267.13,273.72,278.28,318.52,530.9,263.46,270.8,269.65,277.79,386,TX3
2022-09-01,P1M,7,80.0,188.6,267.01,273.13,278.28,317.76,453.28,263.32,270.69,269.03,277.24,385,TX3
2022-09-01,P1M,6,80.0,184.93,267.37,273.24,279.28,317.76,434.68,263.64,271.09,268.95,277.52,378,TX3
2022-09-01,P1M,5,80.0,188.6,267.22,273.22,279.28,317.69,434.68,263.51,270.93,268.96,277.48,378,TX3
2022-09-01,P1M,4,80.0,180.77,267.07,272.43,278.82,317.69,434.68,263.35,270.79,268.07,276.79,380,TX3
2022-09-01,P1M,3,80.0,180.08,267.11,272.04,278.71,317.69,433.91,263.4,270.82,267.62,276.47,381,TX3
2022-09-01,P1M,2,80.0,180.08,267.07,272.12,278.71,317.69,434.68,263.37,270.77,267.72,276.52,382,TX3
2022-09-01,P1M,1,80.0,180.77,266.98,272.46,278.71,317.69,434.68,263.28,270.69,268.15,276.78,382,TX3
2022-09-01,P1M,0,80.0,184.93,266.94,272.72,278.71,317.69,434.68,263.23,270.65,268.48,276.97,382,TX3
2022-08-01,P1M,23,80.0,145.64,264.64,270.12,277.64,316.34,411.18,260.95,268.33,265.43,274.81,374,TX5
2022-08-01,P1M,22,80.0,145.64,264.56,270.22,277.64,316.34,411.18,260.82,268.29,265.54,274.9,374,TX5
2022-08-01,P1M,21,80.0,147.41,264.45,270.59,278.09,316.41,479.71,260.67,268.23,265.9,275.28,372,TX5
2022-08-01,P1M,20,80.0,147.41,264.36,270.83,278.19,316.41,499.0,260.58,268.15,266.15,275.51,371,TX5
2022-08-01,P1M,19,80.0,148.05,264.47,271.37,278.36,316.41,499.0,260.68,268.26,266.72,276.01,370,TX5
2022-08-01,P1M,18,80.0,147.41,264.54,270.84,278.19,316.41,499.0,260.75,268.32,266.15,275.54,370,TX5
2022-08-01,P1M,17,80.0,145.64,264.51,270.54,278.19,316.34,414.89,260.69,268.34,265.83,275.26,369,TX5
