CodigoVariable,Fecha,CodigoDuracion,UnidadMedida,Version,Valor
PPBO,2022-01-31,P1D,COP/kWh,TX4,522.8752
PPBOGReal,2022-01-31,P1D,COP/kWh,TX4,523.0918
PPBO,2022-01-30,P1D,COP/kWh,TX4,466.4049
PPBOGReal,2022-01-30,P1D,COP/kWh,TX4,457.7777
PPBOGReal,2022-01-29,P1D,COP/kWh,TX4,491.6234
PPBO,2022-01-29,P1D,COP/kWh,TX4,492.689
PPBOGReal,2022-01-28,P1D,COP/kWh,TX4,486.3751
PPBO,2022-01-28,P1D,COP/kWh,TX4,490.9216
PPBOGReal,2022-01-27,P1D,COP/kWh,TX4,484.2342
PPBO,2022-01-27,P1D,COP/kWh,TX4,488.3463
PPBO,2022-01-26,P1D,COP/kWh,TX4,396.7875
PPBOGReal,2022-01-26,P1D,COP/kWh,TX4,398.5795
PPBOGReal,2022-01-25,P1D,COP/kWh,TX4,446.1572
PPBO,2022-01-25,P1D,COP/kWh,TX4,450.2662
PPBOGReal,2022-01-24,P1D,COP/kWh,TX4,339.6541
PPBO,2022-01-24,P1D,COP/kWh,TX4,339.6647
PPBOGReal,2022-01-23,P1D,COP/kWh,TX4,308.6741
PPBO,2022-01-23,P1D,COP/kWh,TX4,309.4946
PPBOGReal,2022-01-22,P1D,COP/kWh,TX4,309.0729
PPBO,2022-01-22,P1D,COP/kWh,TX4,309.706
PPBO,2022-01-21,P1D,COP/kWh,TX4,303.3561
PPBOGReal,2022-01-21,P1D,COP/kWh,TX4,302.8022
PPBO,2022-01-20,P1D,COP/kWh,TX4,292.2157
PPBOGReal,2022-01-20,P1D,COP/kWh,TX4,289.6519
PPBOGReal,2022-01-19,P1D,COP/kWh,TX4,265.3482
PPBO,2022-01-19,P1D,COP/kWh,TX4,265.7693
PPBO,2022-01-18,P1D,COP/kWh,TX4,272.6373
PPBOGReal,2022-01-18,P1D,COP/kWh,TX4,271.1845
PPBOGReal,2022-01-17,P1D,COP/kWh,TX4,257.134
PPBO,2022-01-17,P1D,COP/kWh,TX4,259.2377
PPBO,2022-01-16,P1D,COP/kWh,TX4,253.2109
