Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated
2025-10-10,0.0,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,176.20810833333334,275.0,317.5,369.32,388.79,388.71,350.19,0.0,-0.9999985098838806,-0.9999740719795227,-0.9999513030052185,-0.9999839067459106,-0.9997778534889221,-0.9970834255218506,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-14,0.0,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,144.95049166666666,272.0,295.0,367.84,387.51,387.39,349.14,0.0,-0.9999989867210388,-0.9999793767929077,-0.9999617338180542,-0.9999880194664001,-0.9997742176055908,-0.9974848628044128,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-15,0.0,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,181.60605,272.0,317.5,366.33,386.19,386.07,348.09,0.0,-0.9999991655349731,-0.999984085559845,-0.9999602437019348,-0.9999893307685852,-0.9997358918190002,-0.9968607425689697,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-16,0.0,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,176.04509166666665,260.0,292.0,364.83,384.88,384.76,347.05,0.0,-0.9999992251396179,-0.9999850988388062,-0.9999637603759766,-0.9999904036521912,-0.9996528625488281,-0.9957701563835144,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-17,0.0,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,160.36165833333334,250.0,310.0,363.3,383.49,383.45,346.01,0.0,-0.9999993443489075,-0.9999855756759644,-0.9999849200248718,-0.9999943375587463,-0.9997462034225464,-0.9975722432136536,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-20,-0.006066960678193782,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,147.291425,225.0,300.0,361.77,382.11,382.15,344.97,0.0,-0.9999996423721313,-0.9999837279319763,-0.9999915361404419,-0.9999961853027344,-0.999824583530426,-0.9982051849365234,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-21,-0.006140583606113546,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,179.39419166666667,225.0,300.0,361.77,382.11,382.15,344.97,0.0,-0.9999997019767761,-0.9999824166297913,-0.9999947547912598,-0.9999970197677612,-0.9998838305473328,-0.9987292885780334,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-22,-0.005945062763694873,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,123.32715833333332,225.0,300.0,358.74,379.32,379.52,342.83,0.0,-0.9999997615814209,-0.9999815821647644,-0.9999959468841553,-0.9999970197677612,-0.9998924732208252,-0.9988695979118347,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-23,-0.008022693691049937,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,137.81476666666666,220.0,285.0,357.23,390.0,390.0,370.0,0.0,-0.9999997615814209,-0.999985933303833,-0.9999964833259583,-0.999996542930603,-0.9999043345451355,-0.9988788366317749,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-24,-0.008037004229264684,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,125.450225,220.0,290.0,355.69,388.48,388.64,368.82,0.0,-0.9999996423721313,-0.9999906420707703,-0.9999966621398926,-0.9999956488609314,-0.9999180436134338,-0.9989464282989502,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
