Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated
2025-10-10,-0.27385314795015214,0.0,0.0,4999604000.0,4906940000.0,92664000.0,0.0,176.20810833333334,275.0,317.5,369.32,388.79,388.71,350.19,1440000.0,0.4598464369773865,-0.6955945491790771,0.38309139013290405,-0.5715579390525818,-0.6666359901428223,-0.09465807676315308,1,-1,0,-1,-1,0,1,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,396000.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,4,0,0,0,0,0,0,0
2025-10-14,-0.3359309017684581,-4320000.0,-4320000.0,4995284000.0,4906940000.0,88344000.0,0.0,144.95049166666666,272.0,295.0,367.84,387.51,387.39,349.14,1440000.0,-0.24860963225364685,0.10093258321285248,0.11093346774578094,-0.5943425297737122,0.0871853232383728,-0.2401680201292038,0,0,0,-1,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-4320000.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-15,-0.29464302431700384,0.0,-4320000.0,4995284000.0,4906940000.0,88344000.0,0.0,181.60605,272.0,317.5,366.33,386.19,386.07,348.09,1440000.0,-0.2825550138950348,-0.16022224724292755,0.21178017556667328,-0.9075192809104919,-0.7208350300788879,-0.463137686252594,0,0,0,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-16,-0.10306345892925367,-17280000.0,-21600000.0,4994909600.0,4994909600.0,0.0,0.0,176.04509166666665,260.0,292.0,364.83,384.88,384.76,347.05,0.0,-0.8580188751220703,-0.5383824110031128,-0.2602921724319458,-0.9531651735305786,-0.7212526798248291,-0.6850172281265259,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,374400.0,-17280000.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,-4,0,0,0,0,0,0,0
2025-10-17,-0.003169145379193255,0.0,-21600000.0,4994909600.0,4994909600.0,0.0,0.0,160.36165833333334,250.0,310.0,363.3,383.49,383.45,346.01,0.0,-0.7685734629631042,-0.6234645843505859,-0.38900887966156006,-0.9765554666519165,-0.8647391200065613,-0.8827205300331116,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-20,-0.4140972423097851,0.0,-21600000.0,4994518888.4,4903092374.0,91426514.4,0.0,147.291425,225.0,300.0,361.77,382.11,382.15,344.97,1080000.0,-0.10964703559875488,-0.16414658725261688,0.4876921474933624,-0.571397066116333,0.002654158975929022,-0.13441529870033264,0,0,1,-1,0,0,0,0,1,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,390711.60000000003,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,3,0,0,0,0,0
2025-10-21,-0.058606740000000004,0.0,-21600000.0,4994128176.799999,4994128176.799999,0.0,0.0,179.39419166666667,225.0,300.0,361.77,382.11,382.15,344.97,0.0,-0.9994027018547058,-0.9999732971191406,-0.9999662041664124,-0.9991258382797241,-0.999998927116394,-0.9996387362480164,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,390711.60000000003,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,-3,0,0,0,0,0
2025-10-22,-0.002262639803341542,0.0,-21600000.0,4994128176.799999,4994128176.799999,0.0,0.0,123.32715833333332,225.0,300.0,358.74,379.32,379.52,342.83,0.0,-0.9754793047904968,-0.9535642862319946,-0.3786742389202118,-0.9843578338623047,-0.9839260578155518,-0.9903851747512817,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-23,-0.004291141558533999,0.0,-21600000.0,4994128176.799999,4994128176.799999,0.0,0.0,137.81476666666666,220.0,285.0,357.23,390.0,390.0,370.0,0.0,-0.2855030596256256,-0.1582743227481842,0.3678327202796936,-0.6020082235336304,-0.04865947365760803,-0.25213634967803955,0,0,0,-1,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-24,-0.001196185487769372,0.0,-21600000.0,4994128176.799999,4994128176.799999,0.0,0.0,125.450225,220.0,290.0,355.69,388.48,388.64,368.82,0.0,-0.30030179023742676,-0.03784899413585663,0.3563900589942932,-0.5348867177963257,-0.012841561809182167,-0.3377023935317993,0,0,0,-1,0,0,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
