trial,seed,train_reward_mean,train_pnl_mean,train_episode_time_mean,hp_json,score,Ahorro_Total_COP,Costo_Total_Spot_COP,Costo_Total_Estrategia_DDPG_COP,Reduccion_Volatilidad_COP_std,Volatilidad_Estrategia_std,Total_Margin_Calls,Total_Margin_Calls_COP,Sharpe_PnL
1,11,28.270250310719472,23111908086.114876,26.732771616500393,"{""reward"": {""w_pnl"": 0.5, ""w_coverage"": 0.0, ""w_transaction"": 0.2, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.0, ""w_capital_stress"": 0.6, ""w_margin_call"": 0.3, ""w_carry"": 0.12, ""w_risk"": 0.08, ""w_overhedge"": 0.05}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 1e-05, ""critic_lr"": 5e-05, ""gamma"": 0.99, ""tau"": 0.001, ""batch_size"": 256, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.2, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.5, ""total_episodes"": 150}}",-170548066.7999997,28171933.200000286,1207815909.4542017,1179643976.2542014,-42928273.634032466,48555169.87377222,2,198720000.0,0.009243096578137482
2,12,-167.2941849705609,20177572707.310905,22.327358003999688,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.35, ""w_transaction"": 0.2, ""w_opportunity"": 0.0, ""w_opportunity_expiry"": 0.1, ""w_capital_stress"": 1.5, ""w_margin_call"": 0.2, ""w_carry"": 0.05, ""w_risk"": 0.12, ""w_overhedge"": 0.05}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 0.0001, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""tau"": 0.001, ""batch_size"": 128, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.2, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.999}, ""general"": {""discretize_limit"": 0.45, ""total_episodes"": 200}}",-757573156.8,116146843.20000005,1127601728.646347,1011454885.446347,-82259699.93105195,87899332.33482069,7,873720000.0,0.021714356872365226
3,13,-833.566689642403,13144127338.216274,10.04715084599884,"{""reward"": {""w_pnl"": 0.5, ""w_coverage"": 1.0, ""w_transaction"": 0.2, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.0, ""w_capital_stress"": 1.5, ""w_margin_call"": 0.5, ""w_carry"": 0.08, ""w_risk"": 0.05, ""w_overhedge"": 0.05}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0001, ""gamma"": 0.97, ""tau"": 0.005, ""batch_size"": 128, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.15, ""exploration_noise_min_std"": 0.05, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.4, ""total_episodes"": 100}}",-1743694219.2171016,-402604219.2171016,1127601728.646347,1530205947.8634486,-77138733.53553802,82778365.93930675,13,1341090000.0,-0.06763964447532263
4,14,-752.9438659123625,5022081551.190408,9.651947470800952,"{""reward"": {""w_pnl"": 0.1, ""w_coverage"": 1.0, ""w_transaction"": 0.1, ""w_opportunity"": 0.0, ""w_opportunity_expiry"": 0.1, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.3, ""w_carry"": 0.12, ""w_risk"": 0.05, ""w_overhedge"": 0.08}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0001, ""gamma"": 0.99, ""tau"": 0.001, ""batch_size"": 128, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.15, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.5, ""total_episodes"": 100}}",-159700766.39999962,-54580766.39999962,1207815909.4542017,1262396675.8542013,-3851585.4679687275,9478481.707708482,3,105120000.0,-0.08417583405016657
5,15,-94.09944521419169,17051123584.139318,9.711290333096986,"{""reward"": {""w_pnl"": 0.1, ""w_coverage"": 0.0, ""w_transaction"": 0.15, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.2, ""w_carry"": 0.12, ""w_risk"": 0.12, ""w_overhedge"": 0.05}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0001, ""gamma"": 0.99, ""tau"": 0.001, ""batch_size"": 128, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.2, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.4, ""total_episodes"": 150}}",-2627812.7999999523,-2627812.7999999523,1127601728.646347,1130229541.446347,-34568.70724023506,5674201.111008963,0,0.0,-0.12309149097933268
6,16,-462.07154206306785,12867259545.372366,9.915770412400889,"{""reward"": {""w_pnl"": 0.5, ""w_coverage"": 0.5, ""w_transaction"": 0.25, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.2, ""w_capital_stress"": 1.5, ""w_margin_call"": 0.1, ""w_carry"": 0.15, ""w_risk"": 0.12, ""w_overhedge"": 0.0}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 64, ""num_layers"": 1, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 0.0001, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""tau"": 0.002, ""batch_size"": 128, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.05, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.5, ""total_episodes"": 100}}",0.0,0.0,1127601728.646347,1127601728.646347,0.0,5639632.403768728,0,0.0,0.0
7,17,-620.1962564905964,15488124950.97193,11.523992020898731,"{""reward"": {""w_pnl"": 0.4, ""w_coverage"": 0.75, ""w_transaction"": 0.25, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.1, ""w_capital_stress"": 1.5, ""w_margin_call"": 0.2, ""w_carry"": 0.25, ""w_risk"": 0.12, ""w_overhedge"": 0.12}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0003, ""gamma"": 0.97, ""tau"": 0.005, ""batch_size"": 128, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.01, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.5, ""total_episodes"": 100}}",42494677.20000017,225522277.20000017,1127601728.646347,902079451.4463469,-50981674.68762013,56621307.09138886,2,183027600.0,0.06230087458984572
8,18,-157.74126491003403,18631809004.95015,22.819313724999667,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.35, ""w_transaction"": 0.05, ""w_opportunity"": 0.0, ""w_opportunity_expiry"": 0.0, ""w_capital_stress"": 0.8, ""w_margin_call"": 0.1, ""w_carry"": 0.25, ""w_risk"": 0.12, ""w_overhedge"": 0.05}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.0}, ""ddpg"": {""actor_lr"": 3e-05, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""tau"": 0.005, ""batch_size"": 128, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.01, ""exploration_noise_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.45, ""total_episodes"": 150}}",110054239.20000017,241328239.20000017,1127601728.646347,886273489.4463469,-48617987.000452325,54257619.40422105,2,131274000.0,0.06894296832623314
9,19,-598.99257120388,16112050342.953785,12.411603250000917,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.75, ""w_transaction"": 0.2, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 0.8, ""w_margin_call"": 0.5, ""w_carry"": 0.08, ""w_risk"": 0.0, ""w_overhedge"": 0.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 0.0001, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""tau"": 0.002, ""batch_size"": 128, ""buffer_capacity"": 200000, ""exploration_noise_std"": 0.15, ""exploration_noise_min_std"": 0.03, ""exploration_noise_decay"": 0.9992}, ""general"": {""discretize_limit"": 0.5, ""total_episodes"": 150}}",-557389214.4171014,-4576814.417101383,1207815909.4542017,1212392723.871303,-37444474.03788194,43071370.277621694,8,552812400.0,0.0028661681306560746
10,20,-398.34423616366155,18571871175.599773,35.59546030010097,"{""reward"": {""w_pnl"": 0.2, ""w_coverage"": 0.35, ""w_transaction"": 0.2, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.1, ""w_capital_stress"": 1.4, ""w_margin_call"": 0.3, ""w_carry"": 0.15, ""w_risk"": 0.08, ""w_overhedge"": 0.12}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.1}, ""ddpg"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0001, ""gamma"": 0.99, ""tau"": 0.002, ""batch_size"": 256, ""buffer_capacity"": 400000, ""exploration_noise_std"": 0.1, ""exploration_noise_min_std"": 0.05, ""exploration_noise_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.45, ""total_episodes"": 200}}",-16071840.0,-16071840.0,1127601728.646347,1143673568.646347,-92388.53958270233,5732020.94335143,0,0.0,-0.29186230483323916
