episode,episode_reward,episode_pnl,episode_tx_cost,episode_ahorro_cop,margin_calls_count,overhedging_penalty_kwh_sum,episode_time_sec
1,-519.5096625892777,-2075614459.5998654,49809718.8,-2125424178.3998632,128,1318585860.0783103,10.033672125005978
2,-269.8545954301386,10531738800.0,104548467.60000002,10427190332.400002,62,1597090648.0737166,13.272151583994855
3,-249.14155995270886,9577668345.831911,59458906.800000004,9518209439.031908,72,1253838525.1699946,12.993494624999585
4,-469.8952731351558,10557478420.105753,74055628.8,10483422791.30575,148,1412953453.2149997,13.008332292010891
5,-233.71481096659636,14704805816.790411,114043017.43736705,14590762799.353045,71,1103084750.2649975,12.951127624997753
6,-199.49155896903986,8424835200.0,77447340.00000001,8347387860.000002,35,788391861.4130001,12.817156916004024
7,-193.83490043401247,9039182400.0,81048870.0,8958133530.0,38,800199260.535001,12.834279041999253
8,-190.10199433545927,11047454793.387096,80928774.0,10966526019.387098,42,875437048.1670003,12.789188166992972
9,-197.60007957439086,14245987488.919186,83008533.60000001,14162978955.319187,54,1412906727.2939968,12.810077417001594
10,-179.21882297335063,14577884327.279266,106572708.00000004,14471311619.279272,42,1313281151.574996,12.834640082990518
11,-175.77296911549396,16808593462.641533,118876885.2,16689716577.44153,49,1404579415.7749968,12.996797165993485
12,-156.3045067125244,16181234845.028687,120549384.00000004,16060685461.028685,48,1311181483.3629982,13.022142999994685
13,-158.99905740366782,17487866051.145103,119824401.60000004,17368041649.5451,51,1233024349.795999,12.896119999990333
14,-167.16616548375015,19578429842.573677,142414131.60000005,19436015710.973663,46,1418788378.4070003,12.912350874990807
15,-176.40267214132538,18328939853.358006,149061416.4,18179878436.957996,51,1341257777.5879962,12.929186291992664
16,-150.74792290504575,19833905595.925045,144916974.00000003,19688988621.925026,40,1331508203.661996,12.910413624995272
17,-147.54685435839338,16846022676.367111,165063830.40000007,16680958845.96711,35,1263775751.196998,12.983226416996331
18,-130.71379296205504,18506015712.746635,154635730.4497651,18351379982.296864,29,1342864587.5739977,12.913676958996803
19,-124.60353083304958,17481101783.58308,152342352.00000003,17328759431.583073,35,1212123518.4619982,13.02626120900095
20,-123.77143872549537,16584591547.554512,151591204.8,16433000342.754509,24,1234321662.1709974,13.074146333005046
21,-127.32909433685275,20767931528.45616,151045099.20000005,20616886429.256153,26,1355303193.3239956,12.938193624999258
22,-120.63535123059695,19210826667.296444,154097715.60000002,19056728951.696445,22,1330994675.3949966,12.836011040999438
23,-125.23815694166396,18132501016.808887,155335856.40000004,17977165160.40889,27,1255749241.8479965,12.854576333003934
24,-126.23753966435126,18527194921.59441,146607688.8,18380587232.79442,28,1192854096.0169992,12.818514583006618
25,-110.99290997319869,19997794453.935486,151265890.80000004,19846528563.135487,17,1397054694.1879978,12.814650457992684
26,-112.05652442257977,19778507653.935482,152733484.8,19625774169.135487,18,1390496979.451996,12.82184629200492
27,-109.20535183464834,18430532567.419357,148263548.39999998,18282269019.019352,17,1289409185.107998,12.83261508301075
28,-108.21868995609589,19574305687.16129,145417701.6,19428887985.561287,16,1313593944.8239982,12.812928166007623
29,-104.91499576331218,21629857173.677418,159184238.40000004,21470672935.27742,17,1356526954.4939976,12.86343733400281
30,-117.50235436773255,19540039323.753265,166926967.19999996,19373112356.55327,19,1323943480.3569996,12.830852208004217
31,-103.42745077805367,21412136373.677418,151904851.20000002,21260231522.477413,17,1370619548.8980002,12.918904459002079
32,-104.04638611358392,21025841973.67742,168463673.99999997,20857378299.67741,19,1296609468.4949996,12.868994667005609
33,-117.48843597646268,23821990269.553265,184403772.0,23637586497.553253,20,1450540158.1650002,12.91575895799906
34,-85.16388045427634,22017466211.705994,170496702.00000006,21846969509.705994,20,1291538200.037998,12.93190179199155
35,-101.17291864497346,21195709687.16129,163549591.2,21032160095.961292,18,1406198336.170999,12.912877958005993
36,-102.33713949279037,21553746123.753265,160922005.2,21392824118.553272,17,1456650461.4459999,12.925434457996744
37,-101.44793806094799,21457553062.860226,164545271.837367,21293007791.022854,20,1342943736.0899982,12.876266916005989
38,-82.65182291586865,23434030211.705994,176995249.2,23257034962.50599,18,1404605453.189002,12.89160937500128
39,-105.29447950137762,21184170123.75326,163919602.8,21020250520.953266,19,1384794931.2569966,12.830451832996914
40,-86.85389135623215,21618828987.518433,158011855.20000002,21460817132.318424,17,1317943790.8769987,12.843701250007143
41,-104.31006971643073,21950993937.594276,177929769.60000005,21773064167.994278,19,1394714834.6629972,12.854800500004785
42,-101.15490214724677,21102555197.52285,168693508.8,20933861688.72285,17,1357021911.6439977,12.896006374998251
43,-88.70325676830636,23551386785.118435,198398782.80000007,23352988002.318436,17,1439979693.0099995,12.814798542007338
44,-91.92670024903796,22348331077.665703,156791865.6,22191539212.065704,16,1335481647.0720007,12.857790416994249
45,-104.68092110365015,24004243137.594276,164646633.60000005,23839596503.994274,18,1538601149.136,12.86877483400167
46,-85.40186698196538,24811566785.11843,178680913.20000008,24632885871.91843,19,1517972142.4980013,13.034854666009778
47,-103.13506025466616,22683597537.594276,167848218.0,22515749319.594276,18,1399754432.1799989,12.904032791004283
48,-81.15236646342659,25086309525.18986,188752262.4,24897557262.789856,18,1499440080.7890022,12.953897125000367
49,-79.66892917716586,24526608785.11843,177775232.40000004,24348833552.718426,18,1405990954.4400022,12.96208112500608
50,-95.71747896310491,23258868797.52285,176172962.4,23082695835.122837,17,1380392247.588001,12.948641666996991
51,-81.43477642615103,24732109621.71041,172643079.60000002,24559466542.1104,19,1417175731.1320024,12.910297834008816
52,-83.16992621315063,24308164881.638977,187067473.19999993,24121097408.43897,19,1331958086.1310012,12.887561959010782
53,-74.25564126000408,24456853645.047005,161919201.6,24294934443.447,19,1341006429.4620004,12.834017542001675
54,-88.94789756129956,24664872284.03898,174352766.39999995,24490519517.638973,17,1439582122.5000021,12.854226665993338
55,-82.88138196869237,24605769927.70507,181431187.2,24424338740.505066,17,1399211368.8530016,12.850144916999852
56,-77.92601612250897,24687304822.486176,181613905.2,24505690917.286175,18,1395416944.9210014,13.5376226669905
57,-83.49225082259251,24556540482.41475,199105117.20000002,24357435365.214745,18,1433596295.3110013,28.661736332986038
58,-81.12800078916317,24593941867.776497,193945471.2,24399996396.576492,17,1456641789.7980015,24.1576081670064
59,-80.09196785747582,25287851127.705067,192397957.19999996,25095453170.505062,17,1463208218.272001,13.114548540994292
60,-85.76618339268583,23745191982.418198,199285783.2,23545906199.218197,21,1404660687.5390012,12.826474750007037
61,-73.92982525189261,23230533754.292625,192662924.40000004,23037870829.892624,17,1368036016.5550017,12.632890584005509
62,-68.2218494855393,23303904022.486176,192796120.79999998,23111107901.686172,19,1296070497.783001,13.206238041006145
63,-69.46208956472107,22227482214.2212,198708487.2,22028773727.0212,16,1265069276.8560007,13.116185625010985
64,-74.36113429993274,21244248154.292625,175906051.2,21068342103.092617,16,1234132124.5185523,13.146308583003702
65,-95.5405625380616,19858855049.073734,176115978.0,19682739071.073727,21,1751008744.0549989,13.268908958008979
66,-104.82894518228238,19566048667.7765,188243924.39999995,19377804743.3765,19,1797004584.558,13.00169916699815
67,-109.19076302745093,23394301178.820084,200506521.59999996,23193794657.220078,21,1708805205.464999,13.078305250004632
68,-93.28096369110496,24632092628.74424,191928819.59999993,24440163809.14424,20,1678974919.384,12.719903999997769
69,-107.92442649063081,25165291222.486176,190941717.59999996,24974349504.886173,20,1845379228.8619995,12.645228666995536
70,-118.01714143690155,26061489233.52285,211194694.79999998,25850294538.722855,17,1276011500.3349996,12.681085624994012
71,-115.45144064550364,22240162952.232525,177110470.79999998,22063052481.432526,17,1142565203.877998,12.697923165993416
72,-107.66113436323626,22016355282.41474,167792453.99999997,21848562828.414738,17,1126085317.1249976,12.667189792002318
73,-109.11660723626629,21811065194.95825,176945702.39999992,21634119492.558247,22,1132048669.8489966,12.641112249999424
74,-111.06492003374953,22723533238.748657,173279491.2,22550253747.548656,19,1153014325.8129978,12.66893254200113
75,-104.16915932350452,23328134082.414745,185353379.99999997,23142780702.414745,18,1195960975.2869985,12.733764165997854
76,-112.91504873090946,23389649586.852318,178260573.6,23211389013.25232,18,1133416463.5675797,12.713109167001676
77,-109.89925193073456,21830208786.852318,184932169.20000002,21645276617.65232,18,1123805040.9299958,12.770640999995521
78,-102.28865826265587,24140469036.776474,182100373.20000002,23958368663.576466,18,1198311116.5919967,12.790386458000285
79,-115.37713427983087,24934036750.26034,191059038.00000003,24742977712.26034,20,1636415060.9210002,12.84058816700417
80,-117.84928601373456,24054728877.2212,197721403.2,23857007474.02119,18,1658793300.108,12.838815791998059
81,-133.48642643859046,23768494175.400703,196470493.2,23572023682.2007,19,1642265762.2829993,12.854839999999967
82,-118.24907344080667,23791127225.32486,196978176.00000003,23594149049.324852,18,1623062881.9079998,12.815591749997111
83,-106.92863291366768,23711082962.32486,201572737.20000002,23509510225.124847,16,1289292371.8059998,13.967089707992272
84,-122.14057157457182,24345040195.550667,213646096.8,24131394098.750664,18,1719048297.2440004,15.330429916997673
85,-126.83374284424863,23335172825.32486,215323736.40000004,23119849088.92486,19,1675553081.4569995,15.77574591699522
86,-119.42897683123098,23637148905.582924,196317514.79999998,23440831390.782925,19,1585126649.188001,15.04393658299523
87,-102.7249737065267,22835316425.32486,203265471.60000002,22632050953.724854,18,1197984584.3779998,14.294163708997075
88,-103.32902341886657,24726164306.615185,208788404.40000004,24517375902.215183,18,1395294867.0580003,14.199902374995872
89,-121.61448600593681,24645395713.432964,220796316.00000006,24424599397.43296,18,1426064406.498,13.726504374993965
90,-102.75659550286989,23076610025.32486,208961251.20000005,22867648774.124863,17,1307343133.983,13.683495542005403
91,-114.17015152751347,24322322482.066795,211892277.59999996,24110430204.466793,17,1679070630.3309996,13.364837500004796
92,-113.57486595284149,25049779106.61518,196788913.20000002,24852990193.41518,18,1702252987.88,13.158545917001902
93,-113.90808785983859,24607293186.873245,219371281.20000002,24387921905.673252,18,1407183545.6150002,12.911920458005625
94,-110.01911390411695,23270542175.400703,205690824.00000003,23064851351.400696,16,1270181533.3089993,12.815892832993995
95,-105.26220855096905,24272436275.808727,207978105.6,24064458170.208725,16,1358803660.2200005,13.019896499987226
96,-104.15123820414217,24317443625.32486,205121829.59999996,24112321795.724854,17,1333420168.5160003,13.011285832995782
97,-102.0694874975161,25599996495.51152,195954336.00000006,25404042159.511513,18,1392372928.703,12.70479937500204
98,-108.24924891231674,23545558562.32486,206892903.6,23338665658.724846,16,1305285258.5050006,12.690957875005552
99,-107.88292789068952,23948393243.61518,211612575.60000002,23736780668.015175,17,1373941677.0629995,12.740519834012957
100,-110.08603137428436,25238239963.357117,207177876.00000003,25031062087.357117,17,1368930944.4869998,12.737219707996701
