Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated
2025-10-23,-0.9896182136882935,0.0,0.0,4999002800.0,4799224400.0,199778400.0,0.0,137.81476666666666,220.0,285.0,357.23,390.0,390.0,370.0,3240000.0,0.6885421276092529,-0.39130261540412903,0.29208093881607056,0.999976396560669,-0.9992814660072327,0.9527301788330078,1,-1,0,1,-1,1,1,0,0,1,0,1,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,997200.0,0.0,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,4,0,0,2,0,3,0,0
2025-10-24,-0.8339059082341443,-2368799.9999999944,-2368799.9999999944,4996249854.8,4708950278.0,287299576.8000001,0.0,125.450225,220.0,290.0,355.69,388.48,388.64,368.82,4320000.0,0.9941617846488953,-0.5171648263931274,0.8222264051437378,1.0,-0.9994378089904785,0.5387265086174011,1,-1,1,1,-1,1,0,0,1,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,384145.2,-2368799.9999999944,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,3,0,0,0,0,0
2025-10-27,-0.9937384505458713,-47221200.00000001,-49590000.0,4948447413.2,4552581196.4,395866216.8000001,549765.5589999999,106.63914166666666,190.0,280.0,354.16,386.96,387.28,367.64,6120000.0,0.9999972581863403,0.9999385476112366,0.9995592832565308,0.9552552103996277,0.9975165724754333,0.2271890938282013,1,1,1,1,1,0,0,1,0,0,1,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,43200000.0,581241.6,-47221200.00000001,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,3,0,0,2,0,0,0
2025-10-28,-0.8680661950769776,-12081600.000000043,-61671600.000000045,4945826613.2,4673490796.4,272335816.8000001,0.0,169.49115833333337,190.0,280.0,352.64,385.45,385.92,366.46,4320000.0,0.9998979568481445,0.9996469020843506,0.9982116222381592,-0.9981213212013245,0.9914872646331787,-0.9981626272201538,1,1,1,-1,1,-1,0,0,0,-1,0,-1,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,673300.8,-12081600.000000043,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,-2,0,-3,0,0
2025-10-29,-0.8034577150769776,-13442400.000000013,-75114000.00000006,4932384213.2,4673490796.4,258893416.8,0.0,117.53246666666666,190.0,270.0,351.12,383.95,384.53,365.29,4320000.0,0.9999194145202637,0.9998152852058411,0.9993864297866821,-0.9989381432533264,0.9869177341461182,-0.9950339794158936,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-13442400.000000013,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-30,-0.7971577150769775,-10292399.99999997,-85406400.00000003,4922091813.2,4675449196.4,246642616.8,0.0,113.41794166666666,185.0,265.0,349.61,390.0,390.0,364.12,4320000.0,0.9973761439323425,0.9647678732872009,0.9999549984931946,-0.9995443820953369,0.9969736337661743,-0.9951678514480591,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-10292399.99999997,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-10-31,-0.7819153150769775,-2671200.0000000056,-88077600.00000003,4919420613.2,4675449196.4,243971416.8,0.0,107.80095833333333,185.0,265.0,348.07,388.44,388.6,362.95,4320000.0,0.9942072033882141,0.9521607756614685,0.9999469518661499,-0.9995359778404236,0.9953006505966187,-0.9951297044754028,1,1,1,-1,1,-1,0,0,0,0,0,0,ELMX25F,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,0.0,0.0,-2671200.0000000056,0.0,2043557.073,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,0,0,0,0,0,0,0,0
2025-11-04,-0.7993138231193331,-16761600.000000022,-104839200.00000006,4902612731.6,4517753846.0,384858885.6,179868.40155130834,177.85281666666666,265.0,346.71,387.04,387.32,361.86,307.34,6120000.0,0.9983852505683899,0.9887120723724365,0.9999932050704956,-0.99949049949646,0.9963920712471008,-0.9960083961486816,1,1,1,-1,1,-1,0,0,1,-1,1,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,21600000.0,1217952.0,-16761600.000000022,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,3,-2,4,0,0,0
2025-11-05,-0.2869470073919735,155991599.99999997,51152399.99999991,5058016811.6,4525979846.0,532036965.6,235511.6903959401,193.122,265.0,408.0,408.0,408.0,408.0,408.0,7560000.0,0.9447681903839111,0.9999955296516418,0.9999575614929199,0.8730136156082153,0.9994646310806274,-0.9981573820114136,1,1,1,1,1,-1,0,0,0,1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,587520.0,155991599.99999997,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,4,0,0,0,0
2025-11-06,-0.5018319266584885,87321599.99999997,138473999.99999988,5078896811.6,4625021606.0,453875205.6,0.0,185.79755,265.0,408.0,408.0,408.0,408.0,408.0,6120000.0,0.58195561170578,0.9997960329055786,0.9999997615814209,0.3853093683719635,-0.9378922581672668,-0.977726399898529,1,1,1,1,-1,-1,0,0,0,0,-1,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,587520.0,87321599.99999997,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,-4,0,0,0
2025-11-07,-0.6952654389964884,-16200000.0,122273999.99999988,5062696811.6,4592621606.0,470075205.6,0.0,225.93448333333333,280.0,408.0,408.0,408.0,408.0,408.0,6120000.0,0.11754479259252548,0.9994007349014282,0.9999988079071045,0.131473109126091,-0.9923892021179199,-0.9838342666625977,0,1,1,0,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,32400000.0,0.0,-16200000.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0
2025-11-10,-0.6707032602484382,3600000.0,125873999.99999988,5065709291.6,4507506086.0,558203205.6,640465.4418388698,254.8426333333333,280.0,408.0,408.0,408.0,408.0,408.0,7560000.0,0.975003182888031,0.9998778700828552,0.9997062087059021,0.5780441761016846,0.839641273021698,-0.999155580997467,1,1,1,1,1,-1,0,0,0,0,1,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,587520.0,3600000.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,4,0,0,0
2025-11-11,-0.7255852761938434,69120000.0,194993999.99999988,5134829291.6,4802233766.0,332595525.6,0.0,346.8536833333333,280.0,408.0,408.0,408.0,408.0,408.0,4680000.0,0.9751822352409363,0.9999699592590332,0.9992271065711975,-0.9197126626968384,-0.8918954730033875,-0.9940358400344849,1,1,1,-1,-1,-1,0,0,0,-1,-1,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,1175040.0,69120000.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,-4,-4,0,0,0
2025-11-12,-0.8633003493820203,9360000.0,204353999.99999988,5144189291.6,4882355366.0,261833925.60000002,0.0,321.12385,280.0,408.0,408.0,408.0,408.0,408.0,3600000.0,-0.42766711115837097,0.9993716478347778,0.9982059001922607,-0.3673155903816223,-0.9999567866325378,-0.9285207390785217,-1,1,1,-1,-1,-1,-1,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,302400.0,9360000.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,-3,0,0,0,0,0,0,0
2025-11-13,-1.1010534338312121,-1040399.9999999952,203313599.99999988,5141811383.6,4568760986.0,573050397.6,2225277.24939594,298.32405,280.0,406.98,407.39,407.06,407.06,407.06,7560000.0,0.9985214471817017,0.8398075103759766,0.9999814033508301,0.4773600697517395,-0.9976927638053894,-0.9322177767753601,1,1,1,1,-1,-1,1,0,0,1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,1337508.0,-1040399.9999999952,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,6,0,0,5,0,0,0,0
2025-11-14,-0.5174645307811835,-2717999.9999999222,200595599.99999997,5139093383.6,4569250586.0,569842797.6,80454.56600000011,300.1530833333333,280.0,406.04,406.86,406.16,406.16,406.16,7560000.0,0.9756368398666382,0.9937174320220947,0.9999972581863403,0.9140519499778748,-0.9997018575668335,-0.5752183794975281,1,1,1,1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,-2717999.9999999222,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0
2025-11-18,-1.122579996139093,-28126799.999999996,172468799.99999997,5115200183.6,4858517858.0,256682325.59999996,0.0,231.86389166666663,280.17,405.02,406.21,405.23,405.19,405.23,3600000.0,-0.781571090221405,0.9987419247627258,1.0,-0.9886085391044617,-0.9985853433609009,-0.7387953400611877,-1,1,1,-1,-1,-1,-1,0,0,-1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,22089600.0,1334581.2000000002,-28126799.999999996,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,-6,0,0,-5,0,0,0,0
2025-11-19,-1.1853377750342544,5234400.000000069,177703200.00000003,5118843142.4,4491729176.0,627113966.4000001,2945277.24939594,341.37328333333335,285.05,403.93,405.48,404.22,404.18,404.26,8280000.0,0.9352443814277649,0.7873914837837219,1.0,0.9998345971107483,-0.9998870491981506,-0.9680232405662537,1,1,1,1,-1,-1,1,0,0,1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,1591441.2000000002,5234400.000000069,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,7,0,0,6,0,0,0,0
2025-11-20,-1.6019991771280313,-105602400.00000015,72100799.99999988,5114292742.4,4659817460.0,454475282.4,0.0,229.178725,265.0,402.76,404.71,403.17,403.13,403.25,5760000.0,-0.7139548659324646,0.9998044371604919,0.9999998211860657,0.9939663410186768,-0.9999969601631165,-0.8000994920730591,-1,1,1,1,-1,-1,-1,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,667800.0,-105602400.00000015,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,-7,0,0,0,0,0,0,0
2025-11-21,-0.871795436025978,-4334400.000000048,67766399.99999984,5109375142.4,4522765460.0,586609682.3999999,1629765.559,278.71406666666667,270.0,401.59,403.94,402.12,402.08,402.24,7920000.0,0.994064211845398,0.9993530511856079,1.0,0.9228991866111755,-0.9992567896842957,-0.7613078355789185,1,1,1,1,-1,-1,1,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,583200.0,-4334400.000000048,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,6,0,0,0,0,0,0,0
2025-11-24,-0.7754346896790616,111747600.00000001,179513999.99999985,5154421942.400001,4905807216.8,248614725.60000002,0.0,253.04098333333337,287.5,400.51,403.25,401.11,401.07,401.27,3600000.0,-0.8145727515220642,0.9999434351921082,1.0,-0.5805323719978333,-0.9999542832374573,-0.819891631603241,-1,1,1,-1,-1,-1,-1,0,0,-1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,1487397.6,111747600.00000001,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,-6,0,0,-6,0,0,0,0
2025-11-25,-1.1490831986360526,-56127599.99999996,123386399.99999988,5097718241.6,4716423528.8,381294712.8000001,235511.6903959401,195.42016666666663,265.0,399.35,402.44,400.07,400.03,400.27,5040000.0,-0.6300480365753174,0.9760528802871704,1.0,0.9045225381851196,-0.9999992251396179,-0.8846242427825928,-1,1,1,1,-1,-1,0,0,0,1,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,54000000.0,576100.8,-56127599.99999996,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,4,0,0,0,0
2025-11-26,-0.7341323526290622,-3974400.000000069,119411999.9999998,5093743841.6,4716423528.8,377320312.8,0.0,247.22410833333333,262.5,398.19,401.64,399.03,398.99,399.27,5040000.0,-0.7162156105041504,0.9999728202819824,1.0,0.8205063343048096,-0.9999926686286926,-0.8800273537635803,-1,1,1,1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,-3974400.000000069,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0
2025-11-27,-0.8784951332757382,21193200.000000045,140605199.99999985,5114386241.6,4599945528.8,514440712.8000001,1629765.559,251.51518333333337,255.0,420.0,400.84,397.99,397.95,398.27,7200000.0,0.4237022399902344,0.9999836087226868,1.0,0.7917489409446716,-0.9998497366905212,-0.4862251281738281,1,1,1,1,-1,-1,1,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,550800.0,21193200.000000045,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,6,0,0,0,0,0,0,0
2025-11-28,-0.4917131784341425,19612800.000000007,160217999.99999985,5133999041.6,4621545528.8,512453512.8,80454.56600000011,261.8671,265.0,420.0,400.04,396.96,396.92,397.27,7200000.0,0.5119686722755432,0.9999746084213257,1.0,0.9090940952301025,-0.999278724193573,-0.32810741662979126,1,1,1,1,-1,0,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,19612800.000000007,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0
