Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated,terminated_reason
2025-11-06,-0.35,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,185.79755,265.0,408.0,408.0,408.0,408.0,408.0,0.0,-0.5725479125976562,-0.2070736587047577,-0.1925581991672516,-0.09630470722913742,-0.24004845321178436,-0.2690553367137909,-1,-1,0,0,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-07,-0.35,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,225.93448333333333,280.0,408.0,408.0,408.0,408.0,408.0,0.0,-0.5798900723457336,-0.12311223894357681,-0.17144356667995453,-0.07499498128890991,-0.2609099745750427,-0.29169413447380066,-1,0,0,0,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-10,-0.35,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,254.8426333333333,280.0,408.0,408.0,408.0,408.0,408.0,0.0,-0.5954098701477051,-0.008968127891421318,-0.1274382472038269,-0.055175717920064926,-0.2824365496635437,-0.31087836623191833,-1,0,0,0,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-11,-0.35,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,346.8536833333333,280.0,408.0,408.0,408.0,408.0,408.0,0.0,-0.5284812450408936,-0.10669873654842377,-0.13092263042926788,-0.09576574712991714,-0.24614234268665314,-0.2690006196498871,-1,0,0,0,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-12,-0.35,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,321.12385,280.0,408.0,408.0,408.0,408.0,408.0,0.0,-0.5329062938690186,-0.1282244473695755,-0.10245364159345627,-0.10411512106657028,-0.24021731317043304,-0.29379573464393616,-1,0,0,0,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-13,-0.3519459577052247,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,298.32405,280.0,406.98,407.39,407.06,407.06,407.06,0.0,-0.5129096508026123,-0.21428947150707245,-0.17334049940109253,-0.14757585525512695,-0.20021013915538788,-0.2672838866710663,-1,-1,0,0,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-14,-0.35182652821816596,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,300.1530833333333,280.0,406.04,406.86,406.16,406.16,406.16,0.0,-0.5455857515335083,-0.2749820649623871,-0.21031640470027924,-0.2059609293937683,-0.20420701801776886,-0.24244943261146545,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-18,-0.3519660963708427,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,231.86389166666663,280.17,405.02,406.21,405.23,405.19,405.23,0.0,-0.5742547512054443,-0.3575288653373718,-0.23129549622535706,-0.30774763226509094,-0.2502659559249878,-0.3463878929615021,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-19,-0.3520996426735101,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,341.37328333333335,285.05,403.93,405.48,404.22,404.18,404.26,0.0,-0.5562465190887451,-0.4329988956451416,-0.24839960038661957,-0.3658926486968994,-0.2565804123878479,-0.3993667960166931,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-20,-0.3601038712161913,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,229.178725,265.0,402.76,404.71,403.17,403.13,403.25,0.0,-0.5985013842582703,-0.49141499400138855,-0.25309979915618896,-0.3778470456600189,-0.25781843066215515,-0.43709293007850647,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-21,-0.35220323110778123,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,278.71406666666667,270.0,401.59,403.94,402.12,402.08,402.24,0.0,-0.6351993680000305,-0.5239467620849609,-0.2624526619911194,-0.37961530685424805,-0.28217893838882446,-0.4635750353336334,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-24,-0.3520796425298546,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,253.04098333333337,287.5,400.51,403.25,401.11,401.07,401.27,0.0,-0.5632002949714661,-0.2201133668422699,-0.09891034662723541,-0.28385496139526367,-0.2953152358531952,-0.48348933458328247,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-25,-0.36106734939056595,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,195.42016666666663,265.0,399.35,402.44,400.07,400.03,400.27,0.0,-0.5326111316680908,-0.3409239649772644,-0.23899945616722107,-0.29532453417778015,-0.28484705090522766,-0.3280594050884247,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-26,-0.35318245136336907,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,247.22410833333333,262.5,398.19,401.64,399.03,398.99,399.27,0.0,-0.5299760103225708,-0.42215582728385925,-0.22704288363456726,-0.32565468549728394,-0.3133733570575714,-0.3673310875892639,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-27,-0.3546702312636811,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,251.51518333333337,255.0,420.0,400.84,397.99,397.95,398.27,0.0,-0.5786990523338318,-0.5182778239250183,-0.15949292480945587,-0.30469053983688354,-0.20549388229846954,-0.36879467964172363,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-11-28,-0.3517058315564455,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,261.8671,265.0,420.0,400.04,396.96,396.92,397.27,0.0,-0.6500269770622253,-0.5685914158821106,-0.2034739851951599,-0.28589919209480286,-0.26457473635673523,-0.4549003541469574,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,running
2025-12-01,-0.3517150421409226,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,292.7493,420.0,399.52,396.13,396.05,396.44,385.22,0.0,-0.6399499177932739,-0.5562022924423218,-0.23864354193210602,-0.2590000033378601,-0.2352806180715561,-0.4193071722984314,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-02,-0.35166300890519286,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,254.20151666666663,420.0,399.04,395.34,395.22,395.61,384.41,0.0,-0.6149424910545349,-0.5726200342178345,-0.28431081771850586,-0.27683067321777344,-0.21723715960979462,-0.4672431945800781,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-03,-0.4215284769963781,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,230.45415000000003,420.0,398.6,394.55,394.39,342.23,280.65,0.0,-0.6487908959388733,-0.48466211557388306,-0.2689451575279236,-0.1680459976196289,-0.2571016252040863,-0.32224512100219727,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-04,-0.35148576086829864,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,237.3106,420.0,398.08,393.72,393.52,341.58,280.17,0.0,-0.6833876371383667,-0.5701342225074768,-0.2987062931060791,-0.23657162487506866,-0.2778012454509735,-0.43330684304237366,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-05,-0.3539801156671053,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,188.3115,414.71,397.32,392.74,392.54,340.83,279.61,0.0,-0.6194666028022766,-0.5795583128929138,-0.2789856791496277,-0.20432905852794647,-0.05630946904420853,-0.4099734127521515,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-09,-0.3546419226117887,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,219.91283333333337,408.07,396.25,391.56,391.4,339.94,280.65,0.0,-0.6954241394996643,-0.5817071199417114,-0.34389743208885193,-0.22059673070907593,-0.2406129390001297,-0.4680553078651428,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-10,-0.5392528598810131,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,202.30094999999997,250.0,250.0,250.0,390.26,339.06,280.65,0.0,-0.6649713516235352,-0.6074844002723694,-0.3428886830806732,-0.23298044502735138,-0.19634345173835754,-0.47899115085601807,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
2025-12-11,-0.35090834918528646,0.0,0.0,5000000000.0,5000000000.0,0.0,0.0,235.0135,250.0,250.0,250.0,389.13,338.18,280.65,0.0,-0.6299120783805847,-0.47353312373161316,-0.2843572199344635,-0.047001149505376816,-0.10724271088838577,-0.2167300283908844,-1,-1,-1,0,0,-1,0,0,0,0,0,0,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,ELMM26F,0.0,0.0,0.0,0.0,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,2227426.5217549116,0,0,0,0,0,0,0,0,running
