trial,seed,train_reward_mean,train_pnl_mean,hp_json,score,Ahorro_Total_COP,Costo_Total_Spot_COP,Costo_Total_Estrategia_PPO_COP,Reduccion_Volatilidad_COP_std,Volatilidad_Estrategia_std,Total_Margin_Calls,Total_Margin_Calls_COP,Sharpe_PnL
7,17,-748.4232885872643,21770210654.97869,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.2, ""w_transaction"": 0.2, ""w_opportunity"": 0.0, ""w_opportunity_expiry"": 0.0, ""w_capital_stress"": 1.2, ""w_margin_call"": 0.2, ""w_carry"": 0.12, ""w_risk"": 0.12, ""w_overhedge"": 0.12, ""w_invalid_action"": 0.2, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0003, ""gamma"": 0.97, ""gae_lambda"": 0.9, ""clip_eps"": 0.25, ""entropy_coef"": 0.02, ""value_coef"": 0.5, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 128, ""ppo_epochs"": 10, ""mini_batch_size"": 64, ""action_std_init"": 0.25, ""action_std_min"": 0.05, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.2, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",932504289.5828984,932504289.5828984,1127601728.646347,195097439.06344864,-69108342.51046205,74747974.91423078,6,253562400.00000003,0.186066821158115
13,23,-781.9501673612043,16183063642.552786,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.5, ""w_transaction"": 0.2, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.2, ""w_carry"": 0.0, ""w_risk"": 0.05, ""w_overhedge"": 0.12, ""w_invalid_action"": 0.2, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0001, ""gamma"": 0.97, ""gae_lambda"": 0.95, ""clip_eps"": 0.2, ""entropy_coef"": 0.0, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.01, ""rollout_steps"": 128, ""ppo_epochs"": 10, ""mini_batch_size"": 64, ""action_std_init"": 0.25, ""action_std_min"": 0.08, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.2, ""total_episodes"": 100, ""train_threshold"": 200, ""test_ratio"": 0.09}}",332900805.6000004,332900805.6000004,1207815909.4542017,874915103.8542013,-24337269.530017193,29964165.769756947,0,0.0,0.1555201945799871
5,15,-381.88201893463804,27349632856.939686,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.25, ""w_transaction"": 0.2, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.05, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.3, ""w_carry"": 0.0, ""w_risk"": 0.12, ""w_overhedge"": 0.0, ""w_invalid_action"": 0.1, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""gae_lambda"": 0.9, ""clip_eps"": 0.25, ""entropy_coef"": 0.02, ""value_coef"": 0.25, ""max_grad_norm"": 0.5, ""target_kl"": 0.05, ""rollout_steps"": 512, ""ppo_epochs"": 10, ""mini_batch_size"": 128, ""action_std_init"": 0.4, ""action_std_min"": 0.08, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",199949076.00000012,199949076.00000012,1127601728.646347,927652652.6463469,-48104917.278622985,53744549.68239171,4,106765199.99999994,0.0577343484654264
11,21,-632.3290001701363,28730463405.682972,"{""reward"": {""w_pnl"": 0.3, ""w_coverage"": 0.25, ""w_transaction"": 0.2, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.2, ""w_capital_stress"": 0.8, ""w_margin_call"": 0.1, ""w_carry"": 0.0, ""w_risk"": 0.12, ""w_overhedge"": 0.05, ""w_invalid_action"": 0.1, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""clip_eps"": 0.1, ""entropy_coef"": 0.005, ""value_coef"": 0.5, ""max_grad_norm"": 0.3, ""target_kl"": 0.01, ""rollout_steps"": 512, ""ppo_epochs"": 5, ""mini_batch_size"": 64, ""action_std_init"": 0.4, ""action_std_min"": 0.03, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.1, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",105006884.4000001,105006884.4000001,1207815909.4542017,1102809025.0542016,-60867197.51391145,66494093.7536512,4,692110800.0,0.022890978607781644
3,13,-934.5449432894347,16107103317.916721,"{""reward"": {""w_pnl"": 0.4, ""w_coverage"": 0.5, ""w_transaction"": 0.05, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.0, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.3, ""w_carry"": 0.15, ""w_risk"": 0.08, ""w_overhedge"": 0.05, ""w_invalid_action"": 0.1, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0001, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_eps"": 0.15, ""entropy_coef"": 0.01, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 128, ""ppo_epochs"": 10, ""mini_batch_size"": 128, ""action_std_init"": 0.4, ""action_std_min"": 0.03, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.15, ""total_episodes"": 100, ""train_threshold"": 200, ""test_ratio"": 0.09}}",42672736.80000019,42672736.80000019,1207815909.4542017,1165143172.6542015,-3959127.721506969,9586023.961246723,0,0.0,0.08280660698198393
20,30,-1516.8290514626715,13326355248.375492,"{""reward"": {""w_pnl"": 0.4, ""w_coverage"": 0.25, ""w_transaction"": 0.05, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.1, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.5, ""w_carry"": 0.0, ""w_risk"": 0.12, ""w_overhedge"": 0.08, ""w_invalid_action"": 0.5, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 64, ""num_layers"": 2, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 5e-05, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""clip_eps"": 0.1, ""entropy_coef"": 0.02, ""value_coef"": 0.75, ""max_grad_norm"": 0.3, ""target_kl"": 0.01, ""rollout_steps"": 512, ""ppo_epochs"": 15, ""mini_batch_size"": 256, ""action_std_init"": 0.4, ""action_std_min"": 0.08, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.1, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",7077690.000000238,7077690.000000238,1207815909.4542017,1200738219.4542015,-43031287.54123208,48658183.78097183,10,499644000.0,0.0025449266490582584
8,18,-1853.1961847085536,13808742676.901905,"{""reward"": {""w_pnl"": 0.5, ""w_coverage"": 0.2, ""w_transaction"": 0.15, ""w_opportunity"": 0.1, ""w_opportunity_expiry"": 0.1, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.3, ""w_carry"": 0.15, ""w_risk"": 0.08, ""w_overhedge"": 0.12, ""w_invalid_action"": 0.5, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0001, ""gamma"": 0.99, ""gae_lambda"": 0.97, ""clip_eps"": 0.25, ""entropy_coef"": 0.0, ""value_coef"": 0.75, ""max_grad_norm"": 1.0, ""target_kl"": 0.03, ""rollout_steps"": 512, ""ppo_epochs"": 10, ""mini_batch_size"": 64, ""action_std_init"": 0.5, ""action_std_min"": 0.08, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.1, ""total_episodes"": 200, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1027795757.7572685,1027795757.7572685,0.0,5083041.029937251,0,0.0,0.0
9,19,-838.9368079216401,24835977344.18667,"{""reward"": {""w_pnl"": 0.4, ""w_coverage"": 0.1, ""w_transaction"": 0.15, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.1, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.3, ""w_carry"": 0.15, ""w_risk"": 0.08, ""w_overhedge"": 0.08, ""w_invalid_action"": 0.2, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 64, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 0.0001, ""critic_lr"": 5e-05, ""gamma"": 0.97, ""gae_lambda"": 0.97, ""clip_eps"": 0.1, ""entropy_coef"": 0.02, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.05, ""rollout_steps"": 512, ""ppo_epochs"": 5, ""mini_batch_size"": 128, ""action_std_init"": 0.35, ""action_std_min"": 0.05, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.15, ""total_episodes"": 200, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
10,20,-599.3259551283993,14552698547.49942,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.25, ""w_transaction"": 0.05, ""w_opportunity"": 0.2, ""w_opportunity_expiry"": 0.0, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.5, ""w_carry"": 0.08, ""w_risk"": 0.12, ""w_overhedge"": 0.08, ""w_invalid_action"": 0.2, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 64, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.9, ""clip_eps"": 0.25, ""entropy_coef"": 0.02, ""value_coef"": 0.75, ""max_grad_norm"": 0.5, ""target_kl"": 0.01, ""rollout_steps"": 128, ""ppo_epochs"": 10, ""mini_batch_size"": 256, ""action_std_init"": 0.5, ""action_std_min"": 0.08, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 200, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
2,12,-768.1199846312862,23652078809.705376,"{""reward"": {""w_pnl"": 0.4, ""w_coverage"": 0.2, ""w_transaction"": 0.2, ""w_opportunity"": 0.0, ""w_opportunity_expiry"": 0.2, ""w_capital_stress"": 1.0, ""w_margin_call"": 0.3, ""w_carry"": 0.0, ""w_risk"": 0.0, ""w_overhedge"": 0.05, ""w_invalid_action"": 0.2, ""scale_pnl"": 50000000.0, ""scale_money"": 10000000.0, ""scale_tx"": 1000000.0, ""scale_kwh"": 5000000.0, ""scale_opportunity"": 1000000000.0, ""scale_opportunity_expiry"": 800000.0, ""scale_risk"": 8000000000000000.0, ""scale_carry"": 100000000.0}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_eps"": 0.25, ""entropy_coef"": 0.0, ""value_coef"": 0.75, ""max_grad_norm"": 1.0, ""target_kl"": 0.03, ""rollout_steps"": 512, ""ppo_epochs"": 5, ""mini_batch_size"": 64, ""action_std_init"": 0.5, ""action_std_min"": 0.03, ""action_std_decay"": 0.999}, ""general"": {""discretize_limit"": 0.1, ""total_episodes"": 150, ""train_threshold"": 200, ""test_ratio"": 0.09}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
