episode,episode_reward,episode_pnl,episode_tx_cost,episode_ahorro_cop,margin_calls_count,overhedging_penalty_kwh_sum,episode_time_sec
1,-1462.4580001186077,4378408033.794974,72737352.00000001,4305670681.794974,74,1207674100.0399945,8.937693874991965
2,-1948.0924940336224,4529113275.386855,116629423.19999996,4412483852.186855,138,1702730576.3705509,11.886922249977943
3,-1189.7311610509448,10159444800.0,110067955.19999999,10049376844.800001,29,1160903916.4369965,11.834482459002174
4,-1217.8150930480244,4816112070.843018,106609892.39999999,4709502178.443018,42,886451413.2950026,11.89817454200238
5,-1175.7048399175399,1088593479.1118944,120879248.39999999,967714230.7118945,52,878492942.8180023,11.882819208025467
6,-1192.7910908412211,-425163599.9999993,80409200.4,-505572800.39999956,32,489745831.4050007,11.839892374991905
7,-1054.0183272524273,1626976431.8973932,83785586.39999999,1543190845.4973922,27,447431886.18099916,11.793629207997583
8,-1064.7617677126784,8680545650.298723,148139874.0,8532405776.298724,29,943198782.8540022,11.982322707946878
9,-1008.2993038427048,6843766483.552946,152767195.20000005,6690999288.352946,21,772865317.3830003,11.954028000007384
10,-985.9563811194284,7091326898.569309,137187165.60000002,6954139732.969308,14,746012376.2080002,11.812477333005518
11,-980.8828686336552,6501538285.197392,145626069.60000002,6355912215.597392,13,756155211.2840005,11.813428209046833
12,-975.9820336378349,5622721200.0,139984837.20000005,5482736362.800002,10,633096903.1240001,11.809216167021077
13,-974.3394176756804,5635361333.382128,127346227.19999994,5508015106.182127,11,558463788.7329998,11.79767100000754
14,-962.9556004119027,4842262799.999999,127872417.59999995,4714390382.399998,10,531188608.7439984,11.804566833015997
15,-935.7460074368184,5101851600.0,133878106.79999997,4967973493.199999,9,457876762.0459986,11.797322417027317
16,-897.1207762653095,6708070800.0,156781706.4,6551289093.599998,6,368668053.1699994,11.856155999994371
17,-891.9397519479702,4642916400.0,122738803.2,4520177596.800003,8,318033151.3879996,12.959870583028533
18,-868.1020372096921,5255233199.999999,112263897.60000001,5142969302.400001,3,307969229.0160002,15.111596000031568
19,-842.6901512927863,7311752533.548387,114987571.19999999,7196764962.348387,4,341330881.66099995,15.661400417040568
20,-839.245055636182,8517962591.258064,121383993.6,8396578597.658066,4,391414577.88600004,15.24901804199908
21,-844.2536866351545,7857850342.848658,133042831.20000002,7724807511.648662,11,421989438.84699965,14.608480375027284
22,-856.0442187365127,8880782528.078106,149916056.4,8730866471.678108,17,481645917.0949991,14.070134790963493
23,-846.8588835039744,8179324494.616747,120849343.19999996,8058475151.416745,12,484474486.41465217,13.348603916005231
24,-833.315514642909,9188951694.616747,116025040.79999995,9072926653.816744,7,476486304.51599854,12.856500958034303
25,-821.4908014948468,9181094407.358063,139531438.79999998,9041562968.558065,3,409205400.018999,12.489525042008609
26,-828.0857483982602,9433745314.858065,130059727.19999997,9303685587.658062,5,465530446.3489984,12.37959204200888
27,-821.9229715401766,9958277753.058065,121315586.39999998,9836962166.658062,6,478656570.1749991,13.599963416985702
28,-818.4346392531595,8632203733.548386,115177168.80000001,8517026564.748385,3,406821955.78299886,13.341523333976511
29,-813.2916534954608,9432715448.148386,107361017.99999999,9325354430.148386,5,446180098.5769992,12.107140292006079
30,-826.0565046737255,7350201207.099999,111996068.39999999,7238205138.7,7,356003456.0229991,12.028335708018858
31,-811.9943032485289,7901966007.099999,110666300.39999998,7791299706.7,3,348825350.9289992,12.143580166972242
32,-821.0564935849861,8994868407.099998,117505800.00000001,8877362607.100002,5,410233626.2029992,12.076417958014645
33,-816.9253215289392,8696795607.1,118933354.80000003,8577862252.300001,2,379104160.98699945,12.130267083004583
34,-812.7797899111831,9077967207.1,122055213.59999996,8955911993.500004,2,373935002.1069996,12.075167374976445
35,-821.626176994621,8116953769.899999,124325902.80000001,7992627867.100002,7,310925984.6810003,12.165242250019219
36,-810.2268086959168,7923859892.5,116381077.19999997,7807478815.299999,1,285823077.9319998,12.161407459003385
37,-846.4617484670347,7208789999.5,120331609.19999996,7088458390.3,11,355535259.45558333,12.173040291003417
38,-810.5004174819431,8923453892.5,123193583.99999997,8800260308.5,1,337881883.3249989,12.154900999972597
39,-826.3187686924921,9071517562.317781,133612268.39999998,8937905293.917778,2,399901858.4485832,12.190769875014666
40,-806.9967541661312,7899276169.9,117650707.2,7781625462.7,4,311750556.5885832,12.164140624983702
41,-806.3398741171019,9321530362.31778,127136491.19999999,9194393871.11778,1,334934412.04679096,12.197431416949257
42,-804.5708196615819,8870227892.499998,135577893.60000002,8734649998.899998,2,370307275.91299856,12.146502166986465
43,-795.0163820800414,9032008292.499998,124865460.00000003,8907142832.499998,3,402734392.2639988,12.081040207995102
44,-791.8146662282699,9340235812.241936,133608808.79999997,9206627003.441933,3,330774548.3709997,12.036996791954152
45,-789.8093811116815,9318891412.241936,120813804.0,9198077608.241934,4,339045793.0979993,12.050866541976575
46,-803.9254102191355,11614332184.790321,134090290.8,11480241893.99032,5,489437532.3509993,12.00656304199947
47,-786.3697613830237,11618799862.519772,134614479.60000002,11484185382.919771,8,406997826.0859992,12.169795833993703
48,-800.1527054992406,11897325277.290323,160579152.0,11736746125.290323,4,515465997.5199988,12.122894667030778
49,-799.6396181558688,11063532184.790323,133994937.59999996,10929537247.190321,6,477635851.79399896,12.115792166965548
50,-795.1526363610687,11778231086.451612,138503415.59999996,11639727670.851614,7,464813801.93399894,11.92944970796816
