Fecha,reward,pnl_step,pnl_acumulado,margen_inicial,capital_actual,margin_balance_total,sobre_cobertura_kwh,spot_price,future_price_t1,future_price_t2,future_price_t3,future_price_t4,future_price_t5,future_price_t6,covered_kwh_total,action_cont_1,action_cont_2,action_cont_3,action_cont_4,action_cont_5,action_cont_6,action_disc_raw_1,action_disc_raw_2,action_disc_raw_3,action_disc_raw_4,action_disc_raw_5,action_disc_raw_6,action_disc_exec_1,action_disc_exec_2,action_disc_exec_3,action_disc_exec_4,action_disc_exec_5,action_disc_exec_6,nem_slot_1,nem_slot_2,nem_slot_3,nem_slot_4,nem_slot_5,nem_slot_6,margin_calls_cost,transaction_costs,liquidacion_mtm,liquidacion_vencimiento,demanda_cubrir_kwh_1,demanda_cubrir_kwh_2,demanda_cubrir_kwh_3,demanda_cubrir_kwh_4,demanda_cubrir_kwh_5,demanda_cubrir_kwh_6,contratos_netos_1,contratos_netos_2,contratos_netos_3,contratos_netos_4,contratos_netos_5,contratos_netos_6,terminated,truncated,spot_cost,strategy_cost_daily
2025-11-06,-0.24878452441913032,0.0,0.0,4999559360.0,4896449600.0,103109760.0,0.0,185.79755,265.0,408.0,408.0,408.0,408.0,408.0,1080000.0,-0.7463052868843079,0.4663916826248169,-0.2995818853378296,-0.6304047107696533,0.07380568236112595,-0.9975926876068115,-1,1,0,-1,0,-1,0,1,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,440640.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,3,0,0,0,0,0,0,14329356.232639702,14769996.232639702
2025-11-07,-0.18181939017174228,0.0,0.0,4999559360.0,4896449600.0,103109760.0,0.0,225.93448333333333,280.0,408.0,408.0,408.0,408.0,408.0,1080000.0,-0.5580649375915527,0.8025143146514893,-0.3188336193561554,-0.3902507722377777,0.06532716751098633,-0.9760969281196594,-1,1,0,-1,0,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,17341303.712535452,17341303.712535452
2025-11-10,-0.18181939017174228,0.0,0.0,4999559360.0,4896449600.0,103109760.0,0.0,254.8426333333333,280.0,408.0,408.0,408.0,408.0,408.0,1080000.0,-0.7129153609275818,0.294050931930542,-0.393839567899704,-0.7155510187149048,0.16992153227329254,-0.996094822883606,-1,0,-1,-1,0,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,17628398.436232567,17628398.436232567
2025-11-11,-0.18181939017174228,0.0,0.0,4999559360.0,4896449600.0,103109760.0,0.0,346.8536833333333,280.0,408.0,408.0,408.0,408.0,408.0,1080000.0,-0.5312386155128479,0.39969053864479065,-0.23119401931762695,-0.867657482624054,-0.14027412235736847,-0.9857299327850342,-1,1,0,-1,0,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,26544706.83584107,26544706.83584107
2025-11-12,-0.18181939017174228,0.0,0.0,4999559360.0,4896449600.0,103109760.0,0.0,321.12385,280.0,408.0,408.0,408.0,408.0,408.0,1080000.0,-0.46121931076049805,0.23373021185398102,-0.1824789047241211,-0.8471412658691406,-0.2513761520385742,-0.9680171608924866,-1,0,0,-1,0,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,25296558.57927725,25296558.57927725
2025-11-13,-0.18402259017174225,-1101599.9999999804,-1101599.9999999804,4998457760.0,4896449600.0,102008160.00000001,0.0,298.32405,280.0,406.98,407.39,407.06,407.06,407.06,1080000.0,-0.364356130361557,0.33802810311317444,-0.13470271229743958,-0.769436776638031,-0.23909741640090942,-0.9366150498390198,-1,0,0,-1,0,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,-1101599.9999999804,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,24147302.050663803,25248902.050663784
2025-11-14,-0.18384979017174227,-1015199.9999999976,-2116799.999999978,4997442560.0,4896449600.0,100992960.00000001,0.0,300.1530833333333,280.0,406.04,406.86,406.16,406.16,406.16,1080000.0,-0.7081230878829956,0.6630225777626038,-0.43716973066329956,-0.9176487922668457,-0.2916606366634369,-0.998792290687561,-1,1,-1,-1,0,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,-1015199.9999999976,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,24108525.570595168,25123725.570595164
2025-11-18,-0.18402259017174236,-1101600.0000000417,-3218400.0000000196,4996340960.0,4896449600.0,99891359.99999997,0.0,231.86389166666663,280.17,405.02,406.21,405.23,405.19,405.23,1080000.0,-0.9807927012443542,0.4936106204986572,-0.6272864937782288,-0.9918805956840515,-0.6183032989501953,-0.9999565482139587,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,-1101600.0000000417,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,15337297.926382916,16438897.926382957
2025-11-19,-0.18417379017174224,-1177199.999999973,-4395599.999999993,4995163760.0,4896449600.0,98714160.0,0.0,341.37328333333335,285.05,403.93,405.48,404.22,404.18,404.26,1080000.0,-0.9957876801490784,-0.12231902778148651,-0.4737694561481476,-0.9961732625961304,-0.7645320296287537,-0.9999673962593079,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,-1177199.999999973,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,23638979.825090718,24816179.82509069
2025-11-20,-0.27656552,-5659200.000000009,-10054800.000000002,4994728779.2,4994728779.2,0.0,0.0,229.178725,265.0,402.76,404.71,403.17,403.13,403.25,0.0,-0.9999610781669617,-0.42937618494033813,-0.730381429195404,-0.9997457265853882,-0.9610416889190674,-0.9999992847442627,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,434980.8,-5659200.000000009,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,-3,0,0,0,0,0,0,16587599.742582625,22681780.542582635
2025-11-21,-0.2,0.0,-10054800.000000002,4994728779.2,4994728779.2,0.0,0.0,278.71406666666667,270.0,401.59,403.94,402.12,402.08,402.24,0.0,-0.9999991655349731,-0.9802663922309875,-0.9218447208404541,-0.9999994039535522,-0.9996062517166138,-1.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,19891653.758561537,19891653.758561537
2025-11-24,-0.2,0.0,-10054800.000000002,4994728779.2,4994728779.2,0.0,0.0,253.04098333333337,287.5,400.51,403.25,401.11,401.07,401.27,0.0,-0.9422614574432373,-0.999983012676239,-0.7869229912757874,-0.999958872795105,-0.9957300424575806,-0.9998401999473572,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,16702309.432875318,16702309.432875318
2025-11-25,-0.2,0.0,-10054800.000000002,4994728779.2,4994728779.2,0.0,0.0,195.42016666666663,265.0,399.35,402.44,400.07,400.03,400.27,0.0,-0.9128782749176025,-0.9999566674232483,-0.9730280637741089,-0.99997878074646,-0.9971965551376343,-0.9997433423995972,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,ELMZ25F,ELMF26F,ELMG26F,ELMH26F,ELMJ26F,ELMK26F,0.0,0.0,0.0,0.0,1970234.441,2079545.434,1980131.5984486917,2284488.30960406,2239534.55816113,2285308.949670708,0,0,0,0,0,0,0,0,14694809.77174233,14694809.77174233
