trial,seed,train_reward_mean,train_pnl_mean,train_episode_time_mean,hp_json,score,Ahorro_Total_COP,Costo_Total_Spot_COP,Costo_Total_Estrategia_PPO_COP,Reduccion_Volatilidad_COP_std,Volatilidad_Estrategia_std,Total_Margin_Calls,Total_Margin_Calls_COP,Sharpe_PnL
5,15,-420.66452638979956,8236762155.845952,10.192710379100117,"{""reward"": {""w_pnl"": 0.5, ""w_coverage"": 0.25, ""w_transaction"": 0.15, ""w_opportunity"": 0.2, ""w_capital_stress"": 0.3, ""w_margin_call"": 0.1, ""w_carry"": 0.06, ""w_risk"": 0.08, ""w_overhedge"": 0.06}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 128, ""num_layers"": 2, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0001, ""gamma"": 0.97, ""gae_lambda"": 0.95, ""clip_eps"": 0.2, ""entropy_coef"": 0.01, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 128, ""ppo_epochs"": 8, ""mini_batch_size"": 256, ""action_std_init"": 0.4, ""action_std_min"": 0.05, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 150}}",0.0,0.0,1127601728.646347,1127601728.646347,0.0,5639632.403768728,0,0.0,0.0
7,17,-159.66315673537883,12790608458.139296,10.159039575000316,"{""reward"": {""w_pnl"": 0.7, ""w_coverage"": 0.0, ""w_transaction"": 0.15, ""w_opportunity"": 0.1, ""w_capital_stress"": 0.3, ""w_margin_call"": 0.1, ""w_carry"": 0.08, ""w_risk"": 0.12, ""w_overhedge"": 0.05}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0001, ""gamma"": 0.97, ""gae_lambda"": 0.97, ""clip_eps"": 0.15, ""entropy_coef"": 0.03, ""value_coef"": 0.5, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 256, ""ppo_epochs"": 12, ""mini_batch_size"": 128, ""action_std_init"": 0.35, ""action_std_min"": 0.03, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 200}}",0.0,0.0,1127601728.646347,1127601728.646347,0.0,5639632.403768728,0,0.0,0.0
8,18,-477.4522988299077,7384536868.104898,11.438289420800356,"{""reward"": {""w_pnl"": 0.65, ""w_coverage"": 0.25, ""w_transaction"": 0.15, ""w_opportunity"": 0.1, ""w_capital_stress"": 0.15, ""w_margin_call"": 0.3, ""w_carry"": 0.0, ""w_risk"": 0.0, ""w_overhedge"": 0.04}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.98, ""gae_lambda"": 0.97, ""clip_eps"": 0.15, ""entropy_coef"": 0.05, ""value_coef"": 0.5, ""max_grad_norm"": 1.0, ""target_kl"": 0.03, ""rollout_steps"": 256, ""ppo_epochs"": 12, ""mini_batch_size"": 128, ""action_std_init"": 0.4, ""action_std_min"": 0.05, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 150}}",0.0,0.0,1127601728.646347,1127601728.646347,0.0,5639632.403768728,0,0.0,0.0
2,12,-508.9670776697488,8341738848.480405,10.666718066400017,"{""reward"": {""w_pnl"": 0.6, ""w_coverage"": 0.2, ""w_transaction"": 0.1, ""w_opportunity"": 0.2, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.3, ""w_carry"": 0.15, ""w_risk"": 0.12, ""w_overhedge"": 0.0}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 128, ""num_layers"": 1, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_eps"": 0.1, ""entropy_coef"": 0.03, ""value_coef"": 0.5, ""max_grad_norm"": 1.0, ""target_kl"": 0.03, ""rollout_steps"": 128, ""ppo_epochs"": 12, ""mini_batch_size"": 256, ""action_std_init"": 0.4, ""action_std_min"": 0.03, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 100}}",0.0,0.0,1027795757.7572685,1027795757.7572685,0.0,5083041.029937251,0,0.0,0.0
13,23,-362.2525142039864,6293017708.904642,10.693315220999647,"{""reward"": {""w_pnl"": 0.65, ""w_coverage"": 0.1, ""w_transaction"": 0.125, ""w_opportunity"": 0.3, ""w_capital_stress"": 0.3, ""w_margin_call"": 0.05, ""w_carry"": 0.06, ""w_risk"": 0.0, ""w_overhedge"": 0.025}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 256, ""num_layers"": 2, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 0.0001, ""critic_lr"": 0.0001, ""gamma"": 0.98, ""gae_lambda"": 0.97, ""clip_eps"": 0.2, ""entropy_coef"": 0.03, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 512, ""ppo_epochs"": 8, ""mini_batch_size"": 256, ""action_std_init"": 0.4, ""action_std_min"": 0.03, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.25, ""total_episodes"": 100}}",0.0,0.0,1207815909.4542017,1207815909.4542017,0.0,5626896.239739754,0,0.0,0.0
9,19,-509.3457906225676,10715781009.677681,11.112966429300105,"{""reward"": {""w_pnl"": 0.7, ""w_coverage"": 0.25, ""w_transaction"": 0.025, ""w_opportunity"": 0.3, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.15, ""w_carry"": 0.125, ""w_risk"": 0.12, ""w_overhedge"": 0.025}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.95, ""clip_eps"": 0.1, ""entropy_coef"": 0.05, ""value_coef"": 0.5, ""max_grad_norm"": 1.0, ""target_kl"": 0.03, ""rollout_steps"": 512, ""ppo_epochs"": 8, ""mini_batch_size"": 64, ""action_std_init"": 0.35, ""action_std_min"": 0.05, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.1, ""total_episodes"": 100}}",-540000.0,-540000.0,1027795757.7572685,1028335757.7572685,-5383.301026389934,5088424.3309636405,0,0.0,0.0
11,21,-530.2175598593459,13455699532.255203,10.630186787400453,"{""reward"": {""w_pnl"": 0.65, ""w_coverage"": 0.35, ""w_transaction"": 0.075, ""w_opportunity"": 0.1, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.3, ""w_carry"": 0.125, ""w_risk"": 0.12, ""w_overhedge"": 0.06}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0003, ""gamma"": 0.99, ""gae_lambda"": 0.97, ""clip_eps"": 0.15, ""entropy_coef"": 0.03, ""value_coef"": 0.25, ""max_grad_norm"": 0.5, ""target_kl"": 0.03, ""rollout_steps"": 512, ""ppo_epochs"": 8, ""mini_batch_size"": 64, ""action_std_init"": 0.35, ""action_std_min"": 0.03, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.2, ""total_episodes"": 200}}",-637200.0,-637200.0,1027795757.7572685,1028432957.7572685,-5898.917275437154,5088939.947212688,0,0.0,0.0
10,20,-250.0976327977221,12675189885.07234,9.9163483833996,"{""reward"": {""w_pnl"": 0.7, ""w_coverage"": 0.0, ""w_transaction"": 0.1, ""w_opportunity"": 0.1, ""w_capital_stress"": 0.2, ""w_margin_call"": 0.15, ""w_carry"": 0.075, ""w_risk"": 0.0, ""w_overhedge"": 0.06}, ""lstm"": {""sequence_length"": 14, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.1}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0001, ""gamma"": 0.97, ""gae_lambda"": 0.97, ""clip_eps"": 0.15, ""entropy_coef"": 0.03, ""value_coef"": 0.5, ""max_grad_norm"": 0.5, ""target_kl"": 0.02, ""rollout_steps"": 128, ""ppo_epochs"": 12, ""mini_batch_size"": 128, ""action_std_init"": 0.35, ""action_std_min"": 0.03, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.1, ""total_episodes"": 150}}",-10947851.999999762,-10947851.999999762,1207815909.4542017,1218763761.4542015,5931.263551484793,5620964.976188269,0,0.0,-0.29545587209107016
3,13,-243.57468358002535,11106697469.576557,10.287760675200024,"{""reward"": {""w_pnl"": 0.4, ""w_coverage"": 0.0, ""w_transaction"": 0.1, ""w_opportunity"": 0.2, ""w_capital_stress"": 0.4, ""w_margin_call"": 0.05, ""w_carry"": 0.075, ""w_risk"": 0.0, ""w_overhedge"": 0.025}, ""lstm"": {""sequence_length"": 21, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 1e-05, ""critic_lr"": 0.0003, ""gamma"": 0.97, ""gae_lambda"": 0.9, ""clip_eps"": 0.15, ""entropy_coef"": 0.03, ""value_coef"": 0.5, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 512, ""ppo_epochs"": 10, ""mini_batch_size"": 64, ""action_std_init"": 0.5, ""action_std_min"": 0.03, ""action_std_decay"": 0.9995}, ""general"": {""discretize_limit"": 0.2, ""total_episodes"": 150}}",-49809643.200000286,-39898843.200000286,1127601728.646347,1167500571.8463473,-1320866.9685821924,6960499.37235092,1,39643200.0,-0.1312338623639092
16,26,-498.9015758318395,14416397642.300177,11.122509208300471,"{""reward"": {""w_pnl"": 0.65, ""w_coverage"": 0.25, ""w_transaction"": 0.075, ""w_opportunity"": 0.1, ""w_capital_stress"": 0.15, ""w_margin_call"": 0.3, ""w_carry"": 0.125, ""w_risk"": 0.12, ""w_overhedge"": 0.06}, ""lstm"": {""sequence_length"": 30, ""hidden_size"": 256, ""num_layers"": 1, ""dropout"": 0.0}, ""ppo"": {""actor_lr"": 3e-05, ""critic_lr"": 0.0003, ""gamma"": 0.97, ""gae_lambda"": 0.9, ""clip_eps"": 0.15, ""entropy_coef"": 0.01, ""value_coef"": 0.25, ""max_grad_norm"": 1.0, ""target_kl"": 0.02, ""rollout_steps"": 512, ""ppo_epochs"": 10, ""mini_batch_size"": 64, ""action_std_init"": 0.35, ""action_std_min"": 0.03, ""action_std_decay"": 0.9998}, ""general"": {""discretize_limit"": 0.2, ""total_episodes"": 100}}",-52506295.20000005,-40327495.20000005,1027795757.7572685,1068123252.9572686,-4309958.83998041,9392999.869917661,1,48715200.000000015,-0.07301866654036358
